ClassName,Changes,TotalCommits
BugCLI126Test,2,7
Parser,34,320
Option,37,356
BugCLI122Test,4,45
HelpFormatter,31,356
CommandLine,28,356
BugCLI145Test,1,13
BugsTest,24,324
ArgumentImpl,18,247
Options,25,356
DateValidatorTest,16,247
GroupImpl,15,247
OptionBuilder,20,332
BugCLI12Test,6,102
BugCLI18Test,6,106
HelpFormatterTest,13,247
DateValidator,13,247
PosixParser,18,353
ResourceHelper,12,247
WriteableCommandLineImpl,12,247
FileValidatorTest,12,247
GnuParser,16,352
Switch,11,247
EnumValidator,11,247
ArgumentTest,11,247
BugLoopingOptionLookAlikeTest,8,182
ResourceConstants,6,141
ArgumentBuilder,10,247
DocumentationTest,10,247
DefaultingCommandLineTest,10,247
BugCLI80Test,4,100
PatternOptionBuilder,14,356
ResourceHelperTest,5,135
OptionGroup,13,356
CommandLineTestCase,9,247
NumberValidator,9,247
SwitchBuilder,9,247
OptionImpl,9,247
ParentImpl,9,247
DefaultOption,9,247
ArgumentBuilderTest,5,138
TypeHandler,12,356
UrlValidator,8,247
OptionException,8,247
WriteableCommandLine,8,247
PrecedenceTest,8,247
FileValidator,8,247
SwitchTest,8,247
PropertiesCommandLineTest,8,247
PropertyOption,8,247
DefaultOptionBuilder,8,247
PropertyOptionTest,8,247
GroupTest,8,247
WriteableCommandLineTestCase,8,247
Command,8,247
CpTest,8,247
ClassValidator,8,247
ApplicationTest,11,352
Bug32533Test,6,193
ValuesTest,11,356
ParserTest,5,175
Util,8,282
UrlValidatorTest,7,247
ParentTest,7,247
NumberValidatorTest,7,247
PropertiesCommandLine,7,247
JDependTest,7,247
SourceDestArgument,7,247
PreferencesCommandLine,7,247
PreferencesCommandLineTest,7,247
CommandBuilder,7,247
ClassValidatorTest,7,247
DefaultOptionTest,7,247
CommandTest,7,247
DefaultingCommandLine,7,247
EnumValidatorTest,7,247
Comparators,7,247
CommandLineParser,10,353
NestedGroupTest,5,193
ValueTest,9,356
AlreadySelectedException,9,356
BasicParser,8,320
ComparatorsTest,6,247
Validator,6,247
CLITestCase,6,247
DefaultOptionBuilderTest,6,247
Argument,6,247
DisplaySetting,6,247
LsTest,6,247
PatternBuilder,6,247
CommandLineImpl,6,247
Bug28005Test,6,247
TimeZoneTestSuite,4,168
PatternOptionBuilderTest,8,356
ParseRequiredTest,8,356
OptionGroupTest,8,356
MissingArgumentException,8,356
UnrecognizedOptionException,8,356
TestHelpFormatter,8,356
ParseTest,8,356
MissingOptionException,8,356
ParseException,8,356
CommandLineDefaultsTest,5,223
OptionsTest,6,281
OptionValidator,6,282
ProtectedClass,5,247
Bug27575Test,5,247
Parent,5,247
InvalidArgumentException,5,247
HelpLineImpl,5,247
HelpLine,5,247
GroupTestCase,5,247
GroupBuilder,5,247
Group,5,247
WriteableCommandLineImplTest,5,247
ArgumentTestCase,4,247
Bug15046Test,4,247
Bug13886Test,4,247
AntTest,4,247
Bug13935Test,4,247
CvsTest,4,247
Bug15648Test,4,247
ParentTestCase,4,247
OptionTestCase,4,247
OptionBuilderTest,5,332
ArgumentIsOptionTest,3,205
CommandLineParserFactory,5,345
GnuParseTest,5,345
BuildTest,5,356
HelpFormatterExamples,4,356
CLOptionDescriptor,2,181
CLUtil,2,181
ClutilTestCase,2,181
AbstractParserControl,2,181
ParserControl,2,181
CLOption,2,181
Token,2,181
CLArgsParser,2,181
LongOptionWithShort,2,205
CLI2ConverterTest,2,247
CLI2Converter,2,247
