ClassName,Changes,TotalCommits
Base64Codec13Test,5,35
Base64,74,622
ColognePhoneticTest,1,10
ColognePhonetic,1,10
Base64Test,57,622
StringUtils,7,92
Base64InputStream,15,202
URLCodec,39,584
StringUtilsTest,6,92
Soundex,40,622
QuotedPrintableCodec,26,421
UtilsTest,5,84
Base64InputStreamTest,12,202
DoubleMetaphone2Test,4,68
QCodec,23,408
Metaphone,35,622
DoubleMetaphone,33,591
SoundexTest,34,622
RefinedSoundex,34,622
Base64OutputStreamTest,11,202
BCodec,22,408
StringBytesUtils,7,130
Hex,33,622
Base64OutputStream,10,202
Base64TestData,9,202
URLCodecTest,25,582
MetaphoneTest,26,622
EncoderExceptionTest,4,97
DecoderExceptionTest,4,97
DoubleMetaphoneTest,22,549
Utils,4,100
RFC1522Codec,16,408
DigestUtils,21,544
RefinedSoundexTest,24,622
RequiredCharsetNamesTest,5,130
HexTest,23,622
DigestUtilsTest,20,544
StringEncoderComparator,22,622
EncoderException,21,622
RFC1522CodecTest,13,397
DecoderException,20,622
CharEncodingTest,3,95
Caverphone,7,227
StringEncoderAbstractTest,19,622
StringEncoderComparatorTest,19,622
BinaryCodec,12,403
BinaryEncoderAbstractTest,18,622
QCodecTest,11,404
CaverphoneTest,6,227
QuotedPrintableCodecTest,11,421
BinaryEncoder,16,622
Decoder,16,622
BinaryDecoder,16,622
SoundexUtils,12,475
StringEncoder,15,622
Encoder,15,622
StringDecoder,14,584
StringBytesUtilsTest,3,130
RequiredCharsetNames,3,130
BCodecTest,9,404
BinaryTest,10,452
AllTests,11,515
CharacterEncodingNames,7,341
Binary,9,452
BinaryCodecTest,8,403
CharEncoding,1,95
StringEncodings,3,409
