ClassName,Changes,TotalCommits
SevenZNativeHeapTest,3,18
PKWareExtraHeader,10,99
X0017_StrongEncryptionHeader,10,99
TarLister,5,55
ParallelScatterZipCreator,21,246
SevenZFile,57,677
ZipArchiveOutputStream,125,1712
X0014_X509Certificates,7,99
X0015_CertificateIdForFile,7,99
X0016_CertificateIdForCentralDirectory,7,99
X000A_NTFS,6,95
ScatterZipOutputStream,16,260
X0019_EncryptionRecipientCertificateList,6,99
StreamCompressor,14,260
SevenZOutputFile,34,638
ZipArchiveInputStream,99,1858
ZipFile,92,1727
Coders,34,676
ArchiveReadTest,7,145
TarArchiveInputStream,76,1703
PasswordRequiredException,9,207
ZipArchiveEntry,72,1714
LongSymLinkTest,6,143
SevenZFileTest,28,677
TarArchiveOutputStream,69,1703
TarArchiveEntry,74,1858
ScatterZipOutputStreamTest,10,260
ZCompressorInputStream,20,534
ParallelScatterZipCreatorTest,9,246
BitInputStream,10,274
TarArchiveOutputStreamTest,34,966
Zip64SupportTest,39,1111
SevenZOutputFileTest,19,558
FileBasedScatterGatherBackingStore,8,248
ArjArchiveInputStream,21,658
AbstractTestCase,58,1856
TarArchiveInputStreamTest,28,914
DumpArchiveInputStream,31,1016
CpioArchiveOutputStream,52,1729
LZMAUtils,4,134
LZMA2Decoder,17,579
CLI,9,308
LZWInputStream,8,274
ArchiveStreamFactory,53,1858
ScatterGatherBackingStore,7,248
TarUtils,50,1860
FramedSnappyCompressorInputStream,14,539
AES256SHA256Decoder,10,387
CpioArchiveInputStream,44,1729
ScatterSampleTest,5,197
DeflateCompressorInputStream,8,323
ArArchiveInputStream,46,1858
ZipFileTest,31,1264
ScatterGatherBackingStoreSupplier,6,246
SnappyCompressorInputStream,13,539
SevenZArchiveEntry,16,677
ChangeSetTestCase,42,1858
ZipArchiveInputStreamTest,20,892
SevenZMethod,13,582
FramedSnappyTestCase,12,539
BZip2CompressorOutputStream,41,1858
CpioArchiveEntry,38,1729
UnshrinkingInputStream,11,521
X000A_NTFSTest,2,95
CompressorStreamFactory,39,1858
ZipTestCase,38,1856
InputStreamSupplier,5,246
ScatterSample,4,197
BZip2CompressorInputStream,37,1858
LongPathTest,24,1212
ExtraFieldUtils,36,1860
ZipArchiveEntryRequest,4,208
UTF8ZipFilesTest,32,1687
DeltaDecoder,7,375
X5455_ExtendedTimestampTest,14,752
DeflateCompressorOutputStream,6,323
ArArchiveEntry,34,1858
ArjArchiveEntry,12,658
TarUtilsTest,27,1489
ArArchiveOutputStream,33,1858
Zip64SupportIT,18,1025
SevenZMethodConfiguration,7,402
Zip64ExtendedInformationExtraField,20,1156
BlockSort,14,827
DumpArchiveEntry,17,1016
ZipLong,31,1860
ExplodeSupportTest,8,482
GzipCompressorInputStream,29,1858
CoderBase,6,387
ZipUtil,25,1619
TarTestCase,28,1860
BitInputStreamTest,4,268
LZMAUtilsTestCase,2,134
XZUtils,14,941
CRC32VerifyingInputStream,10,677
ChangeSet,27,1858
IOUtilsTest,5,349
TarConstants,26,1860
ChangeSetPerformer,20,1453
FramedSnappyCompressorInputStreamTest,7,513
PureJavaCrc32C,7,513
ArchiveOutputStream,25,1858
X7875_NewUnix,10,755
ArchiveStreamFactoryTest,12,907
ZTestCase,7,534
ZipEncodingHelper,22,1690
ZipMethod,10,795
DeflateTestCase,4,323
DeflateParameters,4,323
DetectArchiverTestCase,22,1856
ZipShort,22,1860
Folder,8,677
TapeInputStream,12,1016
PythonTruncatedBzip2Test,5,424
GeneralPurposeBit,15,1287
StreamCompressorTest,3,260
ArchiveInputStream,21,1858
TarBuffer,21,1860
ZipArchiveEntryTest,19,1692
TarArchiveEntryTest,18,1627
AsiExtraField,20,1860
Charsets,9,845
X5455_ExtendedTimestamp,8,752
BitStream,5,482
package-info,2,193
JarArchiveEntry,19,1858
GzipCompressorOutputStream,19,1858
IOUtils,19,1858
ArchiveUtils,15,1474
Pack200CompressorOutputStream,10,984
Pack200CompressorInputStream,10,984
ScatterStatistics,2,198
AbstractUnicodeExtraField,17,1690
Lister,13,1309
DumpArchiveUtil,10,1016
StreamingNotSupportedException,4,409
UnrecognizedExtraField,18,1860
ArjArchiveInputStreamTest,6,625
UnsupportedZipFeatureException,12,1262
DeflateCompressorOutputStreamTest,3,317
DeflateCompressorInputStreamTest,3,317
X7875_NewUnixTest,7,755
JarArchiveInputStream,17,1858
DumpArchiveSummary,9,1016
InternalLZWInputStream,4,452
BZip2CompressorInputStreamTest,3,342
ZipEightByteInteger,10,1160
JarArchiveOutputStream,16,1858
TarOutputStream,16,1860
XZUtilsTestCase,8,941
XZCompressorInputStream,8,943
Simple8BitZipEncoding,14,1660
BitStreamTest,4,482
ExplodingInputStream,4,482
BinaryTree,4,482
CircularBuffer,4,482
CountingInputStream,8,968
Pack200Utils,8,979
CpioTestCase,14,1729
GZipTestCase,15,1856
Change,15,1858
AbstractLZWInputStream,4,501
ZipEncodingTest,4,505
