ClassName,Changes,TotalCommits
CSVFormat,126,433
CSVParser,97,570
CSVParserTest,86,570
CSVLexer,46,363
CSVFormatBuilderTest,12,102
CSVPrinter,65,570
CSVLexerTest,45,403
Lexer,33,337
CSVFormatTest,39,433
CSVPrinterTest,46,570
PerformanceTest,27,355
CSVRecord,24,359
TokenMatchersTest,1,16
TokenMatchers,1,16
ExtendedBufferedReader,34,570
Constants,12,203
CSVFileParserTest,14,306
ExtendedBufferedReaderTest,26,570
Token,15,338
CSVLexer1306667,11,260
CSVLexer1,14,331
CSVLexer1306663,11,270
Quote,6,161
CSVStrategy,19,550
CharBuffer,15,529
CSVLexer3,8,284
CSVUtils,14,545
CSVStrategyTest,14,550
package-info,6,252
AllTests,11,528
CharBufferTest,10,529
CSVWriter,10,560
CSVConfig,10,560
Utils,4,268
UnicodeUnescapeReader,6,405
CSVUtilsTest,8,545
CSVWriterTest,8,559
CSVConfigGuesser,8,560
CSVFieldTest,7,559
CSVConfigTest,7,559
CSVConfigGuesserTest,7,559
CSVField,7,560
CSVLexer130663,2,274
FormatTests,1,571
