ClassName,Changes,TotalCommits
Gson,188,1326
JsonReader,55,431
TypeAdapters,62,742
GsonBuilder,96,1326
DefaultTypeAdapters,87,1326
ReflectiveTypeAdapterFactory,34,671
JsonAdapterAnnotationTypeAdapterFactory,15,343
TypeAdapter,32,742
JsonSerializationVisitor,55,1326
JsonAdapter,13,343
MapTest,47,1289
LinkedTreeMap,13,369
JsonAdapterSerializerDeserializerTest,2,57
JsonAdapterAnnotationOnFieldsTest,12,343
JsonAdapterNullSafeTest,4,118
MapTypeAdapterFactory,22,671
JsonReaderTest,33,1015
PostConstructAdapterFactory,1,32
PostConstructAdapterFactoryTest,1,32
LinkedHashTreeMap,11,365
FieldAttributes,33,1099
LinkedTreeMapTest,11,369
JsonAdapterAnnotationOnClassesTest,10,343
ObjectNavigator,38,1326
JsonObject,38,1326
ReflectiveTypeAdapter,21,742
DefaultTypeAdaptersTest,37,1326
TreeTypeAdapter,16,583
JsonPrimitive,36,1326
ArrayTypeAdapter,20,740
ConstructorConstructor,18,671
ObjectTest,35,1326
PrimitiveTest,35,1326
Streams,27,1058
JsonDeserializationVisitor,31,1326
ObjectTypeAdapter,16,696
MiniGson,17,742
JsonParser,29,1326
RuntimeTypeAdapterFactory,14,645
ParameterizedTypeHandlerMap,27,1326
JsonArray,26,1326
JavaUtilConcurrentLocksTest,4,204
LinkedHashTreeMapTest,8,408
CollectionTypeAdapterFactory,13,671
JsonParserTest,23,1193
CustomTypeAdaptersTest,25,1326
StringMap,9,485
CollectionTest,24,1326
ReflectingFieldNavigator,15,851
CollectionTypeAdapter,13,742
JsonObjectDeserializationVisitor,23,1326
MappedObjectConstructor,23,1326
JsonWriter,17,1015
FunctionWithInternalDependenciesTest,20,1211
ISO8601Utils,3,189
JsonNull,20,1326
JsonElement,20,1326
JsonArrayTest,13,875
Primitives,12,836
NullObjectAndFieldTest,19,1326
JsonObjectTest,18,1263
LazilyParsedNumber,11,775
JsonElementReader,9,640
Excluder,8,571
DateTypeAdapter,9,650
Pair,13,941
StreamingTypeAdaptersTest,8,586
NamingPolicyTest,18,1326
Preconditions,18,1326
JsonArrayDeserializationVisitor,18,1326
$Gson$Types,11,817
GsonTest,1,75
UnsafeAllocator,11,836
UtcDateTypeAdapter,4,305
UtcDateTypeAdapterTest,4,305
LruCache,11,854
ArrayTest,17,1326
RuntimeTypeAdapterFactoryFunctionalTest,4,314
TypeAdapterRuntimeTypeWrapper,9,707
ObjectTypePair,14,1106
JsonElementWriterTest,8,636
InterceptorTest,5,405
TypeToken,16,1326
JsonReaderPathTest,4,332
UnsafeAllocatorInstantiationTest,1,83
TypeAdapterPrecedenceTest,7,585
EnumTest,14,1198
MapTypeAdapter,10,861
ObjectTypeAdapterTest,8,696
VersionExclusionStrategyTest,15,1326
GsonTypesTest,4,354
FieldNamingStrategy2Adapter,12,1067
MetaData,11,994
Types,10,908
JsonElementWriter,7,636
SqlDateTypeAdapter,7,647
MiniGsonTest,8,742
TimeTypeAdapter,7,650
JsonSerializationContextDefault,14,1326
RestClient,11,1052
GsonToMiniGsonTypeAdapterFactory,7,671
JavaUtilTest,2,197
GraphAdapterBuilder,5,496
PerformanceTest,13,1302
BigDecimalTypeAdapter,7,704
BigIntegerTypeAdapter,7,704
JsonStreamParser,11,1115
ResponseReceiver,13,1323
Reflection,7,713
ParamterizedTypeFixtures,13,1326
ParameterizedTypesTest,13,1326
GraphTypeAdapterFactory,5,511
Order,10,1033
JsonElementReaderTest,6,640
Cache,8,854
ExclusionStrategyFunctionalTest,10,1082
CodeGenFunctionalTest,4,440
IdTypeAdapterTest,9,992
RequestSender,12,1323
WebServiceClient,12,1323
WebServiceCallSpec,12,1323
IdMap,9,994
Id,9,994
JsonPrintFormatter,12,1326
ModifyFirstLetterNamingPolicy,12,1326
Escaper,12,1326
JsonDeserializationContextDefault,12,1326
InnerClassExclusionStrategyTest,11,1220
ExposeAnnotationExclusionStrategyTest,8,890
ProtosWithAnnotationsTest,2,225
TypeTokenTest,8,900
JsonPrimitiveTest,11,1260
RestRequestSender,9,1052
RestCallSpec,9,1052
RestRequest,9,1052
DelegateTypeAdapterTest,4,471
SerializedNameTest,2,237
ParamMap,11,1311
GsonToMiniGsonTypeAdapter,6,720
RequestBody,11,1323
ResponseBody,11,1323
ExclusionStrategy,11,1326
ObjectNavigatorFactory,11,1326
LazilyParsedNumberTest,2,245
StringToValueMapTypeAdapter,6,740
RepositoryInMemory,8,994
ProtoTypeAdapter,8,1000
JsonWriterTest,8,1015
MainServlet,8,1029
RestRequestReceiver,8,1052
ResourceMap,8,1052
RestResponseBuilder,8,1052
HeaderMap,10,1323
FieldNamingPolicy,10,1326
JsonDeserializationContext,10,1326
DisjunctionExclusionStrategy,10,1326
SerializedNameAnnotationInterceptingNamingPolicyTest,10,1326
DisjunctionExclusionStrategyTest,10,1326
VersionExclusionStrategy,10,1326
TestTypes,10,1326
ParameterizedTypeHandlerMapTest,10,1326
TypeUtils,10,1326
StringToValueMapTypeAdapterFactory,5,671
PrettyPrintingTest,9,1211
Intercept,3,405
JsonPostDeserializer,3,405
InstanceCreatorTest,8,1084
OrderClient,7,951
FieldAttributesTest,8,1099
BaseMapTypeAdapter,6,825
TypeVariableTest,7,964
JsonTreeReader,4,553
CustomDeserializerTest,9,1258
DefaultConstructorAllocator,6,843
MetaDataMap,7,992
DefaultDateTypeAdapter,4,574
JsonReader2,3,435
JsonTreeTest,8,1160
JsonNullTest,6,875
ResponseSender,9,1323
ResponseBodyGsonConverter,9,1323
RequestReceiver,9,1323
ExposeAnnotationDeserializationExclusionStrategy,6,882
CodeGen,3,441
HeaderMapSpec,9,1323
GeneratedTypeAdapterProcessor,3,441
GeneratedTypeAdapter,3,441
ExposeAnnotationSerializationExclusionStrategy,6,882
WebServiceResponse,9,1323
JavaWriter,3,441
ExampleClient,7,1031
MemoryRefStack,9,1326
JsonDeserializerExceptionWrapper,9,1326
Cart,7,1033
LeniencyTest,1,148
TypeHierarchyAdapterTest,6,892
MapAsArrayTypeAdapterTest,6,898
RestResponseReceiver,7,1052
RestResponseSender,7,1052
LruCacheTest,7,1065
FieldNamingStrategy2,7,1067
WebServiceCallServerBuilder,7,1070
RuntimeTypeAdapterTest,5,770
RuntimeTypeAdapter,5,770
ThrowableFunctionalTest,2,310
RestDispatcher,6,934
ConcurrencyTest,8,1292
JsonSyntaxException,6,980
IdTest,6,987
GraphAdapterBuilderTest,3,496
RequestBodySpecProvider,8,1323
CallPath,8,1323
RequestBodySpec,8,1323
RequestBodyGsonConverter,8,1323
RequestSpecProvider,8,1323
ContentBodySpec,8,1323
WebServiceCallSpecProvider,8,1323
ResponseBodySpec,8,1323
Repository,6,994
HasId,6,994
RestResource,6,994
ExposeFieldsTest,8,1326
JsonTreeNavigator,8,1326
JsonFieldNameValidator,8,1326
JsonSerializationContext,8,1326
