ClassName,Changes,TotalCommits
ConnectTest,14,95
Element,148,1169
HttpConnection,99,916
HtmlParserTest,62,729
ElementTest,98,1159
Node,93,1169
UrlConnectTest,69,1059
Connection,59,916
Parser,70,1169
Document,70,1169
ParserTest,65,1169
TokeniserTest,4,72
Selector,59,1147
Tag,60,1170
HtmlTreeBuilderState,37,729
SelectorTest,58,1147
DataUtil,53,1070
HtmlTreeBuilder,36,729
TokeniserState,37,785
Entities,43,938
SlowRider,4,92
InterruptedServlet,1,24
Elements,46,1144
TokenQueue,46,1152
TokeniserStateTest,2,52
Evaluator,41,1085
Tokeniser,29,785
TextNode,43,1169
DocumentTest,41,1132
Attributes,42,1169
Token,27,785
CharacterReader,26,785
CleanerTest,36,1110
ConstrainableInputStream,5,158
TestServer,3,95
Whitelist,34,1112
XmlTreeBuilder,22,729
ElementsTest,34,1143
TokenisetStateTest,2,68
Attribute,32,1166
TreeBuilder,21,785
Deflateservlet,1,38
XmlTreeBuilderTest,19,729
W3CDom,12,475
StringUtil,22,924
CDataNode,1,42
EntitiesTest,22,938
Jsoup,25,1154
EchoServlet,2,93
ParseTest,24,1129
NodeTest,24,1130
BaseServlet,2,95
QueryParser,17,816
NodeFilter,2,108
Cleaner,20,1112
DataUtilTest,17,957
Comment,20,1169
W3CDomTest,8,475
HttpConnectionTest,15,898
DocumentType,13,785
Normalizer,3,190
PseudoTextElement,1,65
AndSelector,13,855
ParseSettings,4,264
FormElement,9,600
XmlDeclaration,17,1153
LeafNode,2,141
DataNode,16,1136
Wikipedia,1,74
CharacterReaderTest,10,757
UncheckedIOException,2,158
EntitiesData,1,80
NodeTraversor,12,966
CombiningEvaluator,10,810
HtmlTreeBuilderStateTest,1,82
HtmlTreeBuilderTest,1,82
BuildEntities,3,250
OrSelector,10,849
FormElementTest,7,600
NotSelector,9,855
HelloServlet,1,95
Collector,12,1151
ConstrainableInputStreamTest,1,97
AttributeParseTest,11,1153
HtmlToPlainText,7,736
TraversorTest,1,106
ParentSelector,8,850
TreeBuilderState,7,785
TextNodeTest,9,1023
AttributesTest,8,911
StringUtilTest,8,924
package-info,9,1054
ImmediateParentSelector,7,850
TokenQueueTest,8,975
ElementSelector,7,855
DescendableLinkedList,6,765
ParserSettingsTest,2,264
HasSelector,6,836
BasicSelector,6,855
DocumentTypeTest,5,756
ParseError,5,785
StructuralEvaluator,5,810
RootSelector,5,828
PreviousSequentSiblingSelector,5,844
PrevSiblingSelector,5,844
SelectorNGTest,5,846
SelectMatch,5,855
BooleanAttribute,2,357
MultiLocaleRule,1,191
ChangeNotifyingArrayList,1,191
ImmediatePreviousSiblingSelector,4,823
TextUtil,5,1061
Validate,4,924
TagTest,5,1170
QueryParserTest,3,702
NodeVisitor,4,966
SerializationException,2,486
ParserSelectorNG,3,835
ElementContainerSelector,3,841
AttrSelector,3,854
ListSelector,3,855
ElementList,4,1147
StartTag,4,1169
TokenStream,4,1172
TokenStreamTest,4,1172
CssTest,2,665
ListLinks,3,1038
ParseErrorList,2,714
ElementListTest,3,1145
AttributeParser,3,1169
ParserRuntimeException,3,1172
Position,3,1172
PreviousSiblingSelector,2,816
PrevioustSiblingSelector,2,823
SequentSiblingSelector,2,850
NextSiblingSelector,2,850
TagSelector,2,855
ClassSelector,2,855
IdSelector,2,855
AttributeTest,2,901
AttributeParserTest,2,1166
TokenTest,2,1169
HttpStatusException,1,651
UnsupportedMimeTypeException,1,651
Benchmark,1,1087
