ClassName,Changes,TotalCommits
StrSubstitutor,6,38
StringUtils,157,1465
StrSubstitutorTest,4,38
StrBuilder,43,444
StrBuilderTest,30,340
StrTokenizer,36,465
VariableFormatter,20,289
CompositeFormat,6,104
StringUtilsTest,71,1465
ArrayUtils,63,1305
StrLookupTest,1,23
StrLookup,1,23
StringEscapeUtils,46,1139
Enum,58,1441
DateUtils,48,1226
ExceptionUtils,55,1438
VariableFormatterTest,11,289
ClassUtils,49,1302
LocaleUtilsTest,6,164
SystemUtils,46,1416
LocaleUtils,7,216
StrTokenizerTest,15,465
NumberUtils,47,1465
ToStringStyle,42,1367
ReflectionToStringBuilder,32,1064
DurationFormatUtils,31,1056
CompositeFormatTest,3,104
WordUtils,23,801
ToStringBuilder,38,1367
CharUtils,17,655
FastDateFormat,31,1195
ArrayUtilsTest,33,1304
DateUtilsTest,31,1226
CharSetUtils,37,1465
CompareToBuilder,33,1377
TextTestSuite,12,503
EqualsBuilder,32,1382
Entities,26,1125
LangTestSuite,33,1465
RandomStringUtils,33,1465
HashCodeBuilder,32,1429
NestableDelegate,32,1465
DurationFormatUtilsTest,23,1056
Interpolation,12,557
ObjectUtils,31,1465
MutableByte,12,573
MutableLong,12,573
MutableShort,12,573
MutableFloat,12,573
ValuedEnum,30,1441
EnumTest,29,1441
MappedMessageFormat,10,505
NumberUtilsTest,29,1465
BooleanUtils,24,1231
StringEscapeUtilsTest,22,1139
Validate,23,1200
ClassUtilsTest,23,1228
MutableInt,10,552
CharSet,26,1465
MutableDouble,10,573
Fraction,20,1217
MutableObject,9,548
NumberRange,24,1465
ToStringBuilderTest,22,1366
EnumUtils,23,1441
Tokenizer,11,713
StandardToStringStyle,21,1367
WordUtilsTest,12,801
BitField,18,1223
CharRange,21,1465
StopWatch,17,1210
MethodUtils,18,1302
ArrayUtilsAddTest,9,653
NotImplementedException,15,1101
JVMRandom,15,1109
StrBuilderAppendInsertTest,3,223
DateFormatUtils,14,1056
MutableBoolean,2,151
ExceptionUtilsTestCase,19,1438
EqualsBuilderTest,18,1381
StringUtilsTrimEmptyTest,19,1465
NumberRangeTest,19,1465
RandomStringUtilsTest,19,1465
SystemUtilsTest,14,1080
MutableIntTest,7,549
ReflectionToStringBuilderExcludeTest,2,157
FastDateFormatTest,15,1195
AllLangTestSuite,13,1050
CharSetUtilsTest,18,1465
MutableByteTest,7,573
MutableFloatTest,7,573
MutableTestSuite,7,573
MutableDoubleTest,7,573
MutableShortTest,7,573
MutableLongTest,7,573
SerializationUtils,17,1465
NestableException,17,1465
EntitiesTest,12,1084
StringUtilsSubstringTest,16,1465
NullArgumentException,12,1101
InterpolationTest,6,557
CharEncoding,5,467
CharUtilsTest,7,655
IntHashMapTest,2,195
ObjectUtilsTest,15,1465
NestableRuntimeException,15,1465
OperationEnum,12,1196
ValidateTest,12,1200
IncompleteArgumentException,11,1101
IllegalClassException,11,1101
RandomUtilsTest,11,1105
Nest,7,705
NestBroken,7,705
NestLinked,7,705
NestReferenced,7,705
LongRange,12,1219
WordWrapUtils,11,1120
BooleanUtilsTest,12,1231
NestableRuntimeExceptionTestCase,14,1465
Nestable,14,1465
NestableExceptionTestCase,14,1465
Broken1OperationEnum,8,847
Broken4OperationEnum,8,847
Broken5OperationEnum,8,847
Broken3OperationEnum,8,847
Broken2OperationEnum,8,847
NestableError,13,1408
ReflectionUtils,12,1302
HashCodeBuilderTest,13,1429
StopWatchTest,11,1210
NotImplementedExceptionTest,10,1101
UnhandledException,10,1101
FractionTest,11,1217
DummyEnum,8,886
IntRange,11,1219
ValuedEnumTest,13,1441
BitFieldTest,11,1223
StrMatcher,2,223
StrMatcherTest,2,223
StringUtilsEqualsIndexOfTest,13,1465
NestableDelegateTestCase,13,1465
IntHashMap,9,1027
Mutable,5,573
MutableInteger,5,573
CharEncodingTest,4,467
EnumEqualsTest,5,585
DateFormatUtilsTest,9,1056
EntitiesPerformanceTest,9,1079
EnumUtilsTest,12,1441
IdentifierUtils,10,1203
FloatRange,10,1219
DoubleRange,10,1219
CompareToBuilderTest,11,1375
BuilderTestSuite,11,1379
RandomUtils,9,1136
StringPrintWriter,9,1139
RangeTest,2,259
StringUtilsIsTest,11,1465
SerializationException,11,1465
IntRangeTest,9,1219
MathTestSuite,9,1219
Range,9,1219
MultiLineToStringStyleTest,10,1366
MutableObjectTest,4,548
ToStringStyleTest,3,411
MutableNumber,4,573
CharRangeTest,6,861
Broken1Enum,9,1294
Broken2Enum,9,1294
Broken3Enum,9,1294
EnumTestSuite,10,1441
VariableFormatTest,2,296
VariableFormat,2,296
CharUtilsPerfTest,4,593
MutableBooleanTest,1,151
StandardToStringStyleTest,9,1366
FloatRangeTest,8,1219
AbstractRangeTest,8,1219
DoubleRangeTest,8,1219
TimeTestSuite,8,1221
NestableErrorTestCase,9,1392
AbstractNestableTestCase,9,1394
NullArgumentExceptionTest,7,1101
