ClassName,Changes,TotalCommits
SparseRealVector,29,276
AdamsMoultonIntegrator,19,192
AdamsBashforthIntegrator,17,192
MersenneTwister,6,70
QRDecompositionImpl,34,434
AdamsMoultonIntegratorTest,14,192
AdamsBashforthIntegratorTest,14,192
AdamsIntegrator,10,138
MersenneTwisterTest,5,70
MessagesResources_fr,71,1121
BitsStreamGenerator,4,71
EigenDecompositionImpl,24,434
LUDecompositionImpl,24,434
AbstractEstimator,23,421
NordsieckTransformer,9,165
MultiStartDifferentiableMultivariateRealOptimizerTest,5,92
SynchronizedMultivariateSummaryStatisticsTest,4,75
NordsieckStepInterpolator,12,228
SparseRealMatrix,14,276
QRDecomposition,22,434
QRDecompositionImplTest,21,434
EigenDecompositionImplTest,20,434
SingularValueDecompositionImpl,19,434
MultiStartUnivariateRealOptimizerTest,4,92
AggregateSummaryStatistics,13,305
RealMatrixImpl,81,1972
AbstractRealMatrix,23,563
EuclideanIntegerPointTest,3,79
MathUtils,71,1912
TriDiagonalTransformer,16,434
EigenDecomposition,16,434
LUDecomposition,16,434
AdamsNordsieckTransformer,5,139
BigRealTest,3,84
SimpleEstimationProblem,15,421
BigRealFieldTest,3,85
NordsieckStepInterpolatorTest,8,228
ComplexFieldTest,3,86
DirectSearchOptimizer,39,1121
SparseRealVectorTest,16,460
SparseFieldVector,10,289
SingularValueDecomposition,15,434
DecompositionSolver,15,434
QRSolverTest,15,434
FractionFieldTest,3,87
BigFractionFieldTest,3,88
OLSMultipleLinearRegression,25,737
RandomKey,6,180
RandomKeyMutation,6,180
NaturalRankingTest,9,272
MultistepIntegrator,22,678
CholeskyDecompositionImpl,14,434
RungeKuttaIntegrator,35,1121
GaussNewtonOptimizer,13,417
DenseRealMatrixTest,17,550
SimplexTableau,12,393
RealMatrixImplTest,60,1972
FieldMatrixImplTest,10,329
AbstractFieldMatrix,10,329
Frequency,52,1782
DenseRealMatrix,16,550
SparseRealMatrixTest,16,553
OpenMapRealVector,8,277
LevenbergMarquardtOptimizerTest,12,416
GaussNewtonOptimizerTest,12,417
MathUtilsTest,55,1912
AdaptiveStepsizeIntegrator,32,1121
BigFraction,11,389
DenseFieldMatrixTest,9,321
SimplexSolverTest,11,393
RealMatrix,55,1972
RandomKeyTest,5,180
EmpiricalDistributionImpl,54,1947
LUDecompositionImplTest,12,434
SingularValueDecompositionImplTest,12,434
EigenSolverTest,12,434
BlockRealMatrixTest,5,182
BlockFieldMatrix,5,184
BlockRealMatrix,5,184
Variance,48,1782
GraggBulirschStoerIntegrator,30,1121
BigMatrixImpl,40,1516
AbstractLeastSquaresOptimizer,11,417
TestProblem6,6,231
GaussNewtonEstimator,29,1121
GLSMultipleLinearRegression,19,737
SingularValueSolverTest,11,434
LUSolverTest,11,434
OpenMapRealMatrix,7,277
OpenIntToDoubleHashMap,14,554
SparseFieldMatrixTest,7,285
OLSMultipleLinearRegressionTest,18,737
Fraction,31,1272
Kurtosis,43,1782
SpearmansRankCorrelationTest,6,249
HighamHall54IntegratorTest,27,1121
GraggBulirschStoerIntegratorTest,27,1121
NelderMeadTest,27,1121
LoessInterpolatorTest,4,169
LoessInterpolator,4,169
DescriptiveStatistics,42,1779
StatUtils,42,1782
RandomDataTest,46,1957
EmbeddedRungeKuttaIntegrator,22,937
Vector3D,26,1121
AllTests,26,1121
CurveFitter,4,173
BiDiagonalTransformer,10,434
TestUtils,41,1782
AggregateSummaryStatisticsTest,7,305
SimplexSolver,9,393
MultiStartMultivariateRealOptimizerTest,4,175
NonLinearConjugateGradientOptimizer,9,397
OpenIntToFieldHashMap,7,309
Skewness,40,1782
MathException,40,1782
BrentSolver,42,1879
InvalidRepresentationException,4,180
AbstractListChromosome,4,180
PermutationChromosome,4,180
TournamentSelection,4,180
OnePointCrossover,4,180
GeneticAlgorithmTestPermutations,4,180
FixedGenerationCount,4,180
BinaryChromosome,4,180
ElitisticListPopulation,4,180
BinaryMutation,4,180
ListPopulation,4,180
AdamsIntegratorTest,5,227
BlockFieldMatrixTest,4,182
DescriptiveStatisticsTest,39,1779
GeometricMean,39,1782
StepInterpolatorTestUtils,5,230
MinpackTest,24,1109
DormandPrince54IntegratorTest,24,1121
DormandPrince853IntegratorTest,24,1121
AbstractStepInterpolator,24,1121
LeastSquaresConverter,9,421
ListUnivariateImpl,42,1965
AbstractContinuousDistribution,38,1782
Percentile,38,1782
AbstractIntegrator,15,704
MathRuntimeException,13,611
FieldLUDecompositionImpl,7,329
RealVectorImpl,14,662
Sum,37,1782
Gamma,37,1782
StandardDeviation,37,1782
Max,37,1782
SparseFieldMatrix,6,289
CholeskyDecomposition,9,434
TriDiagonalTransformerTest,9,434
CholeskyDecompositionImplTest,9,434
Clusterable,6,292
EuclideanIntegerPoint,6,292
Covariance,9,443
SummaryStatistics,35,1731
Mean,36,1782
Min,36,1782
SpearmansCorrelation,5,249
RandomDataImpl,39,1957
MultiStartMultivariateRealOptimizer,8,404
MultiStartUnivariateRealOptimizer,8,404
MultiStartDifferentiableMultivariateRealOptimizer,8,404
MultiDirectional,22,1121
LevenbergMarquardtEstimatorTest,22,1121
DormandPrince54StepInterpolator,22,1121
ClassicalRungeKuttaIntegratorTest,22,1121
ContinuousOutputModel,22,1121
DormandPrince853StepInterpolator,22,1121
LevenbergMarquardtEstimator,22,1121
Rotation,22,1121
LevenbergMarquardtOptimizer,8,416
SumOfSquares,34,1782
Complex,34,1782
SumOfLogs,34,1782
DistributionFactory,34,1782
Product,34,1782
GillIntegratorTest,21,1121
GraggBulirschStoerStepInterpolator,21,1121
DenseFieldMatrix,6,321
BrentMinimizerTest,9,485
ConvergenceException,33,1782
AbstractStorelessUnivariateStatistic,33,1782
FirstMoment,33,1782
FourthMoment,33,1782
NotSymmetricMatrixException,8,434
NonSquareMatrixException,8,434
BiDiagonalTransformerTest,8,434
NaturalRanking,5,272
EventState,13,708
UnivariateImpl,36,1967
FieldMatrixImpl,6,329
FieldMatrix,6,329
FieldLUDecompositionImplTest,6,329
FieldLUDecomposition,6,329
FieldDecompositionSolver,6,329
FieldVector,6,329
BigReal,6,330
MatrixUtils,24,1324
UnivariateRealSolverImpl,34,1879
ThirdMoment,32,1782
BisectionSolver,32,1782
GammaDistributionImpl,32,1782
DummyStepInterpolator,20,1121
FirstOrderIntegrator,20,1121
NelderMead,20,1121
ThreeEighthesIntegratorTest,20,1121
AbstractMultipleLinearRegression,13,737
NonLinearConjugateGradientOptimizerTest,7,397
FastFourierTransformer,20,1136
TrapezoidIntegrator,21,1193
SecantSolver,33,1879
AbstractUnivariateRealOptimizer,7,399
EmpiricalDistribution,34,1947
SparseFieldVectorTest,5,287
FrequencyTest,31,1782
SecondMoment,31,1782
AbstractUnivariateStatistic,31,1782
HarmonicFunction,3,173
WeightedObservedPoint,3,173
ParametricRealFunction,3,173
MultiStartDifferentiableMultivariateVectorialOptimizerTest,3,175
EulerStepInterpolatorTest,19,1121
MidpointIntegratorTest,19,1121
DormandPrince54Integrator,19,1121
HighamHall54Integrator,19,1121
ValueServer,33,1947
