ClassName,Changes,TotalCommits
ClassLoadersTest,4,25
Mockito,284,1946
AcrossJVMSerializationFeature,14,107
MockInjectionUsingConstructorIssue421Test,1,11
Reporter,156,1763
ClassLoaders,2,25
MockHandler,123,1737
Invocation,125,1946
SimpleClassGenerator,1,19
MocksSerializationForAnnotationTest,7,135
After,3,59
VerificationAfterDelayTest,3,59
VerificationAfterDelayImpl,3,59
MockSettingsImpl,48,964
ParallelSerializationTest,5,106
InvocationNotifierHandler,18,387
MockUtil,90,1946
MockMaker,15,331
Matchers,84,1929
AdditionalAnswers,11,261
MockitoCore,42,1052
AcrossClassLoaderSerializationTest,4,106
MockHandlerImpl,9,242
CreationSettings,9,244
MockSettings,35,964
CglibMockMaker,12,336
VerificationOverTimeImpl,2,57
InjectingAnnotationEngine,22,631
ReturnsDeepStubs,22,638
VerificationAfterDelay,2,59
MockingDetailsTest,7,211
InjectMocks,19,609
InvocationNotifierHandlerTest,12,387
FieldInitializer,15,485
InvocationTest,60,1946
MocksSerializationTest,25,814
InvocationMatcher,55,1793
MockSettingsInfo,10,333
TimeoutTest,17,578
TestBase,46,1626
ThreadsRunAllTestsHalfManualTest,40,1419
Stubber,50,1795
InvocationsFinder,52,1870
BasicStubbingTest,54,1946
IMethods,54,1946
DescriptiveMessagesWhenVerificationFailsTest,50,1802
InvocationListenerCallbackTest,11,400
VerboseMockitoJUnitRunner,31,1128
InvocationContainerImpl,19,707
InvocationContainerImplTest,14,529
MultiThreadedTest,48,1816
NotifiedMethodInvocationReport,10,387
VerboseMockInvocationLoggerTest,10,388
ReturnsSmartNulls,24,933
MockitoTest,48,1917
MockingDetails,8,323
Timeout,14,578
MockitoConfiguration,37,1536
PropertyAndSetterInjection,10,419
SpyAnnotationEngine,15,631
ReturnsElementsOf,14,589
MockitoDebuggerImpl,17,718
Spy,15,634
MethodInterceptorFilterTest,19,811
MockitoBehavior,45,1946
GenericMetadataSupportTest,4,174
GenericMetadataSupport,4,174
VerifyingRecorder,41,1787
MockitoInvocationHandler,16,711
MockingProgressImpl,40,1784
Fields,7,315
MockInjectionTest,14,631
DefaultInjectionEngine,14,631
NumberOfInvocationsVerifierTest,39,1786
NumberOfInvocationsVerifier,39,1786
PrintSettings,20,916
MockSettingsImplTest,21,962
ArgumentCaptor,22,1008
ClassImposterizer,28,1291
ClassCacheVersusClassReloadingTest,8,369
OngoingStubbing,38,1785
MissingInvocationVerifier,38,1786
MockControl,41,1946
ObjectMethodsGuru,17,809
Location,23,1096
VerificationWithTimeout,12,575
MatchersTest,40,1930
Answers,13,631
Captor,13,634
MockitoMock,2,98
VerificationMode,36,1765
ReturnsEmptyValues,19,933
MockCreationValidator,13,639
InvalidStateDetectionTest,37,1838
DeserializeMockFromFile,2,100
VerboseLoggingOfInvocationsOnMockTest,8,400
SerializeMockToFile,2,100
IncorectBindingPuzzleFixedTest,38,1901
MockitoAnnotations,33,1653
IMockitoConfiguration,23,1158
InvalidUsageTest,38,1915
MethodInterceptorFilter,34,1729
PlaygroundTest,24,1221
OngoingStubbingImpl,19,972
MockUtilTest,38,1946
VerificationInOrderTest,37,1906
BDDMockito,23,1186
RegisteredInvocations,36,1870
InvocationMatcherTest,34,1793
CustomMatchersTest,32,1694
DeepStubbingTest,12,638
InvocationsFinderTest,32,1707
UsingVarargsTest,36,1934
SmartPrinter,17,915
SimplePerRealmReloadingClassLoader,2,108
StubbingWithThrowablesTest,36,1946
MockingProgress,33,1784
DescribedInvocation,5,271
WarningsFinder,12,651
MockHandlerTest,32,1737
OnlyTest,10,543
LocalizedMatcher,22,1196
ClassPathLoader,21,1145
SimpleSerializationUtil,2,110
MethodInvocationReport,7,387
Incubating,6,332
InvocationImpl,5,280
ExtraMatchers,34,1916
DefaultAnnotationEngine,20,1130
NonGreedyNumberOfInvocationsInOrderChecker,6,340
ExactNumberOfTimesVerificationTest,34,1928
InvalidUseOfMatchersTest,34,1931
BasicVerificationTest,34,1946
SpyAnnotationTest,11,631
VerificationWithTimeoutImpl,10,575
ThreadSafeMockingProgress,31,1784
VerifyingRecorderTest,31,1787
MockitoMethod,13,752
DefaultMockingDetails,5,290
DefaultMockitoConfiguration,20,1160
ParentClassNotPublicVeryWeirdBugTest,9,524
ReturnsGenericDeepStubsTest,3,175
FinalMockCandidateFilter,8,471
WarningsFinderTest,11,648
MockHandlerInterface,12,709
InOrderContextImpl,10,593
MockInjectionUsingConstructorTest,7,418
StackTraceFilter,32,1911
StubInfo,12,718
VerificationWrapper,1,60
InternalMockHandler,4,241
NumberOfInvocationsInOrderChecker,21,1266
ModellingDescriptiveMessagesTest,18,1086
SmartNullReturnValues,20,1208
AnswersValidatorTest,23,1408
ScenarioPrinterTest,9,556
Only,13,804
MockNameImpl,4,248
InvocationBuilder,30,1869
ArrayUtils,11,686
MethodsImpl,13,811
DebuggingInfo,19,1189
GenericMaster,9,564
VerboseMockitoJUnitRunnerTest,18,1128
ReturnsArgumentAtTest,4,253
ReturnsArgumentAt,4,253
NumberOfInvocationsCheckerTest,20,1266
InjectionByTypeShouldFirstLookForExactTypeThenAncestorTest,7,447
DescriptiveMessagesOnVerificationInOrderErrorsTest,26,1662
AnswersValidator,22,1408
VerificationUsingMatchersTest,30,1931
AllInvocationsFinder,29,1870
GlobalConfiguration,18,1162
MissingInvocationVerifierTest,27,1753
TimeoutWithAtMostOrNeverShouldBeDisabledTest,1,65
ArgumentMatcher,26,1692
WarningsPrinterImpl,13,847
StubbingWithAdditionalAnswers,4,261
ReturnsIdentity,4,261
VerificationDataInOrderImpl,9,593
PointingStackTraceToActualInvocationTest,26,1716
LastArguments,29,1924
MockitoSampleTest,29,1928
MissingInvocationChecker,19,1266
BeanPropertySetter,7,470
Mock,20,1354
AtLeastXVerificationTest,12,815
PointingStackTraceToActualInvocationChunkInOrderTest,24,1651
NoMoreInteractionsVerificationTest,28,1928
AnnotationsTest,24,1653
VerificationModeImpl,25,1723
FieldInitializerTest,7,485
MockHandlerFactory,3,208
ReturnValues,24,1677
StrictOrderVerifier,27,1888
InvocationMarkerTest,12,840
MissingInvocationInOrderCheckerTest,18,1266
MissingInvocationCheckerTest,18,1266
NumberOfInvocationsChecker,18,1266
GenericMasterTest,8,564
LocationImpl,4,283
PointingStackTraceToActualInvocationChunkTest,24,1713
NiceMessagesWhenVerificationFailsTest,27,1930
WarningsCollector,9,644
MatchersBinder,25,1790
ConsoleSpammingMockitoJUnitRunner,13,931
PublicInvocation,4,287
MethodInfoTest,4,287
LoggingListener,9,647
SerializableMode,1,72
FindingsListener,9,651
ResetTest,15,1088
VerificationInOrderMixedWithOrdiraryVerificationTest,26,1888
NoMoreInvocationsVerifierTest,24,1753
MockingStartedListener,9,658
LocationTest,12,885
NoMoreInteractionsTest,8,591
MockitoStubber,19,1406
InOrderImplTest,8,593
InOrderContext,8,593
BDDMockitoTest,16,1186
StubbingUsingDoReturnTest,19,1409
InvocationsFinderStub,23,1707
LenientCopyToolTest,13,969
StubbedInvocationMatcher,24,1792
Exceptions,25,1881
ArgumentMatchingTool,12,908
SmartPrinterTest,12,915
InvocationMarker,11,840
StackTrackeFilteringTest,25,1910
Equals,25,1924
RegisteredInvocationsAll,2,154
WarningsPrinterImplTest,11,847
RegisteredInvocationsAllTest,2,154
RegisteredInvocationsStubOnly,2,154
MatchersToStringTest,25,1930
ConsoleSpammingMockitoJUnitRunnerTest,12,931
AtLeastXNumberOfInvocationsChecker,16,1244
AtLeastXNumberOfInvocationsInOrderChecker,16,1244
ReturnsMocks,12,933
StubbingWithDelegate,4,313
BeanPropertySetterTest,6,470
OngoingInjecter,6,470
MockCandidateFilter,6,471
TypeBasedCandidateFilter,6,471
NameBasedCandidateFilter,6,471
ConcurrentModificationExceptionOnMultiThreadedVerificationTest,4,314
VoidMethodStubbable,22,1728
ArgumentCaptorTest,15,1184
NumberOfInvocationsInOrderCheckerTest,16,1266
MakesMocksNotToReturnNulls,19,1504
ExperimentalMockitoJUnitRunner,15,1189
StackTraceFilterTest,20,1589
MethodProxyBuilder,11,874
ArgumentsComparator,10,795
MockitoBeforeTestNGMethod,4,318
MockitoAfterTestNGMethod,4,318
DetectingMisusedMatchersTest,15,1196
MockCreationValidatorTest,8,639
FilteredCGLIBProxyRealMethodTest,11,885
SmartNullReturnValuesTest,15,1208
SmartNullsStubbingTest,15,1208
MockHandlerImplTest,3,242
ReplacingObjectMethodsTest,24,1938
ReturningDefaultValuesTest,24,1941
BaseStubbing,12,972
MockCreationSettings,3,244
VerifiableInvocationsFinder,5,407
CollectCreatedMocks,8,655
AtLeastXNumberOfInvocationsCheckerTest,10,821
StackTrackeChangingTest,22,1811
ArgumentMatchingToolTest,11,907
MockitoJUnitRunner,16,1320
MockitoJUnit44Runner,16,1320
MatchersPrinter,11,916
MockFactory,23,1916
ThrowsException,17,1419
MockInjection,5,419
ConstructorInjection,5,419
FilteredCGLIBProxyRealMethod,11,922
ComparableMatchersTest,23,1930
EqualsTest,23,1931
CapturesArgumensFromInvocation,10,840
IMockMaker,4,336
MissingInvocationInOrderChecker,15,1266
NewOngoingStubbing,16,1353
IdentitySet,7,593
IdentitySetTest,7,593
VerificationDataInOrder,7,593
VerificationInOrderWithCallsTest,4,339
VerificationModeFactory,15,1272
ReturnsEmptyValuesTest,11,933
ReturnsSmartNullsTest,11,933
VerificationWithTimeoutTest,16,1361
SpyingOnRealObjectsTest,16,1364
StubberTest,21,1794
ArrayUtilsTest,8,686
StackTraceFilteringTest,20,1716
LocationImplTest,3,258
AdditionalMatchers,20,1731
AnnotationEngine,13,1131
ReturnsIdentityTest,3,261
MockitoSerializationIssue,1,87
MockScanner,4,352
ConsecutiveStubbing,11,972
InvocationContainer,8,708
MockingProgressImplTest,20,1784
ParentTestMockInjectionTest,5,449
DeprecatedAnnotationEngineApiTest,7,631
VerificationModeImplTest,19,1723
MockitoSpy,4,363
CapturingArgumentsTest,11,1009
VerificationModeDecoder,14,1286
NoMoreInvocationsVerifier,19,1753
EqualsWithDeltaTest,2,187
StubInfoImpl,3,282
ShouldMocksCompareToBeConsistentWithEqualsTest,5,473
ModellingVerboseMockitoTest,11,1041
ArgumentsProcessor,3,284
StubbingWithCustomAnswerTest,15,1423
Issue353InjectionMightNotHappenInCertainConfigurationTest,2,190
IOOBExceptionShouldNotBeThrownWhenNotCodingFluentlyTest,4,380
StackTraceRemoverTest,19,1809
AtLeast,13,1244
