ClassName,Changes,TotalCommits
TestAll,154,1497
LocalDate,50,739
LocalDateTime,43,739
LocalTime,37,738
TestDateTimeZoneCutover,25,532
TimeOfDay,68,1532
DateTimeFormatterBuilder,73,1715
DateTime,70,1715
TestLocalDate_Basics,28,732
YearMonthDay,56,1488
DateTimeZone,64,1715
GwtTestAll,12,322
MutableDateTime,60,1715
MonthDay,11,318
DateMidnight,48,1446
Period,42,1358
PeriodFormatterBuilder,42,1358
TestDuration_Basics,43,1391
TestDateTime_Basics,44,1468
TestLocalTime_Constructors,22,736
YearMonth,11,375
DateTimeParserBucket,32,1121
TestDateTimeZone,41,1442
TestLocalDateTime_Basics,20,705
TestMonthDay_Constructors,9,318
TestInterval_Basics,38,1347
AbstractInterval,47,1673
DateTimeFormat,48,1715
TestPeriod_Constructors,37,1362
PersistentInstant,11,405
DateTimeUtils,42,1547
TestLocalDateTime_Constructors,19,703
DateTimeFormatter,46,1715
TestLocalDate_Constructors,19,714
TestDateTimeFormatter,28,1061
AbstractDuration,44,1709
TestPeriod_Basics,35,1362
TestDateTimeUtils,36,1404
TestDateMidnight_Basics,37,1445
TestMonths,16,626
TestDays,16,626
PersistentLocalDateTime,11,431
Duration,43,1709
GJChronology,43,1715
AbstractInstant,43,1715
PersistentInstantAsBigInt,9,360
TestLocalTime_Basics,18,736
TestStringConverter,34,1399
Partial,23,953
BasePartial,31,1292
StringConverter,41,1709
TestHours,15,626
TestWeeks,15,626
TestSeconds,15,626
TestYears,15,626
TestMinutes,15,626
TestGJChronology,41,1715
ISODateTimeFormat,41,1715
AbstractDateTime,41,1715
TestLenientChronology,13,547
TestYearMonthDay_Basics,29,1223
TestDateTime_Properties,34,1468
Interval,38,1673
TestInterval_Constructors,31,1368
TestBaseSingleFieldPeriod,14,626
PersistentLocalDate,13,583
TestSerialization,22,989
TestTimeOfDay_Constructors,27,1223
IslamicChronology,18,816
CopticChronology,35,1594
ZonedChronology,37,1715
TestDateTimeFormat,37,1715
TestConverterManager,30,1399
TestUnsupportedDateTimeField,12,560
BasePeriod,28,1308
TestYearMonth_Constructors,8,375
TestLocalDate_Properties,15,712
TestGregorianChronology,36,1715
TestISODateTimeFormatParsing,14,669
TestMutableInterval_Basics,28,1342
TestReadableIntervalConverter,29,1396
Minutes,13,626
Weeks,13,626
Months,13,626
Seconds,13,626
Days,13,626
Years,13,626
BaseSingleFieldPeriod,13,626
Hours,13,626
AbstractPeriod,28,1358
MutablePeriod,28,1358
PersistentLocalTimeAsString,12,583
PersistentLocalTimeAsTime,12,583
PersistentLocalTimeExact,12,583
TestPeriodFormatterBuilder,26,1270
TestNullConverter,30,1466
TestTimeOfDay_Basics,25,1223
BaseDateTimeField,31,1519
BasicChronology,16,790
TestStringConvert,5,248
PeriodType,27,1359
TestMutablePeriod_Updates,27,1362
AbstractPartial,29,1479
TestJulianChronology,33,1715
Chronology,33,1715
TestReadableDurationConverter,28,1466
TestMutablePeriod_Constructors,26,1362
TestEthiopicChronology,16,839
TestMutableDateTime_Basics,27,1417
TestPeriodFormat,18,950
TestMonthDay_Basics,6,318
TestMonthDay_Properties,6,318
MockZone,10,533
TestDuration_Constructors,26,1391
JulianChronology,32,1715
Instant,32,1715
TestCopticChronology,24,1288
TestFixedDateTimeZone,14,752
PersistentInterval,11,591
MutableInterval,31,1673
TestLocalDateTime_Properties,13,703
TestPeriodType,25,1358
TestIslamicChronology,15,816
AbstractPartialFieldProperty,28,1532
TestGJDate,1,55
AbstractStringBasedJodaType,10,550
DateTimeZoneBuilder,31,1715
TestLongConverter,27,1495
BaseChronology,23,1291
TestInstant_Basics,26,1468
TestLocalTime_Properties,13,736
IllegalInstantException,2,114
TestFieldUtils,15,856
BuddhistChronology,30,1715
TestYearMonthDay_Properties,21,1223
FieldUtils,27,1594
TestPartial_Basics,16,953
DateTimeFieldType,21,1258
TestDateMidnight_Properties,24,1443
TestISOChronology,22,1323
TestMutableInterval_Constructors,22,1342
UnsupportedDateTimeField,28,1709
ConverterManager,28,1709
ZoneInfoCompiler,28,1715
BaseGJChronology,21,1291
TestMutableDateTime_Sets,23,1417
TestMutableDateTime_Adds,23,1417
TestMutablePeriod_Basics,22,1362
TestYearMonth_Properties,6,375
BasicMonthOfYearDateTimeField,13,817
TestISOPeriodFormat,20,1268
ISOChronology,27,1715
GregorianChronology,27,1715
DateTimeField,27,1715
TestBuddhistChronology,27,1715
TestISODateTimeFormat,19,1208
TestReadableInstantConverter,23,1466
TestPeriodFormatParsing,18,1148
TestYearMonthDay_Constructors,19,1223
EthiopicChronology,13,839
DelegatedDateTimeField,26,1709
PersistentDateTimeTZ,15,986
ReadableInstant,26,1715
TestCalendarConverter,22,1466
PersistentDateTime,15,1005
TestPartial_Match,14,941
ReadablePartial,22,1479
LongConverter,25,1709
PersistentYearMonthDay,14,959
BasicFixedMonthChronology,12,822
TestDateTimeComparator,25,1715
PersistentPeriod,8,549
PersistentDuration,8,549
TestPersistentInstantAsBigInt,5,347
BaseLocal,8,557
ReadableInterval,24,1673
TestDateConverter,21,1466
TestDateTime_Constructors,21,1468
TestAbstractPartial,18,1263
IllegalFieldValueException,14,983
TestTextFields,16,1125
AbstractReadableInstantFieldProperty,23,1618
AbstractConverter,24,1709
ReadableDuration,24,1709
LimitChronology,24,1709
TestMillisDurationField,17,1212
DateTimeComparator,24,1715
GJYearOfEraDateTimeField,24,1715
GJMonthOfYearDateTimeField,24,1715
TestReadablePartialConverter,17,1215
TestReadablePeriodConverter,19,1362
TestChronology,18,1291
TestISOPeriodFormatParsing,16,1148
TestTimeOfDay_Properties,17,1223
TestBuilder,15,1080
TestTimeOfDay,21,1532
TestDateTimeFieldType,17,1242
TestPartial_Constructors,13,953
TestPersistentInterval,8,591
TestMutableDateTime_Properties,19,1407
PersistentTimeOfDay,12,892
BasicGJChronology,11,822
TestPeriodFormatter,14,1047
NullConverter,20,1499
TestYearMonth_Basics,5,375
TestBaseDateTimeField,16,1203
TestIllegalFieldValueException,13,983
ReadableIntervalConverter,22,1672
TestInstant_Constructors,19,1468
TestDateTimeFormatterBuilder,22,1715
GJLocaleSymbols,22,1715
GJEraDateTimeField,22,1715
TestMutableInterval_Updates,17,1327
DurationFieldType,16,1258
TestMutableDateTime_Constructors,18,1417
TestPartial_Properties,12,953
TestISODateTimeFormat_Fields,12,954
PeriodFormat,17,1358
ISOPeriodFormat,17,1358
TestScaledDurationField,15,1210
TestPreciseDurationField,15,1210
BasicYearDateTimeField,12,970
TestDurationFieldType,15,1213
TestPersistentInstant,5,405
TestParseISO,20,1621
PersistentTimeOfDayExact,11,892
ReadableDurationConverter,21,1709
MillisDurationField,21,1709
ReadWritableInstant,21,1715
BaseInterval,16,1311
TestAllPackages,18,1497
BasicDayOfYearDateTimeField,11,928
TestDateMidnight_Constructors,17,1446
TestOffsetDateTimeField,14,1195
TestDurationField,11,940
TestPreciseDurationDateTimeField,14,1198
TestPreciseDateTimeField,14,1198
ZoneInfoProvider,20,1715
GJDayOfWeekDateTimeField,20,1715
TestPersistentLocalDateTime,5,431
TestPersistentIntervalNull,5,433
MockPartial,17,1479
BaseDuration,15,1314
TestCompiler,12,1052
TestDateTimeFormatStyle,12,1058
PreciseDurationDateTimeField,19,1709
CalendarConverter,19,1709
TestBasePartial,14,1263
ReadablePeriod,15,1358
ISOYearOfEraDateTimeField,17,1581
ImpreciseDateTimeField,18,1709
RemainderDateTimeField,18,1715
DividedDateTimeField,18,1715
FixedDateTimeZone,18,1715
HibernateTestCase,10,959
BasicDayOfMonthDateTimeField,10,970
ReadWritablePeriod,14,1358
TestPersistentLocalDate,6,583
TestPersistentLocalTime,6,583
TestPersistentDateTime,10,986
AssembledChronology,16,1594
TestConverterSet,14,1399
DelegatedDurationField,17,1709
LenientDateTimeField,17,1709
UnsupportedDurationField,17,1709
DurationField,17,1709
TestGJDayOfMonthField,17,1715
TestGJWeekOfWeekyearField,17,1715
GJDayOfMonthDateTimeField,17,1715
OffsetDateTimeField,17,1715
GJWeekOfWeekyearDateTimeField,17,1715
TestGJMonthOfYearField,17,1715
TestGJDateTimeField,17,1715
DateTimeConstants,17,1715
TestGJDayOfYearField,17,1715
TestGJWeekyearField,17,1715
TestGJDayOfWeekField,17,1715
DateTimePrinter,17,1715
ThingWithInstant,4,405
BaseDateTime,13,1321
TestUTCProvider,14,1432
CopticYearDateTimeField,10,1023
BasicWeekyearDateTimeField,9,928
BasicWeekOfWeekyearDateTimeField,9,928
BaseDurationField,14,1458
PeriodPrinter,13,1358
ReadWritableInterval,16,1673
MockUnknownCalendar,14,1466
MutableHelper,2,211
TestPersistentYearMonthDay,9,959
Schedule,9,959
DecoratedDateTimeField,16,1709
DecoratedDurationField,16,1709
DurationConverter,16,1709
PreciseDurationField,16,1709
PreciseDateTimeField,16,1709
GJDayOfYearDateTimeField,16,1715
CachedDateTimeZone,16,1715
TestJulianWeekyearField,16,1715
TestJulianYearField,16,1715
TestGJYearField,16,1715
SkipDateTimeField,10,1081
Event,9,986
TestPersistentDuration,5,549
TestPersistentPeriod,5,549
JodaGwtTestCase,3,331
PeriodFormatter,12,1358
PeriodParser,12,1358
TestDateTimeConstants,13,1475
AbstractPartialInstant,15,1709
ScaledDurationField,15,1709
ClassLoadTest,15,1709
ReadWritableDateTime,15,1709
DurationType,15,1709
LenientChronology,15,1709
FormatUtils,15,1715
TestJulianMonthOfYearField,15,1715
DefaultNameProvider,15,1715
MainTest,13,1497
Plan,5,591
ZeroIsMaxDateTimeField,9,1082
ReadablePartialConverter,10,1215
PartialConverter,10,1218
StrictChronology,14,1709
InstantConverter,14,1709
ReadableInstantConverter,14,1709
ConverterSet,14,1709
DateConverter,14,1709
GJWeekyearDateTimeField,14,1715
NonZeroDateTimeField,14,1715
ReadableDateTime,14,1715
TestJulianDayOfMonthField,14,1715
DateTimeParser,14,1715
GJYearDateTimeField,14,1715
BasicSingleEraDateTimeField,7,864
MockZeroNullIntegerConverter,12,1496
JodaTimePermission,12,1539
MockNullZoneChronology,11,1443
StrictDateTimeField,13,1709
BuddhistEraDateTimeField,13,1715
ParseDateTimeSupport,7,930
FormatSupport,7,930
MockBadChronology,11,1464
SkipUndoDateTimeField,8,1079
TestYearMonthDay,11,1488
ReadablePeriodConverter,10,1358
SomethingThatLasts,4,550
SomethingThatHappens,4,550
TimeZoneTable,8,1123
EventTZ,7,986
UTCProvider,12,1706
Provider,12,1715
DateTimeFieldProperty,12,1715
CopticDayOfMonthDateTimeField,11,1594
CopticEraDateTimeField,11,1594
MockUnknownTimeZone,10,1464
TestPersistentTimeOfDay,6,892
TestPersistentTimeOfDayExact,6,892
PeriodConverter,9,1358
IntervalConverter,11,1665
Examples,10,1548
Util,6,930
JodaTagLibraryValidator,6,930
DateTimeZoneSupport,6,930
NameProvider,11,1715
AbstractDateTimeFormatter,11,1715
AbstractGJChronology,10,1594
CLDRTerritoryGenerator,4,644
TestConstants,2,331
GwtZoneInfoProvider,2,332
Arrays,2,332
ExceptionUtils,2,332
DataInput,2,332
ObjectStreamException,2,332
DataOutput,2,332
GwtTimeZone,2,332
InternalError,2,333
CharArrayWriter,2,333
TimeZone,2,333
ObjectInputStream,2,333
ObjectOutputStream,2,333
InputStream,2,333
Calendar,2,333
Writer,2,333
Locale,2,333
ClassNotFoundException,2,333
WeakReference,2,333
DateFormatSymbols,2,333
SecurityException,2,333
GregorianCalendar,2,333
TestCachedDateTimeZone,1,167
MutableDuration,10,1709
Converter,10,1709
AbstractChronology,9,1594
MutableTimeOnly,9,1640
MutableDateOnly,9,1640
FormatTag,5,930
SetDateTimeZoneSupport,5,930
Resources,5,930
ParseDateTimeTag,5,930
TimeOnly,9,1709
BaseDateTimeFormatter,6,1181
TestDurationType,7,1379
CopticMonthOfYearDateTimeField,8,1594
DurationFormatterBuilder,8,1709
DateOnly,8,1709
PartialInstant,8,1709
AgeCalculator,8,1715
DateTimeBrowser,8,1715
DateTimePerformance,8,1715
TestMutableDuration_Basics,6,1387
DateTimeZoneTag,4,930
SetDateTimeZoneTag,4,930
DateOnlyFieldProperty,7,1641
TimeOnlyFieldProperty,7,1641
BasePeriodFormatter,5,1181
AbstractDateTimeField,7,1709
ReadWritableInstantFieldProperty,6,1618
ThaiBuddhistEraDateTimeField,4,1083
MutableTimePeriod,5,1365
AbstractTimePeriod,5,1365
TestMutableDuration_Constructors,5,1387
AbstractDurationField,6,1709
MutableDateTimeFieldProperty,6,1715
BulkTest,6,1715
ChronologyType,3,865
TestChronologyType,3,865
Territory,2,644
CLDRTerritory,2,644
TestTerritory,2,644
ReadableTimePeriodConverter,4,1364
ReadableTimePeriod,4,1365
TimePeriod,4,1365
ReadWritableTimePeriod,4,1365
PartialInstantConverter,5,1709
AbstractDateTimeFieldProperty,5,1709
TestMDTGet,5,1715
Test,5,1715
TestMDTSet,5,1715
TestGJYearOfEraDateTimeField,5,1715
TestMDTAddWrapped,5,1715
TestMDTAdd,5,1715
TestGJYearDateTimeField,5,1715
AbstractTestDateTimeField,5,1715
AbstractTestDateTimeCommon,5,1715
CutoverChronology,5,1715
TestMutableDuration_Updates,4,1385
IslamicMonthOfYearDateTimeField,2,806
DateFactory,2,821
DateUtil,2,821
Month,2,821
AbstractChoice,2,821
Date,2,821
CurrencyHoliday,2,821
ChoiceList,2,821
Choice,2,821
RawHolidayChoiceImpl,2,821
