ClassName,Changes,TotalCommits
BugCLI80Test,4,0
BugCLI145Test,1,0
BugCLI12Test,5,0
BugCLI122Test,4,0
ArgumentImpl,8,91
Option,6,91
Parser,6,91
LsTest,5,91
DateValidatorTest,5,91
Comparators,5,91
DefaultingCommandLine,5,91
PreferencesCommandLine,5,91
CommandLine,5,91
HelpFormatter,5,91
BugLoopingOptionLookAlikeTest,5,91
DateValidator,5,91
CpTest,5,91
ResourceHelper,5,91
PropertiesCommandLine,5,91
ArgumentBuilder,5,91
OptionException,4,91
Group,4,91
PreferencesCommandLineTest,4,91
DefaultOptionTest,4,91
DefaultingCommandLineTest,4,91
PropertiesCommandLineTest,4,91
DocumentationTest,4,91
PatternBuilder,4,91
FileValidator,4,91
FileValidatorTest,4,91
GroupImpl,4,91
ResourceHelperTest,4,91
ParserTest,4,91
HelpFormatterTest,4,91
HelpLine,4,91
HelpLineImpl,4,91
JDependTest,4,91
PropertyOptionTest,4,91
ParentImpl,4,91
Parent,4,91
ResourceConstants,4,91
WriteableCommandLineTestCase,4,91
DisplaySetting,4,91
ClassValidatorTest,4,91
BugCLI18Test,4,91
CLITestCase,4,91
Validator,4,91
Bug28005Test,4,91
WriteableCommandLine,4,91
Bug27575Test,4,91
CommandLineDefaultsTest,4,91
ComparatorsTest,4,91
WriteableCommandLineImpl,4,91
ArgumentBuilderTest,4,91
Argument,4,91
Bug32533Test,4,91
SwitchTest,3,91
SwitchBuilder,3,91
Switch,3,91
SourceDestArgument,3,91
OptionImpl,3,91
OptionTestCase,3,91
CvsTest,3,91
Bug15648Test,3,91
Bug15046Test,3,91
NumberValidator,3,91
Bug13935Test,3,91
Bug13886Test,3,91
ParentTest,3,91
ParentTestCase,3,91
ProtectedClass,3,91
PropertyOption,3,91
ArgumentTestCase,3,91
ArgumentTest,3,91
WriteableCommandLineImplTest,3,91
NumberValidatorTest,3,91
TimeZoneTestSuite,3,91
NestedGroupTest,3,91
Command,3,91
DefaultOption,3,91
DefaultOptionBuilder,3,91
DefaultOptionBuilderTest,3,91
CommandTest,3,91
CommandLineTestCase,3,91
UrlValidatorTest,3,91
CommandLineImpl,3,91
EnumValidator,3,91
EnumValidatorTest,3,91
CommandBuilder,3,91
UrlValidator,3,91
GroupBuilder,3,91
ClassValidator,3,91
GroupTest,3,91
GroupTestCase,3,91
AntTest,3,91
InvalidArgumentException,3,91
PrecedenceTest,3,91
TestHelpFormatter,1,91
UnrecognizedOptionException,1,91
Util,1,91
ValueTest,1,91
ValuesTest,1,91
TypeHandler,1,91
AlreadySelectedException,1,91
PosixParser,1,91
MissingArgumentException,1,91
ApplicationTest,1,91
ArgumentIsOptionTest,1,91
BasicParser,1,91
BugsTest,1,91
BuildTest,1,91
CLI2Converter,1,91
CLI2ConverterTest,1,91
CommandLineParser,1,91
GnuParseTest,1,91
GnuParser,1,91
LongOptionWithShort,1,91
MissingOptionException,1,91
PatternOptionBuilderTest,1,91
OptionBuilder,1,91
OptionBuilderTest,1,91
OptionGroup,1,91
OptionGroupTest,1,91
OptionValidator,1,91
Options,1,91
OptionsTest,1,91
ParseException,1,91
ParseRequiredTest,1,91
ParseTest,1,91
PatternOptionBuilder,1,91
HelpFormatterExamples,1,91
