ClassName,Changes,TotalCommits
TypeCheckTest,10,84
TypedScopeCreator,10,84
NodeUtil,9,84
DefaultPassConfig,9,84
FunctionType,8,84
DisambiguateProperties,7,84
CheckAccessControls,7,84
TypeValidator,7,84
ProxyObjectType,6,84
FunctionInjector,6,84
SymbolTableTest,6,84
TypeCheck,6,84
TypeInference,5,84
TightenTypes,5,84
FunctionTypeBuilder,5,84
Node,5,84
SymbolTable,5,84
PrototypeObjectType,5,84
FunctionInjectorTest,5,84
InlineFunctionsTest,5,84
RuntimeTypeCheck,5,84
JSType,5,84
AbstractCommandLineRunner,5,84
NoObjectType,4,84
Scope,4,84
JSTypeRegistry,4,84
ConcreteType,4,84
Compiler,4,84
TypedScopeCreatorTest,4,84
CompilerOptions,4,84
ReorderConstantExpression,3,68
ReorderConstantExpressionTest,3,68
PrototypeObjectTypeTest,1,26
NamedType,3,84
CheckMissingReturn,3,84
TypedCodeGenerator,3,84
SemanticReverseAbstractInterpreter,3,84
FunctionToBlockMutatorTest,3,84
NameReferenceGraphConstruction,3,84
LooseTypeCheckTest,3,84
InferJSDocInfo,3,84
InlineFunctions,3,84
LiveVariablesAnalysis,3,84
CheckPropertyOrder,3,84
FunctionToBlockMutator,3,84
DevirtualizePrototypeMethods,3,84
ObjectType,3,84
CompileTask,3,84
PureFunctionIdentifier,3,84
FieldCleanupPass,3,84
ExternExportsPass,3,84
EnumElementType,3,84
SyntacticScopeCreator,2,84
NodeTest,2,84
SourceMapSection,2,84
SourceMapGeneratorV3Test,2,84
SourceMapConsumerV3,2,84
UnionType,2,84
SourceFile,2,84
LiveVariableAnalysisTest,2,84
VariableReferenceCheck,2,84
FunctionTypeTest,2,84
CheckAccessControlsTest,2,84
DisambiguatePropertiesTest,2,84
CompilerInput,2,84
CompilerTypeTestCase,2,84
GlobalVarReferenceMapTest,2,84
AmbiguateProperties,2,84
IRFactory,2,84
CommandLineRunnerTest,2,84
PreprocessorSymbolTable,1,70
SimpleReference,1,70
InputId,1,81
SourceMapGeneratorV1Test,1,84
ConcreteTypeTest,1,84
SourceMapGeneratorV2Test,1,84
DeadAssignmentsElimination,1,84
SourceAst,1,84
SourceMapGeneratorV3,1,84
SimpleSlot,1,84
SpecializeModuleTest,1,84
SuppressDocWarningsGuard,1,84
CompilationLevel,1,84
JSDocInfoBuilder,1,84
CodingConvention,1,84
SyntheticAst,1,84
ScopedAliasesTest,1,84
CodePrinterTest,1,84
CoalesceVariableNamesTest,1,84
CoalesceVariableNames,1,84
ClosureCodingConventionTest,1,84
ClosureCodingConvention,1,84
TypeValidatorTest,1,84
AstValidatorTest,1,84
AstValidator,1,84
UnionTypeBuilder,1,84
UnionTypeTest,1,84
UnreachableCodeElimination,1,84
UnreachableCodeEliminationTest,1,84
DefaultCodingConvention,1,84
ExtractPrototypeMemberDeclarations,1,84
ScopedAliases,1,84
JSError,1,84
JSDocInfo,1,84
JSCompilerSourceExcerptProviderTest,1,84
JSTypeTest,1,84
AbstractCompiler,1,84
JsDocInfoParser,1,84
JsDocInfoParserTest,1,84
JsMessageExtractorTest,1,84
JsonMLAst,1,84
InstanceObjectType,1,84
IRFactoryTest,1,84
GlobalVarReferenceMap,1,84
GlobalVarCleanupPass,1,84
GlobalNamespace,1,84
NodeTraversal,1,84
FunctionRewriterTest,1,84
ParserRunner,1,84
ParserTest,1,84
ProcessClosurePrimitives,1,84
ProcessClosurePrimitivesTest,1,84
FunctionRewriter,1,84
FunctionPrototypeType,1,84
FunctionArgumentInjectorTest,1,84
FunctionArgumentInjector,1,84
ReferenceCollectingCallback,1,84
RenameVarsTest,1,84
FlowSensitiveInlineVariables,1,84
ExtractPrototypeMemberDeclarationsTest,1,84
ReplaceCssNames,1,84
ReplaceCssNamesTest,1,84
JsAst,1,84
