ClassName,Changes,TotalCommits
BCodec,1,0
Base64,13,0
StringEncoderComparator,1,0
SoundexUtils,1,0
SoundexTest,2,0
Soundex,4,0
RefinedSoundexTest,2,0
RefinedSoundex,2,0
RFC1522CodecTest,1,0
QuotedPrintableCodec,1,0
QCodec,1,0
MetaphoneTest,1,0
Metaphone,2,0
HexTest,1,0
Hex,3,0
DoubleMetaphoneTest,1,0
DoubleMetaphone,1,0
DigestUtilsTest,1,0
BinaryEncoderAbstractTest,1,0
Base64TestData,2,0
Base64Test,10,0
Base64OutputStreamTest,1,0
Base64OutputStream,3,0
Base64InputStreamTest,1,0
Base64InputStream,5,0
URLCodec,1,0
