ClassName,Changes,TotalCommits
ZipArchiveInputStream,15,138
SevenZFile,14,138
SevenZOutputFile,13,138
FramedSnappyTestCase,8,138
Coders,8,138
ArjArchiveInputStream,7,138
ZCompressorInputStream,7,138
FramedSnappyCompressorInputStream,7,138
SnappyCompressorInputStream,6,138
SevenZFileTest,6,138
CRC32VerifyingInputStream,6,138
SevenZArchiveEntry,5,138
ArjArchiveEntry,5,138
LZMA2Decoder,4,138
GzipCompressorOutputStream,4,138
ArchiveStreamFactory,4,138
TarArchiveOutputStream,4,138
SnappyDecompressor,3,138
TarArchiveInputStream,3,138
UnshrinkingInputStream,3,138
ZipArchiveOutputStream,3,138
ZipEncodingHelper,3,138
ZipFile,3,138
AbstractLZWInputStream,3,138
ZipUtil,3,138
CompressorStreamFactory,3,138
CpioArchiveInputStream,3,138
GeneralPurposeBit,2,138
ZipArchiveInputStreamTest,2,138
ArjArchiveInputStreamTest,2,138
ZTestCase,2,138
X5455_ExtendedTimestampTest,2,138
BoundedInputStream,2,138
SevenZTestCase,2,138
SevenZOutputFileTest,2,138
LZMACompressorInputStream,2,138
IOUtils,2,138
SevenZMethod,2,138
GZipTestCase,2,138
FallbackZipEncoding,2,138
Folder,2,138
BinaryTree,1,138
TarArchiveInputStreamTest,1,138
BitStream,1,138
TarArchiveOutputStreamTest,1,138
TarUtils,1,138
BinaryTreeTest,1,138
X5455_ExtendedTimestamp,1,138
ExplodingInputStream,1,138
ExplodeSupportTest,1,138
TapeInputStream,1,138
DumpArchiveUtil,1,138
DumpArchiveSummary,1,138
ArchiveUtils,1,138
Archive,1,138
ZipEncodingTest,1,138
AbstractUnicodeExtraField,1,138
ZipFileTest,1,138
ZipTestCase,1,138
BitStreamTest,1,138
SubStreamsInfo,1,138
GzipCompressorInputStream,1,138
CompressorInputStream,1,138
AbstractTestCase,1,138
GzipParameters,1,138
FramedSnappyCompressorInputStreamTest,1,138
CpioArchiveInputStreamTest,1,138
LZMATestCase,1,138
LocalFileHeader,1,138
PureJavaCrc32C,1,138
SevenZArchiveEntryTest,1,138
StartHeader,1,138
CircularBufferTest,1,138
CircularBuffer,1,138
DumpArchiveInputStream,1,138
ChecksumVerifyingInputStream,1,138
FileNameUtil,1,138
BoundedRandomAccessFileInputStream,1,138
ExtraFieldUtils,1,138
CpioArchiveOutputStream,1,138
