ClassName,Changes,TotalCommits
ArrayTypeAdapter,1,5
CollectionTypeAdapterFactory,1,5
NamingPolicyTest,1,5
NullObjectAndFieldTest,1,5
ObjectTypeAdapter,1,5
ParameterizedTypeFixtures,1,5
ProtoTypeAdapter,1,5
ReflectiveTypeAdapterFactory,1,5
RuntimeTypeAdapterFactoryFunctionalTest,1,5
SqlDateTypeAdapter,1,5
TestTypes,1,5
TimeTypeAdapter,1,5
TreeTypeAdapter,1,5
TreeTypeAdaptersTest,1,5
TypeAdapterPrecedenceTest,1,5
TypeAdapters,1,5
TypeHierarchyAdapterTest,1,5
MockExclusionStrategy,1,5
MapTypeAdapterFactory,1,5
LongSerializationPolicy,1,5
ExclusionStrategyFunctionalTest,1,5
CustomDeserializerTest,1,5
CustomTypeAdaptersTest,1,5
DateTypeAdapter,1,5
DefaultDateTypeAdapter,1,5
DelegateTypeAdapterTest,1,5
EnumTest,1,5
ExposeFieldsTest,1,5
JsonAdapterAnnotationTypeAdapterFactory,1,5
FieldNamingPolicy,1,5
Gson,1,5
GsonTypeAdapterTest,1,5
InstanceCreatorTest,1,5
JsonAdapterAnnotationOnClassesTest,1,5
JsonAdapterAnnotationOnFieldsTest,1,5
UncategorizedTest,1,5
