ClassName,Changes,TotalCommits
FilteringGeneratorDelegate,18,96
FilteringParserDelegate,18,96
TokenFilterContext,16,96
BasicFilteringTest,9,96
JsonPointerParserFilteringTest,8,96
TokenFilter,7,96
BasicGeneratorFilteringTest,7,96
JsonPointerGeneratorFilteringTest,6,96
UTF8JsonGenerator,6,96
JsonGenerator,6,96
TestSymbolTables,5,96
ReaderBasedJsonParser,4,96
JsonPointerBasedFilter,4,96
BaseTest,4,96
UTF8StreamJsonParser,3,96
TypeReferenceTest,2,96
TestJsonGenerator,2,96
TestDelegates,2,96
TestDefaultPrettyPrinter,2,96
TestByteBasedSymbols,2,96
VersionUtil,2,96
ResolvedType,2,96
ParserMinimalBase,2,96
BasicParserFilteringTest,2,96
ByteQuadsCanonicalizer,2,96
JsonParser,2,96
FormatFeature,2,96
JsonFactory,2,96
ParserSequenceTest,1,96
TestVersionUtil,1,96
UTF8WriterTest,1,96
ByteArrayBuilderTest,1,96
GeneratorBasicTest,1,96
TestUtf8Generator,1,96
MinimalPrettyPrinter,1,96
JsonFactoryTest,1,96
TestNextXxx,1,96
JsonGeneratorDelegate,1,96
JsonParserDelegate,1,96
JsonPointer,1,96
StringGenerationTest,1,96
SegmentedStringWriterTest,1,96
WriterBasedJsonGenerator,1,96
