ClassName,Changes,TotalCommits
DeserializationContext,33,443
BasicDeserializerFactory,24,443
BeanDeserializerBase,21,443
BeanDeserializerFactory,18,443
ObjectMapper,18,443
EnumDeserializer,17,443
BasicBeanDescription,16,443
TypeFactory,16,443
BeanDeserializer,15,443
JacksonAnnotationIntrospector,14,443
FromStringDeserializer,13,443
StdDeserializer,13,443
MapDeserializer,12,443
ClassUtil,11,443
ProblemHandlerTest,11,443
AnnotationIntrospector,11,443
MapSerializer,10,443
JsonNodeDeserializer,10,443
PropertyValueBuffer,10,443
BeanSerializerFactory,10,443
DeserializationProblemHandler,9,443
BuilderBasedDeserializer,9,443
ValueInstantiator,9,443
EnumDeserializationTest,9,443
TokenBuffer,8,443
DateDeserializers,8,443
SerializationConfig,8,443
NumberDeserializers,8,443
PropertyBuilder,8,443
ExternalTypeHandler,7,443
MapperConfigBase,7,443
BeanAsArrayDeserializer,7,443
SerializerProvider,7,443
JsonMappingException,7,443
DeserializationConfig,7,443
BeanDescription,7,443
BeanAsArrayBuilderDeserializer,7,443
StdValueInstantiator,7,443
POJOPropertiesCollector,7,443
EnumCreatorTest,7,443
FactoryBasedEnumDeserializer,7,443
TypeDeserializerBase,7,443
BasicSerializerFactory,7,443
CreatorCollector,7,443
BaseMapTest,7,443
BeanPropertyWriter,6,443
DeserializationFeature,6,443
TestJavaType,6,443
MutablePropertyConfigOverride,6,443
DateTimeSerializerBase,6,443
CreatorPropertiesTest,6,443
MapperConfig,6,443
EnumResolver,6,443
StdKeyDeserializer,6,443
ObjectReader,6,443
AnnotationIntrospectorPair,6,443
TestJDKAtomicTypes,5,443
TestCustomEnumKeyDeserializer,5,443
TestCustomValueInstDefaults,5,443
SettableAnyProperty,5,443
JsonIncludeTest,5,443
JsonInclude1327Test,5,443
StackTraceElementDeserializer,5,443
TestExceptionSerialization,5,443
TestExceptionDeserialization,5,443
ClassNameIdResolver,5,443
NioPathDeserializer,5,443
AtomicReferenceDeserializer,5,443
JsonValueSerializer,5,443
ObjectWithCreator1261Test,5,443
AnnotatedMethod,5,443
TestTokenBuffer,5,443
ObjectWriter,5,443
AsArrayTypeDeserializer,5,443
StdSerializer,4,443
UntypedObjectDeserializer,4,443
Java7PathDeserializer,4,443
TestEnumDeserialization,4,443
POJOPropertyBuilder,4,443
AsPropertyTypeDeserializer,4,443
DeserializerCache,4,443
AsWrapperTypeDeserializer,4,443
EnumCreatorTest929,4,443
BeanDeserializerBuilder,4,443
MapperFeature,4,443
ReferenceTypeSerializer,4,443
CollectionDeserializer,4,443
ReferenceType,4,443
PropertyConfigOverride,4,443
Module,3,443
SimpleType,3,443
ObjectNode,3,443
IgnorePropsForSerTest,3,443
KeyDeser1429Test,3,443
StdArraySerializers,3,443
ResolvedRecursiveType,3,443
SingleValueAsArray1421Test,3,443
JDKScalarsTest,3,443
