ClassName,Changes,TotalCommits
XmlTokenStreamTest,1,0
NestedUnwrappedLists180Test,3,6
JAXBObjectId170Test,2,7
EmptyElement167Test,2,11
DeserializePolyList178Test,1,7
FromXmlParser,40,543
XmlBeanSerializer,34,543
XmlFactory,34,543
EmptyList177Test,2,35
ToXmlGenerator,31,543
TestPolymorphic,28,544
EmptyPolymorphicTest,1,20
JacksonXmlAnnotationIntrospector,26,543
XmlMapper,25,543
XmlTokenStream,25,543
XmlSerializerProvider,23,543
TestStringValues162,1,24
TestTextValue,18,445
TestDeserialization,21,544
TestEnums,19,501
TestListRoundtrip,11,306
XmlJaxbAnnotationIntrospector,19,541
TestWithJAXBAnnotations,19,543
XmlBeanSerializerBase,7,211
DefaultXmlPrettyPrinter,18,543
XmlBeanPropertyWriter,18,543
XmlTestBase,18,544
TestVersions,16,486
XmlBeanSerializerModifier,17,525
TestSerialization,17,544
WrapperHandlingDeserializer,12,391
JacksonXmlModule,16,533
XmlAnnotationIntrospector,16,543
TestIndentation,16,544
EmptyListDeserTest,1,34
XmlBeanDeserializerModifier,13,455
TestListDeserialization,13,470
UnwrappedListWithEmptyCData129Test,3,113
TestAdapterIssue37,8,306
TestViews,13,498
TestXmlParser,14,544
NestedUnwrappedListsTest,5,195
TestElementWrapper,11,431
TestRootListHandling,6,266
XmlRootNameLookup,12,543
TestStringValues,8,363
AttributeIssue108Test,4,184
UnwrappingWithXMLTest,4,186
TestXmlText,5,237
XmlTypeResolverBuilder,11,524
TextValueTest,4,193
PolymorphicTypesTest,4,195
Issue43Test,4,196
TestXmlGenerator,11,544
TestXMLFormatDetection,10,508
TestUnwrappedLists,8,409
TestJDKSerializability,7,359
TestNestedUnwrappedLists,7,377
package-info,10,543
TestListsUnwrapped,7,384
TestComplex,7,418
TestXmlTokenStream,9,544
ListWithAttributes,3,182
ListAsObjectTest,3,185
RoundtripContentTest,3,186
TestSerializationManual,5,310
TestSerializationAttr,7,453
UnwrappedListsTest,3,195
ObjectId104Test,3,196
Issue97Test,3,196
Issue101UnwrappedListAttributesTest,3,196
TestListSerialization,7,470
JacksonXmlProperty,8,543
TestXmlDeclaration,8,544
TestUnwrappingWithXML,3,210
UnwrappingXmlBeanSerializer,3,210
TestIssue104,3,211
TestSerializationOrdering,3,216
TestUnwrappedDeserIssue86,3,228
JacksonXmlElementWrapper,7,543
PartialReadTest,2,161
TestSerializerCustom,4,336
JacksonXmlRootElement,6,511
TestIssue64Lists,3,261
TestArrayConversions,3,263
AnnotationUtil,5,455
AttributeIssue99Test,2,183
VersionInfoTest,2,186
AttributesWithJAXBTest,2,193
ListDeserializationTest,2,194
FormatDetectionTest,2,195
RootListHandlingTest,2,196
ListAnnotationSharingTest,2,196
AttributeFailIssue108Test,2,199
XmlReadContext,4,398
TestWrappedLists,2,209
TestBinaryData,4,419
TestIssue97,2,211
XmlInfo,5,533
TestIssue47Attribute,3,324
XmlBeanSerializerFactory,5,543
TestOrderingIssue91,2,218
TestUntypedListSerialization,4,470
XmlPrettyPrinter,4,471
TestIssue86,2,237
TestUnwrappedRootList,3,356
Issue76Test,2,241
ModuleVersion,4,486
NodeTest,1,122
XmlTextDeserializer,2,255
TypeUtil,3,388
ElementWrapper,3,388
JacksonXmlCData,1,133
StaxUtil,4,543
TestNamespaces,3,429
TestListAnnotationSharing,2,300
TestIssue43,2,302
IncrementalWritingTest,1,161
TestAttributes,2,376
WithJAXBAnnotationsTest,1,193
ElementWrapperTest,1,193
XmlTextTest,1,193
ArrayConversionsTest,1,193
ListRoundtripTest,1,194
ListSerializationTest,1,194
XmlGeneratorTest,1,195
XmlParserTest,1,195
Issue37AdapterTest,1,196
WrappedListsTest,1,196
MediaItem,2,418
JacksonXmlText,2,445
TestEmptyContent,1,262
TestConflictingGetters,1,410
