ClassName,Changes,TotalCommits
ParserTest,3,0
ParseErrorList,1,1
XmlTreeBuilderTest,5,16
HtmlTreeBuilder,4,16
HtmlParserTest,4,16
TreeBuilder,6,28
XmlTreeBuilder,3,16
HtmlTreeBuilderState,3,16
Parser,4,28
ParseError,3,28
HtmlToPlainText,2,23
HttpConnection,2,28
Element,2,28
TreeBuilderState,2,28
ElementTest,2,28
Tokeniser,2,28
StringUtil,2,28
Connection,2,28
Node,2,28
NodeTest,2,28
NodeTraversor,2,28
TokenQueue,1,28
Jsoup,1,28
UrlConnectTest,1,28
TokeniserState,1,28
DataUtil,1,28
Evaluator,1,28
Tag,1,28
StringUtilTest,1,28
NodeVisitor,1,28
Selector,1,28
Elements,1,28
ElementsTest,1,28
Token,1,28
