ClassName,Changes,TotalCommits,Insertions,Deletions
Option,23,159,1129,117
HelpFormatter,19,159,1325,233
Parser,12,159,512,83
Options,12,159,444,79
OptionBuilder,10,159,453,58
PosixParser,9,159,329,36
DefaultParser,9,159,928,147
CommandLine,8,159,738,192
OptionValidator,7,159,131,33
AmbiguousOptionException,7,159,110,23
PatternOptionBuilder,7,159,260,55
BugsTest,7,159,857,480
MissingOptionException,6,159,119,25
TypeHandler,6,159,322,61
OptionTest,6,159,263,36
GnuParser,6,159,125,11
Util,5,159,85,15
HelpFormatterTest,5,159,808,198
OptionBuilderTest,4,159,223,23
ValueTest,4,159,384,54
OptionsTest,4,159,218,33
BasicParser,4,159,58,8
OptionGroupTest,4,159,303,44
OptionGroup,4,159,201,24
ParserTestCase,4,159,1278,170
BugCLI71Test,4,159,108,16
ValuesTest,3,159,191,17
PosixParserTest,3,159,102,21
BugCLI148Test,3,159,77,12
BugCLI162Test,3,159,392,29
BasicParserTest,3,159,206,53
GnuParserTest,3,159,184,46
ArgumentIsOptionTest,3,159,93,9
PatternOptionBuilderTest,3,159,261,61
ApplicationTest,3,159,376,36
UnrecognizedOptionException,2,159,75,6
AlreadySelectedException,2,159,91,6
ParseException,2,159,45,5
MissingArgumentException,2,159,75,6
DefaultParserTest,2,159,34,5
CommandLineTest,2,159,197,37
BugCLI13Test,2,159,63,8
BugCLI133Test,2,159,52,11
package-info,2,159,25,4
CommandLineParser,1,159,100,4
BugCLI18Test,1,159,52,6
UtilTest,1,159,50,5
