ClassName,Changes,TotalCommits,Insertions,Deletions
DoubleMetaphone2Test,1,1,2564,3872
Base64,13,95,3227,3725
DecoderExceptionTest,4,30,146,195
EncoderExceptionTest,4,30,146,195
URLCodec,11,95,675,1042
StringBytesUtils,7,63,301,573
Base64Test,9,95,3866,4309
StringUtils,5,63,622,622
RequiredCharsetNamesTest,5,63,65,111
Base64OutputStreamTest,7,95,946,1154
Base64InputStreamTest,7,95,1145,1357
RFC1522Codec,7,95,242,403
Base64InputStream,7,95,378,526
Utils,4,63,150,150
StringUtilsTest,4,63,401,401
Base64OutputStream,6,95,373,544
QuotedPrintableCodec,6,95,644,1047
QCodec,5,95,398,707
BCodec,5,95,289,496
UtilsTest,5,95,133,133
Base64TestData,5,95,488,647
StringBytesUtilsTest,3,63,169,338
RequiredCharsetNames,3,63,8,144
CharEncodingTest,3,63,144,144
RFC1522CodecTest,4,95,144,249
URLCodecTest,4,95,794,794
QCodecTest,3,95,278,500
BinaryCodec,3,95,629,629
RefinedSoundex,3,95,584,737
QuotedPrintableCodecTest,3,95,378,626
EncoderException,3,95,302,377
DecoderException,3,95,291,366
Hex,3,95,948,1073
Caverphone,2,95,64,247
Metaphone,2,95,900,1225
DoubleMetaphoneTest,2,95,2773,2932
Soundex,2,95,1098,1265
BCodecTest,2,95,201,380
CharEncoding,1,63,261,261
StringEncoderAbstractTest,1,95,290,400
BinaryCodecTest,1,95,2507,2507
BinaryEncoderAbstractTest,1,95,116,209
CharacterEncodingNames,1,95,79,79
Decoder,1,95,209,296
MetaphoneTest,1,95,1243,1365
SoundexTest,1,95,1318,1436
CaverphoneTest,1,95,436,498
DigestUtilsTest,1,95,682,682
DigestUtils,1,95,1349,1535
