ClassName,Changes,TotalCommits,Insertions,Deletions
SevenZFile,6,54,760,702
SevenZOutputFileTest,5,54,519,120
ZCompressorInputStream,4,54,220,289
ArArchiveInputStream,4,54,654,382
ZipFile,4,54,4248,3582
ArjArchiveInputStream,3,54,236,204
FramedSnappyCompressorInputStream,3,54,186,81
InternalLZWInputStream,2,54,203,203
UnshrinkingInputStream,2,54,302,175
TarUtils,2,54,838,461
IOUtils,2,54,231,45
ArArchiveEntry,2,54,225,107
CpioArchiveOutputStream,2,54,560,430
JarArchiveEntry,2,54,111,80
PureJavaCrc32C,2,54,1193,555
SevenZFileTest,2,54,459,180
TarArchiveOutputStream,2,54,1760,1134
ExplodeSupportTest,2,54,57,22
DumpArchiveInputStream,2,54,238,157
CpioArchiveInputStream,2,54,462,348
ArchiveUtils,2,54,354,105
ArArchiveOutputStream,2,54,268,208
ArchiveOutputStream,2,54,215,75
ArchiveStreamFactory,2,54,962,539
SnappyCompressorInputStream,2,54,663,377
X7875_NewUnix,2,54,74,48
CpioArchiveEntry,2,54,615,340
UnparseableExtraFieldData,1,54,19,12
TarArchiveInputStream,1,54,1815,1174
TarArchiveEntry,1,54,3780,3063
ZipMethod,1,54,90,72
ZipLong,1,54,231,137
TarArchiveOutputStreamTest,1,54,1032,292
TarConstants,1,54,292,79
UnicodePathExtraField,1,54,39,30
XZTestCase,1,54,132,37
ZipFileTest,1,54,717,113
X5455_ExtendedTimestamp,1,54,92,53
ZipArchiveEntry,1,54,1384,858
Zip64ExtendedInformationExtraField,1,54,205,106
UnicodeCommentExtraField,1,54,43,33
ZipArchiveOutputStream,1,54,3413,1796
LongPathTest,1,54,278,111
Simple8BitZipEncoding,1,54,326,326
CharsetNames,1,54,155,138
ArchiveEntry,1,54,57,30
ArchiveInputStream,1,54,175,52
ArjArchiveEntry,1,54,122,24
AsiExtraField,1,54,241,313
BZip2CompressorOutputStream,1,54,1889,2186
BinaryTree,1,54,36,36
BitStream,1,54,16,74
ChangeSetPerformer,1,54,373,89
Charsets,1,54,200,182
SevenZOutputFile,1,54,581,298
DumpArchiveEntry,1,54,157,95
ExtraFieldUtils,1,54,382,265
FramedSnappyCompressorInputStreamTest,1,54,261,57
GeneralPurposeBit,1,54,180,35
GzipCompressorInputStream,1,54,509,168
GzipCompressorOutputStream,1,54,244,73
Pack200CompressorOutputStream,1,54,54,44
SevenZArchiveEntry,1,54,355,77
ZipTestCase,1,54,936,405
