ClassName,Changes,TotalCommits,Insertions,Deletions
UncheckedIOException,1,2,5,1
ConstrainableInputStream,1,2,99,13
Node,5,22,1117,429
Element,5,22,2149,711
HttpConnection,5,22,1601,670
HtmlTreeBuilder,4,22,995,254
TreeBuilder,3,22,148,738
QueryParser,3,22,170,61
HtmlTreeBuilderState,3,22,2005,478
HtmlParserTest,2,22,1385,132
Whitelist,2,22,678,152
W3CDom,2,22,84,35
Normalizer,2,22,8,4
HttpConnectionTest,2,22,256,24
Attributes,2,22,760,286
Entities,2,22,2942,2592
Document,2,22,812,218
DataUtil,2,22,537,261
package-info,1,12,0,0
SelectorTest,1,22,915,153
XmlTreeBuilder,1,22,115,73
CharacterReaderTest,1,22,261,13
CleanerTest,1,22,339,24
UrlConnectTest,1,22,1039,443
CombiningEvaluator,1,22,45,13
TokeniserState,1,22,370,405
Tokeniser,1,22,192,127
Token,1,22,630,244
TagTest,1,22,28,36
Tag,1,22,705,638
FormElement,1,22,33,12
Evaluator,1,22,848,70
DataUtilTest,1,22,226,46
ParserSettingsTest,1,22,33,10
Parser,1,22,842,694
ParseTest,1,22,266,114
ParseSettings,1,22,28,9
DescendableLinkedList,1,22,16,88
NodeTest,1,22,316,28
CharacterReader,1,22,613,272
MultiLocaleRule,1,22,1,0
Elements,1,22,820,177
Selector,1,22,703,647
