ClassName,Changes,TotalCommits,Insertions,Deletions
ClassLoaderUtilTest,1,0,0,0
ClassLoaderUtil,1,0,0,6
NodePointer,6,79,1660,718
ValueUtils,6,79,1169,508
BeanPointer,6,79,543,371
DOMAttributePointer,6,79,393,255
DocumentContainer,5,79,339,146
JXPathContextReferenceImpl,5,79,1423,902
BeanPropertyPointer,5,79,670,358
JXPathContextFactory,5,79,248,255
DynaBeanPropertyPointer,5,79,875,593
BasicTypeConverter,5,79,1229,666
JDOMNodePointer,5,79,1130,959
ReverseComparator,4,79,25,6
NamespaceResolver,4,79,183,99
JXPathIntrospector,4,79,190,161
DOMNodePointer,4,79,1677,885
DynaBeanPointer,4,79,296,167
DescendantContext,4,79,254,281
CoreFunction,4,79,1250,509
CoreOperationRelationalExpression,4,79,74,23
NullPropertyPointer,4,79,621,404
PrecedingOrFollowingContext,4,79,245,288
JXPathBasicBeanInfo,4,79,200,187
NodeTypeTest,3,79,82,126
PageContextHandler,3,79,179,99
CollectionPointer,3,79,606,369
JXPathInvalidAccessException,3,79,105,58
NullPointer,3,79,407,259
CoreOperationMultiply,3,79,132,76
NullElementPointer,3,79,492,348
VariablePointer,3,79,722,374
ChildContext,3,79,234,310
CoreOperationSubtract,3,79,132,76
CoreOperationUnion,3,79,141,78
BasicVariables,3,79,86,106
DynamicPointer,3,79,298,154
Variables,3,79,62,95
AttributeContext,3,79,319,214
DynamicPropertyPointer,3,79,580,274
SelfContext,3,79,158,220
CoreOperationCompare,3,79,132,119
KeywordVariables,3,79,157,93
RootContext,3,79,245,229
Compiler,3,79,134,132
JXPathBeanInfo,3,79,73,105
QName,3,79,253,162
PropertyPointer,3,79,525,270
CoreOperationAnd,3,79,134,76
PackageFunctions,3,79,227,184
ServletRequestHandler,3,79,177,104
JXPathAbstractFactoryException,3,79,87,49
CoreOperation,3,79,793,805
JXPathContext,2,79,991,532
JXPathCompiledExpressionTest,2,79,136,387
JDOMPointerFactory,2,79,164,101
JDOMParser,2,79,168,118
JXPathTypeConversionException,2,79,100,54
JXPathServletContexts,2,79,175,160
JXPath11CompatibleTypeConverter,2,79,45,7
KeyManager,2,79,124,84
JDOMNodeIterator,2,79,329,148
KeyManagerUtils,2,79,17,8
JDOMModelTest,2,79,373,234
JXPathFunctionNotFoundException,2,79,82,45
JXPathCompiledExpression,2,79,278,164
AbstractFactory,2,79,217,145
LangAttributePointer,2,79,307,195
LocationPath,2,79,139,203
XMLParser2,2,79,246,101
XMLParser,2,79,114,77
XMLDocumentContainer,2,79,293,182
VariableReference,2,79,95,128
VariablePointerFactory,2,79,28,31
TreeCompiler,2,79,341,339
SimplePathInterpreter,2,79,1215,595
ServletContextHandler,2,79,159,93
RecursiveAxesTest,2,79,21,17
PropertyOwnerPointer,2,79,500,315
ProcessingInstructionTest,2,79,72,123
PredicateContext,2,79,403,355
Pointer,2,79,122,134
Path,2,79,550,336
ParentContext,2,79,158,228
PageScopeContextHandler,2,79,141,90
PageScopeContext,2,79,140,72
Operation,2,79,70,131
JDOMAttributeIterator,2,79,366,245
NamespacePointer,2,79,346,201
NameAttributeTest,2,79,44,22
MethodLookupUtils,2,79,191,175
MapDynamicPropertyHandler,2,79,161,112
JDOMAttributePointer,2,79,354,230
JDOMNamespacePointer,2,79,326,200
InitialContext,2,79,135,166
InfoSetUtil,2,79,187,217
DOMNodeIterator,2,79,424,263
DOMModelTest,2,79,387,246
CollectionPointerFactory,2,79,173,124
DOMAttributeIterator,2,79,376,203
CompiledExpression,2,79,236,98
Constant,2,79,95,135
CoreOperationOr,2,79,134,76
ConstructorFunction,2,79,112,136
Container,2,79,134,89
CoreOperationNotEqual,2,79,118,79
DynamicPropertiesModelTest,2,79,627,265
CoreOperationNegate,2,79,130,76
CoreOperationMod,2,79,132,76
CoreOperationLessThanOrEqual,2,79,127,83
CoreOperationGreaterThanOrEqual,2,79,127,83
CoreOperationGreaterThan,2,79,126,83
ContainerPointer,2,79,402,236
CoreOperationDivide,2,79,132,76
CoreOperationAdd,2,79,133,76
ContainerPointerFactory,2,79,177,127
DynaBeanPointerFactory,2,79,169,117
DynamicAttributeIterator,2,79,114,68
CoreFunctionTest,2,79,243,185
DynamicPropertyHandler,2,79,45,82
ExpressionPath,2,79,262,249
ExtendedKeyManager,2,79,47,7
BasicNodeSet,2,79,211,101
BadlyImplementedFactoryTest,2,79,1,10
BeanPointerFactory,2,79,173,117
Function,2,79,56,96
FunctionLibrary,2,79,139,166
HttpSessionHandler,2,79,171,99
IdentityManager,2,79,115,78
JXPathServletContextTest,1,46,0,0
ContainerModelTest,1,79,7,32
Constants,1,79,130,76
XMLPreserveSpaceTest,1,79,98,10
XMLSpaceTest,1,79,0,9
XPathParser,1,79,3184,3491
PropertyIterator,1,79,560,234
XPathParserConstants,1,79,139,128
XMLModelTestCase,1,79,1886,1030
BasicNodeSetTest,1,79,66,22
TypeUtils,1,79,816,727
BasicTypeConverterTest,1,79,303,137
SimplePathInterpreterTest,1,79,241,182
UnionContext,1,79,148,200
TypeConverter,1,79,128,79
ClassFunctions,1,79,126,131
StressTest,1,79,165,83
Step,1,79,182,156
ContextDependencyTest,1,79,152,104
ClassLoadingExampleClass,1,79,27,0
BeanAttributeIterator,1,79,220,150
CollectionAttributeNodeIterator,1,79,126,77
ServletRequestAndContext,1,79,28,21
CollectionChildNodeIterator,1,79,130,77
CollectionNodeIterator,1,79,213,89
BeanModelTestCase,1,79,1019,901
BeanModelTest,1,79,190,138
VariableTest,1,79,207,255
NodeTest,1,79,108,84
Parser,1,79,145,140
JXPathServletContextsTestServlet,1,79,7,146
JXPathInvalidSyntaxException,1,79,79,43
EmbeddedColonMapKeysTest,1,79,62,12
EmptyCollectionTest,1,79,0,7
JXPathException,1,79,230,112
EvalContext,1,79,1430,2271
JXPathContextFactoryReferenceImpl,1,79,54,96
JXPathContextFactoryConfigurationError,1,79,38,95
Expression,1,79,272,314
ExpressionContext,1,79,63,97
ExtensionFunction,1,79,195,168
ExtensionFunctionTest,1,79,414,315
ExternalXMLNamespaceTest,1,79,18,14
Functions,1,79,55,93
AncestorContext,1,79,169,246
JDOMNamespaceIterator,1,79,255,146
JXPathNotFoundException,1,79,82,45
JXPathTestCase,1,79,1898,2378
CoreOperationEqual,1,79,117,78
JXPathTestSuite,1,79,201,201
CoreOperationLessThan,1,79,126,83
NodeSetContext,1,79,163,93
NodeSet,1,79,114,64
NodePointerFactory,1,79,163,99
NodeNameTest,1,79,104,130
NodeIterator,1,79,124,79
CoreOperationTest,1,79,136,149
NamespaceContext,1,79,247,143
