ClassName,Changes,TotalCommits,Insertions,Deletions
Util,1,1,0,149
PeepholeFoldConstants,4,32,3191,1672
PeepholeFoldConstantsTest,4,32,1019,316
PeepholeSubstituteAlternateSyntax,4,32,1822,1909
StatementFusionTest,2,20,57,1
StatementFusion,2,20,175,57
PeepholeSubstituteAlternateSyntaxTest,3,32,1121,1017
NodeUtil,3,32,2643,1214
RenameVars,2,32,305,137
Scope,2,32,386,207
AbstractCompiler,2,32,282,74
PeepholeIntegrationTest,2,32,167,74
TypeCheckTest,2,32,7910,1742
Compiler,2,32,1957,1347
RenameVarsTest,2,32,254,59
CheckPropertyOrder,1,30,14,363
CheckPropertyOrderTest,1,30,0,467
SourceMap,1,32,776,1152
ParserRunner,1,32,156,115
SourceMapGeneratorV1,1,32,696,696
RemoveUnusedVarsTest,1,32,864,312
RemoveUnusedVars,1,32,1583,877
Position,1,32,46,46
SourceMapGeneratorV1Test,1,32,910,910
TypeSafeDispatcher,1,32,53,50
SourceMapGeneratorV2,1,32,1079,1079
TypedScopeCreator,1,32,3300,2384
TypedScopeCreatorTest,1,32,1550,238
PassConfig,1,32,180,160
SourceMapGeneratorV2Test,1,32,785,785
SourceMapGenerator,1,32,126,126
AbstractCommandLineRunner,1,32,3207,1159
NodeUtilTest,1,32,1272,351
JsDocInfoParserTest,1,32,1368,419
AliasKeywords,1,32,111,62
AliasKeywordsTest,1,32,42,19
AmbiguateProperties,1,32,240,189
AmbiguatePropertiesTest,1,32,213,20
ClosureCodingConvention,1,32,371,210
CodeGenerator,1,32,951,531
CodePrinter,1,32,413,309
CodePrinterTest,1,32,1633,658
CommandLineRunner,1,32,1525,527
CommandLineRunnerTest,1,32,1702,302
CompilerOptions,1,32,1934,399
Config,1,32,85,35
DefaultPassConfig,1,32,2505,1260
DiagnosticGroups,1,32,441,238
DisambiguateProperties,1,32,395,219
DisambiguatePropertiesTest,1,32,656,136
ExternExportsPass,1,32,452,340
FunctionTypeTest,1,32,450,57
IRFactory,1,32,1268,837
IRFactoryTest,1,32,959,962
JSType,1,32,1286,732
JSTypeRegistry,1,32,1108,591
JsDocInfoParser,1,32,1877,1368
NameReferenceGraphConstruction,1,32,102,99
