ClassName,Changes,TotalCommits,Insertions,Deletions
CSVParser,38,144,2276,1647
CSVFormat,33,144,5575,3540
Lexer,18,144,903,442
CSVParserTest,17,144,3228,2085
Assertions,3,33,25,6
CSVPrinterTest,13,144,2771,1386
CSVRecord,12,144,465,276
CSVLexerTest,10,144,653,820
CSVLexer,9,144,802,802
CSVPrinter,9,144,1176,820
AssertionsTest,2,33,17,1
ExtendedBufferedReader,8,144,492,301
CSVRecordBooleanTest,4,74,19,82
CSVFormatTest,7,144,2375,1276
CSVFileParserTest,7,144,169,107
FercGovTest,3,86,10,97
PerformanceTest,5,144,464,259
CSVRecordTest,5,144,139,48
CSVRecordLongTest,2,74,64,64
CSVRecordIntTest,2,74,64,64
ExtendedBufferedReaderTest,3,144,670,460
Utils,3,144,13,27
TokenMatchers,3,144,16,18
CSVLexer1,3,144,286,286
CSVLexer1306663,3,144,266,266
CSVFormatBuilderTest,3,144,167,319
CSVLexer1306667,3,144,266,266
package-info,3,144,29,27
Constants,2,144,133,51
LexerTest,2,144,613,223
Token,2,144,39,28
CSVLexer3,2,144,30,278
