ClassName,Changes,TotalCommits,Insertions,Deletions
UTF8StreamJsonParser,6,21,2620,1792
ParserMinimalBase,6,21,698,495
TestLocation,1,4,35,88
ParserBase,5,21,543,431
TestParserDupHandling,2,9,53,108
DupDetector,2,9,27,13
JsonParser,4,21,1260,752
ReaderBasedJsonParser,4,21,2314,1233
JsonTokenId,2,13,58,1
GeneratorBase,3,21,478,483
TestGeneratorDupHandling,1,7,53,23
JsonToken,3,21,134,91
TestRootValueParsing,2,20,0,52
JsonReadContext,2,21,181,161
TestValueConversions,2,21,194,194
UTF8JsonGenerator,2,21,1121,783
TestJsonParser,2,21,267,812
TestRootValues,1,20,210,7
TestParserNonStandard,1,21,66,515
TestParserErrorHandling,1,21,36,113
TestUtf8Generator,1,21,112,23
TestNumericValues,1,21,649,649
ByteSourceJsonBootstrapper,1,21,89,75
TestJsonParserSymbols,1,21,121,121
TestJsonGenerator,1,21,403,403
TestGeneratorMisc,1,21,140,175
SerializedString,1,21,236,78
SerializableString,1,21,136,34
JsonWriteContext,1,21,167,138
JsonParserDelegate,1,21,312,315
JsonParseException,1,21,232,145
JsonGenerator,1,21,1682,811
JsonEncoding,1,21,19,9
TestBase64Parsing,1,21,153,153
