ClassName,Changes,TotalCommits,Insertions,Deletions
DurationFormatUtils,3,14,1229,1396
DurationFormatUtilsTest,2,14,825,987
NumberUtils,2,14,2479,3015
CharRange,1,14,300,505
RandomUtils,1,14,297,297
WordUtils,1,14,594,847
StringUtilsTest,1,14,2608,2950
StringUtils,1,14,9763,11372
StringEscapeUtilsTest,1,14,456,638
StringEscapeUtils,1,14,1362,1862
StrBuilderTest,1,14,2675,3594
StrBuilder,1,14,1856,3302
StopWatch,1,14,412,651
ObjectUtilsTest,1,14,330,456
RandomStringUtils,1,14,349,602
CharSet,1,14,447,599
ObjectUtils,1,14,561,665
MutableTestSuite,1,14,75,75
JVMRandom,1,14,296,296
EntitiesTest,1,14,302,302
CharSetUtilsTest,1,14,350,490
CharSetUtils,1,14,526,755
WordUtilsTest,1,14,281,479
