ClassName,Changes,TotalCommits,Insertions,Deletions
RealFieldElement,4,38,0,0
DiscreteDistribution,4,38,0,0
RandomDataGenerator,3,38,0,0
DerivativeStructure,3,38,0,0
ArrayFieldVector,3,38,0,0
DiscreteIntegerDistribution,3,38,0,0
DiscreteRealDistribution,3,38,0,0
RandomDataGeneratorTest,3,38,0,0
DiscreteRealDistributionTest,2,38,0,0
ExtendedFieldElementAbstractTest,2,38,0,0
DiagonalMatrix,2,38,0,0
RRQRDecomposition,2,38,0,0
QRDecomposition,2,38,0,0
Primes,2,38,0,0
PollardRho,2,38,0,0
LevyDistribution,2,38,0,0
LevyDistributionTest,2,38,0,0
DiagonalMatrixTest,2,38,0,0
MathArrays,2,38,0,0
Dfp,2,38,0,0
SmallPrimes,2,38,0,0
Decimal64,2,38,0,0
Well512aTest,1,38,0,0
UnivariatePeriodicInterpolator,1,38,0,0
MersenneTwisterTest,1,38,0,0
MicrosphereInterpolatingFunction,1,38,0,0
MultivariateInterpolator,1,38,0,0
NaturalRanking,1,38,0,0
UnivariateDifferentiableFunction,1,38,0,0
NormalDistribution,1,38,0,0
OneWayAnova,1,38,0,0
OneWayAnovaTest,1,38,0,0
UnivariateInterpolator,1,38,0,0
PolynomialFunction,1,38,0,0
PolynomialFunctionLagrangeForm,1,38,0,0
PolynomialFunctionNewtonForm,1,38,0,0
PolynomialSplineFunction,1,38,0,0
NaturalRankingTest,1,38,0,0
TrivariateGridInterpolator,1,38,0,0
PrimesTest,1,38,0,0
MathArraysTest,1,38,0,0
SmoothingPolynomialBicubicSplineInterpolator,1,38,0,0
SparseFieldVector,1,38,0,0
SingularValueDecompositionTest,1,38,0,0
SingularValueDecomposition,1,38,0,0
Sinc,1,38,0,0
Sigmoid,1,38,0,0
RandomGeneratorAbstractTest,1,38,0,0
QRDecompositionTest,1,38,0,0
StepFunction,1,38,0,0
SynchronizedRandomGeneratorTest,1,38,0,0
RRQRSolverTest,1,38,0,0
TrapezoidIntegrator,1,38,0,0
RRQRDecompositionTest,1,38,0,0
TricubicSplineInterpolator,1,38,0,0
AbstractDifferentiableUnivariateSolver,1,38,0,0
JacobianFunction,1,38,0,0
LegendreRuleFactory,1,38,0,0
EnumeratedRealDistributionTest,1,38,0,0
EnumeratedIntegerDistributionTest,1,38,0,0
EnumeratedIntegerDistribution,1,38,0,0
EnumeratedDistribution,1,38,0,0
EmpiricalDistributionTest,1,38,0,0
EmpiricalDistribution,1,38,0,0
DSCompiler,1,38,0,0
BivariateGridInterpolator,1,38,0,0
BitsStreamGeneratorTest,1,38,0,0
BitsStreamGenerator,1,38,0,0
BicubicSplineInterpolator,1,38,0,0
BaseUnivariateSolver,1,38,0,0
BaseSecantSolver,1,38,0,0
BaseRuleFactory,1,38,0,0
BaseAbstractUnivariateSolver,1,38,0,0
BaseAbstractUnivariateIntegrator,1,38,0,0
AbstractUnivariateDifferentiableSolver,1,38,0,0
AbstractIntegerDistribution,1,38,0,0
EnumeratedRealDistribution,1,38,0,0
Erf,1,38,0,0
LegendreHighPrecisionRuleFactory,1,38,0,0
ErfTest,1,38,0,0
LegendreGaussIntegrator,1,38,0,0
AbstractFieldMatrix,1,38,0,0
IterativeLegendreGaussIntegrator,1,38,0,0
Incrementor,1,38,0,0
HarmonicOscillator,1,38,0,0
GradientFunction,1,38,0,0
Gaussian,1,38,0,0
GaussIntegratorFactory,1,38,0,0
GaussIntegrator,1,38,0,0
FunctionUtils,1,38,0,0
Frequency,1,38,0,0
FieldVector3D,1,38,0,0
FieldVector,1,38,0,0
FieldRotation,1,38,0,0
FieldHermiteInterpolatorTest,1,38,0,0
FieldHermiteInterpolator,1,38,0,0
FastMathTestPerformance,1,38,0,0
package-info,1,38,0,0
