ClassName,Changes,TotalCommits,Insertions,Deletions
BugCLI122Test,1,0,45,0
BugCLI80Test,2,0,67,0
BugCLI12Test,3,0,57,0
Parser,3,63,176,417
ArgumentImpl,3,63,374,0
DateValidator,3,63,308,0
HelpFormatterTest,2,63,545,0
HelpFormatter,2,63,638,909
Option,2,63,197,646
ParentImpl,2,63,257,0
DateValidatorTest,2,63,220,0
CpTest,2,63,471,0
CommandLine,2,63,215,318
BugCLI18Test,2,63,60,43
LsTest,2,63,224,0
TestHelpFormatter,1,63,0,177
OptionImpl,1,63,159,0
ParseTest,1,63,0,291
ParseRequiredTest,1,63,0,117
ParseException,1,63,0,37
ParentTestCase,1,63,26,0
ParentTest,1,63,419,0
WriteableCommandLine,1,63,76,0
Parent,1,63,41,0
OptionsTest,1,63,0,121
Options,1,63,0,278
OptionValidator,1,63,0,101
OptionTestCase,1,63,55,0
OptionGroupTest,1,63,0,281
ValueTest,1,63,0,427
OptionGroup,1,63,0,163
OptionException,1,63,107,0
OptionBuilderTest,1,63,0,165
OptionBuilder,1,63,0,373
WriteableCommandLineImpl,1,63,226,0
WriteableCommandLineImplTest,1,63,36,0
NumberValidatorTest,1,63,168,0
NumberValidator,1,63,200,0
NestedGroupTest,1,63,192,0
MissingOptionException,1,63,0,38
MissingArgumentException,1,63,0,39
ValuesTest,1,63,0,254
Validator,1,63,43,0
SwitchTest,1,63,308,0
PropertyOptionTest,1,63,233,0
SwitchBuilder,1,63,194,0
TimeZoneTestSuite,1,63,46,0
TypeHandler,1,63,0,258
UnrecognizedOptionException,1,63,0,39
UrlValidator,1,63,115,0
Switch,1,63,248,0
SourceDestArgument,1,63,138,0
ResourceHelperTest,1,63,84,0
ResourceHelper,1,63,160,0
ResourceConstants,1,63,70,0
ProtectedClass,1,63,23,0
PropertyOption,1,63,167,0
ParserTest,1,63,140,0
PropertiesCommandLineTest,1,63,101,0
PropertiesCommandLine,1,63,155,0
UrlValidatorTest,1,63,93,0
PreferencesCommandLineTest,1,63,106,0
PreferencesCommandLine,1,63,170,0
LongOptionWithShort,1,63,0,114
PosixParser,1,63,0,311
PatternOptionBuilderTest,1,63,0,78
PatternOptionBuilder,1,63,0,213
PatternBuilder,1,63,202,0
Util,1,63,0,67
PrecedenceTest,1,63,413,0
AlreadySelectedException,1,63,0,39
JDependTest,1,63,109,0
Bug28005Test,1,63,79,0
CommandLineDefaultsTest,1,63,251,0
CommandBuilder,1,63,187,0
Command,1,63,175,0
ClassValidatorTest,1,63,248,0
ClassValidator,1,63,201,0
CLITestCase,1,63,85,0
CLI2ConverterTest,1,63,0,0
CLI2Converter,1,63,0,0
BuildTest,1,63,0,102
BugsTest,1,63,0,537
BugLoopingOptionLookAlikeTest,1,63,79,0
Bug32533Test,1,63,48,0
Bug27575Test,1,63,41,0
CommandLineParser,1,63,0,91
Bug15648Test,1,63,60,0
Bug15046Test,1,63,82,0
Bug13935Test,1,63,60,0
Bug13886Test,1,63,89,0
BasicParser,1,63,0,47
ArgumentTestCase,1,63,28,0
ArgumentTest,1,63,646,0
ArgumentIsOptionTest,1,63,0,100
ArgumentBuilderTest,1,63,254,0
ArgumentBuilder,1,63,286,0
Argument,1,63,107,0
ApplicationTest,1,63,0,131
CommandLineImpl,1,63,120,0
CommandLineTestCase,1,63,512,0
InvalidArgumentException,1,63,34,0
FileValidator,1,63,265,0
HelpLineImpl,1,63,110,0
HelpLine,1,63,53,0
AntTest,1,63,198,0
HelpFormatterExamples,1,63,0,113
GroupTestCase,1,63,31,0
GroupTest,1,63,440,0
GroupImpl,1,63,517,0
GroupBuilder,1,63,118,0
Group,1,63,65,0
GnuParser,1,63,0,178
GnuParseTest,1,63,0,270
FileValidatorTest,1,63,196,0
EnumValidatorTest,1,63,66,0
CommandTest,1,63,249,0
EnumValidator,1,63,120,0
DocumentationTest,1,63,445,0
DisplaySetting,1,63,155,0
DefaultingCommandLineTest,1,63,151,0
DefaultingCommandLine,1,63,172,0
DefaultOptionTest,1,63,227,0
DefaultOptionBuilderTest,1,63,200,0
DefaultOptionBuilder,1,63,215,0
DefaultOption,1,63,221,0
CvsTest,1,63,312,0
ComparatorsTest,1,63,221,0
Comparators,1,63,456,0
WriteableCommandLineTestCase,1,63,92,0
