ClassName,Changes,TotalCommits,Insertions,Deletions
SourceMapTest,2,0,0,895
TypeCheckTest,18,205,480,27
NodeUtil,15,205,481,20
Position,2,31,0,0
SourceMapGeneratorV1,2,31,640,0
SourceMapGenerator,2,31,116,0
SourceMapGeneratorV2,2,31,995,0
SourceMapGeneratorV2Test,2,31,777,0
SourceMapGeneratorV1Test,2,31,901,0
DefaultPassConfig,13,205,44,11
CommandLineRunnerTest,11,205,92,6
NodeUtilTest,11,205,533,40
SourceMapSection,1,19,55,0
FilePosition,1,19,49,0
ShadowVariablesTest,1,20,232,0
ShadowVariables,1,20,283,0
PeepholeSubstituteAlternateSyntax,10,205,341,110
JSTypeTest,9,205,382,129
TypedScopeCreator,9,205,402,263
PeepholeSubstituteAlternateSyntaxTest,9,205,282,88
PeepholeFoldConstants,9,205,228,78
StatementFusionTest,2,50,110,0
StatementFusion,2,50,153,0
TypedScopeCreatorTest,8,205,281,13
Compiler,8,205,37,39
PeepholeFoldConstantsTest,8,205,188,12
JSType,8,205,72,19
CodePrinterTest,8,205,66,31
JSTypeRegistry,7,205,102,45
LooseTypeCheckTest,7,205,28,24
CommandLineRunner,7,205,73,12
NoObjectType,7,205,3,160
Util,1,31,149,0
NoResolvedType,3,94,90,0
DiagnosticGroups,6,205,47,23
UnionTypeBuilder,6,205,46,22
FunctionType,6,205,38,34
NoType,6,205,1,14
PeepholeIntegrationTest,6,205,28,18
CssRenamingMap,6,205,23,0
ProcessTweaksTest,4,146,316,0
ProcessTweaks,4,146,558,0
FunctionTypeBuilder,5,205,26,17
TypeCheck,5,205,114,21
CodePrinter,5,205,18,9
IRFactory,5,205,81,4
JsDocInfoParser,5,205,71,27
RenameVarsTest,5,205,59,20
JsDocInfoParserTest,4,205,69,8
AbstractCompiler,4,205,41,13
RenameVars,4,205,118,55
Normalize,4,205,34,7
ExternExportsPassTest,4,205,38,17
ParserTest,4,205,21,6
ExternExportsPass,4,205,34,18
RemoveUnusedVarsTest,4,205,123,6
RemoveUnusedVars,4,205,47,3
ProxyObjectType,4,205,24,2
DisambiguatePropertiesTest,4,205,150,9
AbstractCommandLineRunner,4,205,151,59
BaseJSTypeTestCase,4,205,11,8
CompilerOptions,4,205,110,1
UnionType,4,205,18,6
TypeValidator,4,205,41,7
CodeGenerator,4,205,30,6
TypeInference,4,205,33,12
UnknownType,4,205,2,11
CheckPropertyOrderTest,1,60,467,0
CheckPropertyOrder,1,60,349,0
SourceMap,3,205,51,49
JSTypeNative,3,205,1,0
CollapseVariableDeclarationsTest,3,205,2,2
ObjectType,3,205,49,10
ReplaceCssNames,3,205,69,28
NameAnalyzerTest,3,205,75,5
IRFactoryTest,3,205,58,11
CollapseVariableDeclarations,3,205,1,1
NameAnalyzer,3,205,28,9
FunctionInjectorTest,3,205,10,8
FunctionArgumentInjectorTest,3,205,6,6
UnreachableCodeEliminationTest,3,205,46,14
PeepholeRemoveDeadCode,3,205,48,2
PeepholeRemoveDeadCodeTest,3,205,22,4
CodeConsumer,3,205,3,0
ExpressionDecomposerTest,3,205,37,11
AllType,3,205,0,13
ReplaceCssNamesTest,3,205,51,6
ProcessClosurePrimitives,3,205,115,22
ProcessClosurePrimitivesTest,3,205,38,5
ClosureCodingConvention,3,205,35,25
NamedType,3,205,9,3
