ClassName,Changes,TotalCommits,Insertions,Deletions
HexTest,12,90,142,32
DaitchMokotoffSoundex,4,46,561,0
DigestUtils,5,90,340,19
ColognePhonetic,5,90,16,12
HmacUtils,4,85,794,0
StringUtils,4,90,72,36
BeiderMorseEncoder,4,90,29,26
DaitchMokotoffSoundexTest,2,46,166,0
PhoneticEngineTest,3,90,10,4
Base64,3,90,29,20
CharSequenceUtils,3,90,9,9
Rule,3,90,23,0
HmacAlgorithms,2,85,94,0
PhoneticEngine,2,90,19,6
MessageDigestAlgorithms,2,90,11,1
Languages,2,90,30,2
DigestUtilsTest,2,90,79,4
QuotedPrintableCodec,2,90,198,28
Hex,2,90,123,14
Base32,2,90,1,1
DoubleMetaphone,2,90,8,8
AbstractCaverphone,2,90,2,1
Crypt,2,90,12,12
Base32OutputStream,2,90,6,2
BaseNCodecOutputStream,2,90,26,3
BaseNCodec,2,90,8,7
Base64OutputStream,2,90,6,2
HmacUtilsTest,1,85,276,0
DecoderException,1,90,3,3
Base64InputStream,1,90,2,2
SoundexTest,1,90,1,0
Soundex,1,90,1,1
Sha2Crypt,1,90,1,1
RFC1522Codec,1,90,1,1
QuotedPrintableCodecTest,1,90,75,21
Base32Test,1,90,3,3
QCodec,1,90,2,2
Nysiis,1,90,4,4
PhoneticEngineRegressionTest,1,90,6,1
DoubleMetaphoneTest,1,90,1,1
Metaphone,1,90,2,2
LanguageGuessingTest,1,90,1,1
Lang,1,90,2,2
BaseNCodecTest,1,90,3,3
BinaryCodec,1,90,2,2
Caverphone,1,90,1,1
ColognePhoneticTest,1,90,1,1
EncoderException,1,90,3,3
