ClassName,Changes,TotalCommits,Insertions,Deletions
IterableUtils,12,34,496,109
SynchronizedMultiSet,1,3,164,0
PredicatedMultiSet,1,3,137,0
FluentIterable,8,34,69,41
IteratorUtils,7,34,164,140
AbstractMultiSetDecorator,3,15,107,0
MultiSet,3,15,272,0
FluentIterableTest,6,31,553,0
CollectionUtils,6,34,75,245
IterableUtilsTest,6,34,228,14
CollectionUtilsTest,5,34,43,98
HashMultiSet,2,15,76,0
AbstractMapMultiSet,2,15,780,0
IteratorUtilsTest,4,34,134,8
AbstractMultiValuedMap,4,34,220,259
MultiValuedMap,3,34,69,75
package-info,3,34,40,0
SetUtils,3,34,236,13
UnmodifiableMultiSet,1,14,166,0
AbstractMultiSetTest,1,14,702,0
SetUtilsTest,2,34,144,4
CollectionBag,2,34,3,3
UnmodifiableSortedBidiMap,2,34,3,3
FixedOrderComparator,2,34,7,6
UnmodifiableOrderedBidiMap,2,34,3,3
UnmodifiableMultiValuedMap,2,34,23,23
HashBag,2,34,2,2
SetValuedMap,2,34,13,16
UnmodifiableBoundedCollection,2,34,8,5
UnmodifiableBidiMap,2,34,3,3
TransformedSortedBag,2,34,7,4
TransformedMultiValuedMap,2,34,49,94
ListValuedMap,2,34,12,12
SynchronizedBag,2,34,7,3
MultiMapUtils,2,34,31,31
TransformedBag,2,34,8,4
SynchronizedSortedBag,2,34,6,3
AbstractBidiMapDecorator,2,34,4,1
PredicatedBag,2,34,9,3
SynchronizedCollection,2,34,21,5
PredicatedSortedBag,2,34,8,3
MapUtils,2,34,28,22
AbstractBagDecorator,2,34,5,1
AbstractSortedBagDecorator,2,34,4,1
AbstractOrderedBidiMapDecorator,2,34,5,1
AbstractMultiValuedMapTest,2,34,95,81
AbstractMultiValuedMapDecorator,2,34,39,15
AbstractSortedBidiMapDecorator,2,34,6,1
AbstractCollectionDecorator,2,34,15,2
AbstractMapBag,2,34,22,2
ComparatorUtilsTest,1,18,125,0
ChainedTransformer,1,34,5,5
TransformerPredicate,1,34,2,2
TransformedQueue,1,34,3,3
