ClassName,Changes,TotalCommits,Insertions,Deletions
LongPathTest,3,5,140,0
TarReadTest,2,6,0,0
TarReadTests,2,11,0,0
ZipArchiveInputStream,15,108,189,15
ZipArchiveEntry,12,108,188,48
ZipArchiveOutputStream,11,108,66,42
ZipFile,9,108,81,16
TarArchiveEntry,7,108,47,2
EncryptedArchiveTest,5,78,80,0
ZipUtil,6,108,58,1
ArchiveStreamFactory,6,108,58,16
UnsupportedZipFeatureException,3,55,88,0
UnparseableExtraFieldData,5,95,114,0
GeneralPurposeBit,4,80,169,0
CpioArchiveOutputStream,5,108,98,17
CompressorStreamFactory,5,108,68,7
GZipTestCase,5,108,78,18
TarArchiveInputStream,5,108,107,9
ArchiveOutputStream,5,108,45,10
ExtraFieldUtils,4,108,128,9
TarConstants,4,108,44,4
CpioArchiveEntry,4,108,97,14
ZipFileTest,2,57,114,0
ZipTestCase,3,108,5,7
TarTestCase,3,108,36,38
GzipCompressorInputStream,3,108,38,7
ArchiveInputStream,3,108,50,4
ExtraFieldUtilsTest,3,108,80,1
ZipArchiveEntryTest,3,108,16,4
BZip2CompressorInputStream,3,108,32,5
GeneralPurposeBitTest,2,80,95,0
Lister,2,102,159,0
ExceptionMessageTest,2,105,59,0
ZipEncodingHelper,2,108,6,1
ArArchiveEntry,2,108,6,7
ArArchiveInputStream,2,108,45,5
CpioArchiveInputStream,2,108,6,5
GzipCompressorOutputStream,2,108,11,0
ZipLong,2,108,6,0
CpioConstants,2,108,7,0
CompressorInputStream,2,108,26,2
ArchiveReadTests,2,108,1,7
UnrecognizedExtraField,1,108,4,12
UnicodeCommentExtraField,1,108,1,0
UnicodePathExtraField,1,108,1,0
TarArchiveOutputStream,1,108,1,0
TarUtilsTest,1,108,3,3
AbstractTestCase,1,108,11,8
MemoryArchiveTestCase,1,108,23,23
Change,1,108,59,59
ArArchiveOutputStream,1,108,7,3
ArTestCase,1,108,2,4
ArchiveEntry,1,108,5,1
ArchiveException,1,108,8,8
ArchiveUtils,1,108,16,0
BZip2CompressorOutputStream,1,108,1,0
BZip2TestCase,1,108,33,33
BZip2Utils,1,108,3,2
CRC,1,108,98,98
CpioTestCase,1,108,2,4
MemoryArchiveInputStream,1,108,31,31
DetectCompressorTestCase,1,108,42,2
AbstractUnicodeExtraField,1,108,5,0
GzipUtils,1,108,4,3
IOUtils,1,108,5,5
JarArchiveEntry,1,108,22,22
JarArchiveInputStream,1,108,10,0
JarTestCase,1,108,35,35
Maven221MultiVolumeTest,1,108,66,67
MemoryArchiveEntry,1,108,1,1
ZipUtilTest,1,108,6,6
