ClassName,Changes,TotalCommits,Insertions,Deletions
Lexer,29,0,85,60
CSVFormat,94,306,677,274
CSVParserTest,41,306,317,143
CSVPrinter,39,306,235,127
CSVLexerTest,39,306,279,96
CSVFormatBuilderTest,12,97,196,0
CSVLexer,36,306,110,93
CSVParser,32,306,163,97
TokenMatchersTest,1,11,70,0
TokenMatchers,1,11,91,0
CSVFormatTest,24,306,174,127
CSVPrinterTest,22,306,250,178
PerformanceTest,20,306,178,28
Constants,12,198,53,0
ExtendedBufferedReader,17,306,56,58
CSVRecord,17,306,91,15
CSVFileParserTest,14,301,127,0
Token,14,306,28,19
CSVLexer1306667,11,255,235,0
CSVLexer1306663,11,265,235,0
CSVLexer1,12,306,40,31
Quote,6,156,48,0
CSVLexer3,8,279,254,0
ExtendedBufferedReaderTest,8,306,53,48
package-info,6,247,80,0
Utils,4,263,62,0
CSVLexer130663,2,269,0,0
