ClassName,Changes,TotalCommits,Insertions,Deletions
LeniencyTest,1,3,46,0
Gson,7,62,76,11
TypeAdapters,5,62,93,18
JavaUtilConcurrentLocksTest,4,59,0,0
ISO8601Utils,2,44,348,0
JavaUtilTest,2,52,62,0
ReflectiveTypeAdapterFactory,2,62,12,13
JsonReader,2,62,5,5
JavaUtilConcurrentAtomicTest,1,53,110,0
Streams,1,62,1,1
ObjectTypeAdapter,1,62,1,1
MapTypeAdapterFactory,1,62,1,1
MapTest,1,62,52,8
JsonArray,1,62,1,1
LinkedTreeMap,1,62,4,1
LinkedHashTreeMap,1,62,3,0
TreeTypeAdapter,1,62,2,2
$Gson$Types,1,62,5,5
JsonAdapterAnnotationTypeAdapterFactory,1,62,10,8
JsonAdapterAnnotationOnFieldsTest,1,62,20,0
CollectionTest,1,62,48,12
GsonBuilder,1,62,30,7
FieldNamingPolicy,1,62,2,2
Excluder,1,62,1,1
DefaultDateTypeAdapterTest,1,62,8,0
DefaultDateTypeAdapter,1,62,7,9
DateTypeAdapter,1,62,5,10
ConstructorConstructor,1,62,33,17
JsonAdapterAnnotationOnClassesTest,1,62,23,0
