ClassName,Changes,TotalCommits,Insertions,Deletions
TestEndOfInputObjectMapper1260,2,0,0,0
EnumCreator1291Test,1,0,45,0
DeserializationContext,32,294,512,131
ObjectWithCreator1261Test,5,58,107,0
ProblemHandlerTest,11,163,306,0
ManualReadWithTypeResolution,2,32,156,0
BeanDeserializerBase,17,294,112,33
BasicDeserializerFactory,17,294,148,125
ObjectMapper,17,294,151,169
EnumDeserializer,15,294,72,123
BeanDeserializerFactory,14,294,101,76
BeanDeserializer,14,294,114,22
TypeFactory,13,294,93,49
EnumDeserializationTest,8,183,488,0
BasicBeanDescription,11,294,50,57
StdDeserializer,11,294,189,167
JacksonAnnotationIntrospector,11,294,56,91
MapDeserializer,11,294,28,17
NioPathDeserializer,5,142,41,0
BuilderBasedDeserializer,10,294,51,36
FromStringDeserializer,9,294,17,14
DeserializationProblemHandler,9,294,258,9
AnnotationIntrospector,9,294,62,11
ExternalTypeId198Test,1,33,70,0
ExternalTypeId96Test,1,33,62,0
ExternalTypeId999Test,1,33,55,0
ExternalTypeIdTest,1,33,547,0
ValueInstantiator,8,294,106,22
BeanSerializerFactory,8,294,38,26
JsonNodeDeserializer,8,294,19,12
PropertyValueBuffer,8,294,60,21
ObjectId1083Test,2,77,0,0
DateDeserializers,7,294,8,10
NumberDeserializers,7,294,17,27
MapperConfigBase,7,294,129,17
SerializationConfig,7,294,29,43
BasicSerializerFactory,7,294,21,37
BeanAsArrayBuilderDeserializer,7,294,28,37
TokenBuffer,7,294,31,12
BeanAsArrayDeserializer,7,294,30,39
TestObjectIdWithInjectables639,1,45,85,0
TestObjectIdWithInjectables538,1,45,58,0
MutablePropertyConfigOverride,6,294,0,0
TypeDeserializerBase,6,294,25,19
DateTimeSerializerBase,6,294,2,5
DeserializationConfig,6,294,26,42
ClassUtil,6,294,117,2
MapSerializer,6,294,54,38
EnumResolver,6,294,71,14
BeanDescription,6,294,14,7
StdValueInstantiator,6,294,63,40
BuilderWithIgnored1214Test,3,169,49,0
SerializationFeaturesTest,2,113,296,0
ExternalTypeHandler,5,294,83,25
AsArrayTypeDeserializer,5,294,23,10
AtomicReferenceDeserializer,5,294,21,53
TestTokenBuffer,5,294,133,95
TestJavaType,5,294,38,0
POJOPropertiesCollector,5,294,53,20
BaseMapTest,5,294,40,5
MapperConfig,5,294,32,3
JsonMappingException,5,294,39,38
SerializerProvider,5,294,70,13
ClassNameIdResolver,5,294,19,30
StackTraceElementDeserializer,5,294,40,21
AnnotatedMethod,5,294,13,5
BeanPropertyWriter,5,294,260,225
FactoryBasedEnumDeserializer,3,182,215,0
TestCustomValueInstDefaults,3,193,418,0
Java7PathDeserializer,4,280,0,0
NioPathSerializer,2,142,25,0
AsPropertyTypeDeserializer,4,294,16,5
AnnotationIntrospectorPair,4,294,24,2
TestEnumDeserialization,4,294,0,509
StdSerializer,4,294,15,2
ReferenceTypeSerializer,4,294,349,0
SettableAnyProperty,4,294,29,6
ReferenceType,4,294,63,18
AsWrapperTypeDeserializer,4,294,11,5
PropertyConfigOverride,4,294,0,0
StdKeyDeserializer,4,294,41,28
ObjectReader,4,294,91,70
EnumCreatorTest,2,184,234,0
SkipInjectableIntrospection962Test,2,185,55,0
Java7Support,3,280,48,0
Java7SupportImpl,3,280,86,0
StdArraySerializers,3,294,71,65
JsonValueSerializer,3,294,31,38
UntypedObjectDeserializer,3,294,37,37
StringDeserializer,3,294,2,3
JsonSerializer,3,294,5,7
UnwrappingBeanSerializer,3,294,4,6
PropertyConfigOverrides,3,294,0,0
PrimitiveArrayDeserializers,3,294,25,17
POJOPropertyBuilder,3,294,17,12
OptionalHandlerFactory,3,294,16,16
ObjectWriter,3,294,38,47
TestCustomEnumKeyDeserializer,3,294,1,1
TestJdk7Types,3,294,0,28
NumberSerializers,3,294,25,36
ObjectArrayDeserializer,3,294,4,3
ObjectNode,3,294,40,17
AbstractDeserializer,3,294,2,3
Module,3,294,26,0
CreatorPropertiesTest,3,294,0,0
AnnotatedConstructor,3,294,1,1
FormatFeaturesTest,3,294,64,4
ArraySerializerBase,3,294,3,4
EnumSerializer,3,294,15,9
IgnorePropsForSerTest,3,294,8,1
CollectionDeserializer,3,294,4,3
AnnotatedWithParams,3,294,9,28
DeserializerCache,3,294,9,7
AnnotatedClass,3,294,23,15
DeserializationFeature,3,294,33,1
CoreXMLDeserializers,3,294,36,16
CreatorCollector,3,294,154,48
BeanSerializerBase,3,294,46,34
IgnorePropertyOnDeser1217Test,2,197,61,0
TestJava7Types,1,104,33,0
TestJava6Types,1,104,27,0
TypeConfigOverride,2,213,0,0
TypeConfigOverrides,2,213,0,0
MutableTypeConfigOverride,2,213,0,0
NotANumberConversionTest,1,129,27,0
DateFormatTest,2,265,37,0
ReferenceTypeDeserializer,2,281,131,0
CaseInsensitiveDeserTest,1,144,84,0
BeanSerializer,2,294,4,6
TestSOAP,2,294,0,20
TestExceptionSerialization,2,294,54,2
TestCreators2,2,294,1,1
TestValueAnnotations,2,294,5,5
TestUpdateValue,2,294,3,1
