ClassName,Changes,TotalCommits,Insertions,Deletions
ListDeser191Test,3,17,40,0
FromXmlParser,5,54,98,67
ToXmlGenerator,5,54,21,27
PolymorphicList97Test,1,15,64,0
DeserializePolyList178Test,1,16,86,0
XmlParserTest,2,54,78,63
XmlTypeResolverBuilder,2,54,3,14
JAXBObjectId170Test,1,53,137,0
NestedUnwrappedLists180Test,1,53,74,0
UnwrappedListWithEmptyCData129Test,1,54,2,2
XmlTokenStream,1,54,1,1
XmlTextTest,1,54,20,1
XmlSerializerProvider,1,54,2,2
EmptyPolymorphicTest,1,54,1,1
XmlMapper,1,54,3,5
XmlFactory,1,54,2,0
XmlBeanSerializerBase,1,54,2,1
XmlBeanSerializer,1,54,3,4
UnwrappingXmlBeanSerializer,1,54,5,6
ListAsObjectTest,1,54,0,7
ListRoundtripTest,1,54,1,1
TestUntypedListSerialization,1,54,1,1
TestStringValues162,1,54,44,0
EmptyListDeserTest,1,54,4,0
TestDeserialization,1,54,1,1
RoundtripContentTest,1,54,11,14
ListAnnotationSharingTest,1,54,1,1
NestedUnwrappedListsTest,1,54,5,3
ListSerializationTest,1,54,0,2
TestStringValues,1,54,1,13
