ClassName,Changes,TotalCommits,Insertions,Deletions
ParserTest,5,0,211,70
TreeBuilderState,1,2,1482,0
TreeBuilder,1,2,695,0
CharacterReader,1,2,196,0
TokeniserState,1,2,1779,0
Tokeniser,1,2,231,0
ParseError,1,2,45,0
Token,1,2,248,0
DocumentType,1,2,39,0
Element,7,40,77,66
ElementTest,7,40,44,6
UrlConnectTest,4,40,47,0
HttpConnection,4,40,56,11
Tag,4,40,122,380
AndSelector,3,33,0,0
ParentSelector,3,40,0,44
ElementsTest,3,40,9,2
SelectorTest,3,40,83,67
Parser,3,40,49,592
HasSelector,3,40,0,38
TokenQueue,3,40,8,15
ImmediateParentSelector,3,40,0,34
ImmediatePreviousSiblingSelector,3,40,0,39
Node,3,40,99,1
NotSelector,3,40,0,36
CombiningEvaluator,2,27,82,0
RootSelector,2,33,0,0
QueryParser,2,33,273,0
PreviousSiblingSelector,2,33,0,0
OrSelector,2,33,0,0
BasicSelector,2,33,0,0
Evaluator,2,33,454,0
StringUtil,2,40,11,3
Document,2,40,15,1
NodeTest,2,40,31,0
DataUtil,2,40,6,3
Selector,2,40,61,366
TextNodeTest,2,40,22,0
Entities,2,40,33,1
AttributeParseTest,2,40,12,2
ParseTest,2,40,13,2
StructuralEvaluator,1,27,128,0
Attributes,1,40,31,3
TextNode,1,40,21,1
Collector,1,40,5,4
Connection,1,40,21,0
Validate,1,40,27,0
CleanerTest,1,40,2,2
Attribute,1,40,1,1
TagTest,1,40,9,28
DocumentTest,1,40,2,2
SelectorNGTest,1,40,0,594
SelectMatch,1,40,0,95
ElementSelector,1,40,0,52
Elements,1,40,14,2
PrevioustSiblingSelector,1,40,0,46
EntitiesTest,1,40,8,0
ParserSelectorNG,1,40,0,604
Whitelist,1,40,1,1
