ClassName,Changes,TotalCommits,Insertions,Deletions
CheckAccidentalSemicolonTest,2,0,0,0
CheckAccidentalSemicolon,2,0,0,0
ParserTest,6,31,12,0
IRFactory,6,31,24,125
AstValidator,4,21,803,0
ProcessClosurePrimitivesTest,5,31,22,0
NodeUtil,5,31,5,7
ProcessClosurePrimitives,5,31,36,9
AstValidatorTest,2,13,141,0
PeepholeCollectPropertyAssignmentsTest,4,31,92,15
CompilerTestCase,4,31,34,0
TestErrorReporter,4,31,0,0
Annotation,4,31,0,0
CompilerOptions,4,31,12,9
SourceInformationAnnotatorTest,1,10,48,0
NodeUtilTest,3,31,1,0
LooseTypeCheckTest,3,31,1,1
NodeTraversalTest,3,31,7,4
Node,3,31,14,1
AbstractCommandLineRunner,3,31,36,20
JsonMLConversionTest,3,31,14,4
LocaleUtil,3,31,0,64
NormalizeTest,3,31,7,1
JsonMLAst,3,31,2,0
GroupVariableDeclarationsTest,3,31,1,1
GroupVariableDeclarations,3,31,6,0
ConvertToDottedPropertiesTest,3,31,7,0
ConvertToDottedProperties,3,31,2,1
Compiler,3,31,6,1
Normalize,3,31,5,4
PeepholeCollectPropertyAssignments,3,31,46,21
ObjectPropertyStringPreprocess,3,31,11,1
CodePrinterTest,3,31,1,0
VarCheckTest,3,31,5,0
TypeCheckTest,3,31,1,1
SyntheticAst,3,31,1,0
StatementFusionTest,3,31,1,0
StatementFusion,3,31,3,1
SourceMapLineDecoder,3,31,2,4
SourceMapGeneratorV2Test,3,31,3,3
SourceMapGeneratorV2,3,31,3,128
ScopedAliasesTest,3,31,154,4
ScopedAliases,3,31,39,5
SanityCheckTest,3,31,2,2
SanityCheck,3,31,11,0
Reader,3,31,4,1
PeepholeSubstituteAlternateSyntaxTest,3,31,28,10
PeepholeSubstituteAlternateSyntax,3,31,66,20
PeepholeFoldConstantsTest,3,31,32,4
PeepholeFoldConstants,3,31,22,5
CommandLineRunner,3,31,0,7
Writer,3,31,13,7
