ClassName,Changes,TotalCommits,Insertions,Deletions
PhoneticEnginePerformanceTest,8,70,137,0
PhoneticEngine,26,355,125,161
BaseNCodec,25,355,216,143
Rule,25,355,205,126
DigestUtils,25,355,373,136
MatchRatingApproachEncoderTest,10,154,521,0
Base64,22,355,191,174
Base32,20,355,228,162
Metaphone,20,355,164,141
UnixCrypt,17,302,413,0
QCodec,19,355,133,89
QuotedPrintableCodec,19,355,204,244
Md5Crypt,16,302,302,0
Sha2Crypt,16,302,545,0
MatchRatingApproachEncoder,8,154,426,0
URLCodec,18,355,128,122
DigestUtilsTest,17,355,162,26
DoubleMetaphone,16,355,198,291
Charsets,15,341,156,0
BaseNCodecInputStream,15,355,77,53
RFC1522Codec,14,355,94,86
BCodec,14,355,95,55
StringEncoderComparator,13,355,20,13
Languages,13,355,50,52
Nysiis,13,355,40,38
Crypt,11,302,151,0
Base64Test,12,355,223,203
Hex,12,355,94,62
Lang,12,355,84,98
StringUtils,12,355,191,134
ColognePhonetic,11,355,76,64
CharEncoding,11,355,34,47
Caverphone,10,355,21,19
HexTest,10,355,48,74
AbstractCaverphone,10,355,13,11
BinaryCodec,10,355,39,34
BeiderMorseEncoder,10,355,47,52
RefinedSoundex,10,355,28,25
Soundex,10,355,53,46
B64,8,302,79,0
Caverphone2,9,355,11,8
Utils,8,355,9,8
DecoderException,8,355,15,18
RuleType,8,355,10,5
BaseNCodecOutputStream,8,355,29,23
Caverphone1,8,355,9,7
ResourceConstants,8,355,9,5
Base64OutputStream,8,355,13,13
Sha2CryptTest,5,227,31,0
MessageDigestAlgorithms,5,229,71,0
Encoder,7,355,17,19
StringUtilsTest,7,355,64,49
SoundexUtils,7,355,17,16
NameType,7,355,8,8
DoubleMetaphoneTest,7,355,81,86
BaseNCodecTest,7,355,35,9
Decoder,7,355,20,28
Base64InputStream,7,355,12,12
Base32Test,7,355,46,25
CacheSubSequencePerformanceTest,1,52,80,0
CharsetsTest,6,341,70,0
Base32InputStream,6,355,14,13
StringEncoder,6,355,9,11
StringDecoder,6,355,9,11
QuotedPrintableCodecTest,6,355,115,186
SoundexTest,6,355,99,108
EncoderException,6,355,15,16
RuleTest,6,355,24,22
Base64InputStreamTest,6,355,111,94
BinaryEncoder,6,355,10,14
BinaryDecoder,6,355,8,12
CryptTest,5,302,58,0
UnixCryptTest,5,302,102,0
Sha512CryptTest,5,302,94,0
Sha256CryptTest,5,302,82,0
Apr1CryptTest,5,302,95,0
ApacheModifiedMiGBase64,2,128,0,0
Caverphone2Test,5,355,17,19
Base32InputStreamTest,5,355,94,80
Caverphone1Test,5,355,15,17
StringEncoderAbstractTest,5,355,23,24
Base32OutputStream,5,355,13,12
NysiisTest,5,355,30,31
Md5CryptTest,4,302,76,0
B64Test,4,302,39,0
PhoneticEngineRegressionTest,3,265,224,0
BCodecTest,4,355,36,46
URLCodecTest,4,355,102,101
Base32OutputStreamTest,4,355,41,39
BeiderMorseEncoderTest,4,355,30,30
QCodecTest,4,355,66,76
Base64Codec13Test,4,355,44,48
ColognePhoneticTest,4,355,17,18
BinaryCodecTest,4,355,48,49
Base64OutputStreamTest,4,355,47,44
PhoneticEngineTest,3,355,18,16
CharEncodingTest,3,355,4,5
MetaphoneTest,3,355,67,75
RefinedSoundexTest,3,355,32,40
DoubleMetaphone2Test,3,355,8,16
Codec105ErrorInputStream,2,355,3,3
Base32TestData,2,355,11,11
BinaryEncoderAbstractTest,2,355,5,5
StringEncoderComparatorTest,2,355,14,14
LanguageGuessingTest,2,355,3,3
Base64TestData,2,355,11,11
RFC1522CodecTest,2,355,9,9
DecoderExceptionTest,2,355,7,7
EncoderExceptionTest,2,355,7,7
UtilsTest,1,355,3,3
