ClassName,Changes,TotalCommits,Insertions,Deletions
SevenZFile,6,54,17,18
SevenZOutputFileTest,5,54,15,3
ArArchiveInputStream,4,54,16,28
ZCompressorInputStream,4,54,23,4
ZipFile,4,54,9,19
InternalLZWInputStream,2,27,197,0
ArjArchiveInputStream,3,54,39,37
FramedSnappyCompressorInputStream,3,54,2,3
PureJavaCrc32C,2,50,633,0
IOUtils,2,54,16,1
UnshrinkingInputStream,2,54,3,3
TarUtils,2,54,3,3
ArArchiveEntry,2,54,2,2
CpioArchiveOutputStream,2,54,12,11
JarArchiveEntry,2,54,0,9
SevenZFileTest,2,54,2,2
TarArchiveOutputStream,2,54,4,4
ExplodeSupportTest,2,54,9,0
DumpArchiveInputStream,2,54,15,15
CpioArchiveInputStream,2,54,14,15
ArchiveUtils,2,54,6,4
ArArchiveOutputStream,2,54,3,3
ArchiveOutputStream,2,54,4,7
ArchiveStreamFactory,2,54,4,10
SnappyCompressorInputStream,2,54,12,19
X7875_NewUnix,2,54,3,3
CpioArchiveEntry,2,54,32,29
UnparseableExtraFieldData,1,54,3,4
TarArchiveInputStream,1,54,1,1
TarArchiveEntry,1,54,4,4
ZipMethod,1,54,9,9
ZipLong,1,54,1,1
TarArchiveOutputStreamTest,1,54,3,3
TarConstants,1,54,2,2
UnicodePathExtraField,1,54,3,3
XZTestCase,1,54,1,1
ZipFileTest,1,54,0,1
X5455_ExtendedTimestamp,1,54,3,4
ZipArchiveEntry,1,54,1,2
Zip64ExtendedInformationExtraField,1,54,5,5
UnicodeCommentExtraField,1,54,2,3
ZipArchiveOutputStream,1,54,3,8
LongPathTest,1,54,1,0
Simple8BitZipEncoding,1,54,2,2
CharsetNames,1,54,19,19
ArchiveEntry,1,54,17,4
ArchiveInputStream,1,54,10,7
ArjArchiveEntry,1,54,1,1
AsiExtraField,1,54,2,3
BZip2CompressorOutputStream,1,54,2,4
BinaryTree,1,54,2,2
BitStream,1,54,4,8
ChangeSetPerformer,1,54,1,1
Charsets,1,54,18,18
SevenZOutputFile,1,54,2,1
DumpArchiveEntry,1,54,6,4
ExtraFieldUtils,1,54,4,4
FramedSnappyCompressorInputStreamTest,1,54,0,2
GeneralPurposeBit,1,54,2,2
GzipCompressorInputStream,1,54,1,1
GzipCompressorOutputStream,1,54,3,3
Pack200CompressorOutputStream,1,54,3,6
SevenZArchiveEntry,1,54,4,0
ZipTestCase,1,54,1,1
