ClassName,Changes,TotalCommits,Insertions,Deletions
CSVFormat,15,85,206,40
CSVParser,14,85,45,44
JiraCsv213Test,4,36,74,0
JiraCsv198Test,5,58,47,0
CSVPrinterTest,7,85,350,15
JiraCsv203Test,3,52,127,0
Lexer,4,85,22,3
CSVPrinter,4,85,17,2
CSVParserTest,4,85,32,4
CSVFormatTest,4,85,628,3
PerformanceTest,2,85,0,4
QuoteMode,2,85,5,1
Assertions,2,85,2,2
JiraCsv164Test,1,56,57,0
JiraCsv167Test,1,56,88,0
LexerTest,1,85,0,2
Token,1,85,0,2
ExtendedBufferedReader,1,85,0,2
ExtendedBufferedReaderTest,1,85,0,2
AssertionsTest,1,85,0,1
Constants,1,85,0,2
CSVRecord,1,85,0,2
CSVFormatPredefinedTest,1,85,67,57
CSVFileParserTest,1,85,0,2
Utils,1,85,0,2
