ClassName,Changes,TotalCommits,Insertions,Deletions
UTF8DataInputJsonParser,17,95,2797,0
JsonParser,17,119,145,28
JsonParserTest,12,89,710,0
UTF8StreamJsonParser,12,119,142,82
JsonGenerator,12,119,227,51
ReaderBasedJsonParser,11,119,173,91
BaseTest,9,119,157,70
UTF8JsonGenerator,9,119,93,89
NumberOutput,7,119,274,179
NumberParsingTest,4,77,610,0
WriterBasedJsonGenerator,6,119,83,80
RequestPayloadWrapper,6,119,0,0
JsonParseException,6,119,64,1
GeneratorBase,6,119,16,4
JsonFactory,6,119,79,9
GeneratorFeaturesTest,3,69,323,0
StringGenerationTest,5,119,51,51
ParserBase,5,119,31,23
TestJsonStringEncoder,5,119,45,3
TestRequestPayloadOnParseException,5,119,0,0
JsonStringEncoder,5,119,38,0
NonStandardParserFeaturesTest,3,78,537,0
UTF8NamesParseTest,3,80,237,0
GeneratorBasicTest,4,119,107,44
JsonParserDelegate,4,119,8,1
GeneratorFail282Test,3,92,0,0
NextXxxAccessTest,2,75,524,0
ParserDupHandlingTest,2,77,141,0
CommentParsingTest,2,79,286,0
ParserMinimalBase,3,119,46,9
TestUtf8Generator,3,119,62,8
ParserSequenceTest,3,119,49,6
ByteSourceJsonBootstrapper,3,119,43,9
JsonGeneratorDelegate,3,119,34,4
ArrayGenerationTest,2,94,1,1
GeneratorFailTest,2,119,26,1
ByteQuadsCanonicalizer,2,119,14,14
TextBuffer,2,119,41,2
TestNextXxx,2,119,0,526
FilteringParserDelegate,2,119,5,0
TestJsonGeneratorFeatures,2,119,0,278
TestJDKSerializability,2,119,8,8
TestCustomEscaping,2,119,64,31
TestArrayParsing,2,119,112,0
TestGeneratorMisc,2,119,59,41
JsonWriteContext,2,119,4,4
JsonReadContext,2,119,1,0
JsonParserSequence,2,119,99,34
JsonGeneratorImpl,2,119,53,11
JsonpCharacterEscapes,1,63,46,0
JsonEOFException,1,65,37,0
ValueConversionsTest,1,74,187,0
TestJsonParserBinary,1,74,139,0
ParserSymbolHandlingTest,1,74,55,0
ParserScopeMatchingTest,1,74,188,0
ParserErrorHandlingTest,1,75,111,0
Base64BinaryParsingTest,1,77,158,0
ThrottledInputStream,1,79,32,0
MockDataInput,1,89,99,0
DataOutputAsStream,1,105,44,0
RequestPayload,1,116,67,0
RequestPayloadOnExceptionTest,1,116,144,0
TestScopeMatching,1,119,0,139
TestUtf8Parser,1,119,0,199
TestValueConversions,1,119,0,186
TestWithTonsaSymbols,1,119,8,8
TestComments,1,119,0,274
IOContext,1,119,8,3
FilteringGeneratorDelegate,1,119,0,0
CharsToNameCanonicalizer,1,119,18,18
JsonStreamContext,1,119,15,0
ByteArrayBuilder,1,119,1,1
TestRootValues,1,119,1,1
TestParserFeatures,1,119,32,19
TestParserOverrides,1,119,6,8
TestParserNonStandard,1,119,0,505
TestBase64Generation,1,119,2,26
TestParserErrorHandling,1,119,0,111
TestNumberPrinting,1,119,13,8
SegmentedStringWriter,1,119,1,1
InputDecorator,1,119,24,1
TestJDKSerializable,1,119,0,31
TestIOContext,1,119,5,5
TestGeneratorObject,1,119,1,1
TestGeneratorCopy,1,119,4,4
TestGeneratorArray,1,119,2,2
TestExceptions,1,119,63,0
TestDelegates,1,119,1,1
ObjectCodec,1,119,19,22
