ClassName,Changes,TotalCommits,Insertions,Deletions
EnumCreatorTest929,2,0,29,0
TestConvertingSerializer357,2,0,0,37
ObjectMapper,32,698,454,247
TypeFactory,32,698,801,567
JacksonAnnotationIntrospector,32,698,514,192
TestObjectOrArrayDeserialization,4,93,52,0
SetterConflictTest,1,25,32,0
AnnotationIntrospector,26,698,408,133
BasicDeserializerFactory,26,698,325,207
DelegatingExternalProperty1003Test,3,81,55,0
AnnotatedClass,24,698,264,126
TestGenericsBounded,5,159,179,0
SerializerProvider,21,698,145,89
BasicSerializerFactory,20,698,197,209
BeanDeserializerBase,20,698,157,93
BeanDeserializer,20,698,148,115
ConcreteBeanPropertyBase,5,189,103,0
ClassUtil,18,698,514,42
ResolvedRecursiveType,4,163,100,0
BeanPropertyWriter,16,698,200,102
AnySetter1035Test,1,46,88,0
BeanPropertyMap,15,698,363,345
TestJDKAtomicTypes,3,144,199,0
BeanDeserializerFactory,14,698,56,55
ObjectReader,14,698,345,230
MapSerializer,14,698,80,24
TypeBindings,14,698,648,260
POJOPropertiesCollector,14,698,258,174
ReferenceType,11,576,233,0
JsonIncludeTest,2,105,234,0
AnnotationIntrospectorPair,13,698,130,57
DeserializationContext,13,698,126,74
JavaType,13,698,131,80
BuilderDeserializationTest921,1,55,102,0
MapInclusionTest,1,56,39,0
BeanSerializerBase,12,698,81,53
POJOPropertyBuilder,12,698,212,140
BeanSerializerFactory,12,698,127,56
PropertyBuilder,12,698,148,63
ObjectWriter,12,698,289,248
FormatFeaturesTest,7,413,194,0
StdDeserializer,11,698,261,151
TestMapSerialization,11,698,42,99
BasicBeanDescription,11,698,136,94
TokenBuffer,11,698,250,144
IntrospectorPairTest,1,64,64,0
ImplicitNameMatch792Test,7,467,122,0
DeserializerCache,10,698,31,55
NumberDeserializers,10,698,194,177
StdSerializer,10,698,231,29
PolymorphicList036Test,2,150,109,0
JsonSerializer,9,698,38,6
MapDeserializer,9,698,97,84
CollectionType,9,698,53,42
CollectionLikeType,9,698,81,55
SettableBeanProperty,9,698,34,53
JsonNodeDeserializer,9,698,102,81
DeserializationConfig,9,698,261,68
StdValueInstantiator,9,698,189,84
EnumDeserializer,9,698,78,53
ISO8601Utils,9,698,139,35
RecursiveType938Test,4,312,58,0
TypeBindingsOld,2,159,0,0
ClassStack,2,163,86,0
CreatorCollector,8,698,68,48
