ClassName,Changes,TotalCommits,Insertions,Deletions
GnuParserTest,2,7,52,0
Option,42,356,565,375
Parser,36,320,360,231
HelpFormatter,35,356,975,925
BugsTest,28,324,459,32
HelpFormatterTest,20,247,180,364
Options,27,356,161,578
CommandLine,26,356,243,361
BugCLI148Test,3,43,10,3
OptionTest,6,92,140,35
PosixParserTest,2,31,184,4
OptionBuilder,20,332,329,30
GnuParser,21,352,82,141
PosixParser,20,353,282,164
DateValidatorTest,12,247,0,80
BugCLI18Test,5,106,25,80
BugCLI138Test,2,44,0,59
BasicParserTest,1,22,0,0
PatternOptionBuilder,16,356,151,107
GroupImpl,11,247,0,470
OptionsTest,12,281,94,94
ArgumentImpl,10,247,0,370
UtilTest,3,75,7,0
ApplicationTest,14,352,81,36
TypeHandler,14,356,184,122
OptionGroup,14,356,82,120
ValueTest,13,356,240,96
ValuesTest,13,356,172,89
ArgumentTest,9,247,0,615
DateValidator,9,247,0,213
FileValidatorTest,9,247,0,82
EnumValidator,9,247,0,86
Switch,9,247,0,234
CommandLineParser,12,353,76,64
ParseRequiredTest,12,356,79,54
ParseTest,12,356,0,307
ResourceHelper,8,247,0,178
Util,9,282,54,63
PatternOptionBuilderTest,11,356,44,45
OptionGroupTest,11,356,115,142
GnuParseTest,10,345,0,267
DocumentationTest,7,247,0,321
NumberValidator,7,247,0,132
SwitchBuilder,7,247,0,176
DefaultOption,7,247,0,231
OptionImpl,7,247,0,102
AlreadySelectedException,10,356,29,69
TestHelpFormatter,10,356,0,163
BugCLI133Test,2,75,7,1
ParseException,9,356,26,67
UnrecognizedOptionException,9,356,28,69
MissingArgumentException,9,356,29,69
MissingOptionException,9,356,28,69
BasicParser,8,320,37,4
ArgumentIsOptionTest,5,205,42,65
DefaultingCommandLineTest,6,247,0,132
ParentImpl,6,247,0,255
GroupTest,6,247,0,426
DefaultOptionBuilder,6,247,0,219
CommandLineTestCase,6,247,0,485
PrecedenceTest,6,247,0,416
ArgumentBuilder,6,247,0,259
UrlValidator,6,247,0,62
Command,6,247,0,180
SwitchTest,6,247,0,239
ClassValidator,6,247,0,156
OptionBuilderTest,8,332,50,51
BugCLI71Test,2,92,9,2
BugCLI51Test,2,93,12,12
OptionValidator,6,282,45,74
BugCLI13Test,2,94,5,5
ResourceConstants,3,141,0,57
WriteableCommandLineImpl,5,247,0,215
UrlValidatorTest,5,247,0,55
SourceDestArgument,5,247,0,143
ParentTest,5,247,0,414
PropertyOption,5,247,0,166
PropertiesCommandLineTest,5,247,0,51
FileValidator,5,247,0,166
EnumValidatorTest,5,247,0,58
CommandBuilder,5,247,0,166
CommandTest,5,247,0,241
NumberValidatorTest,5,247,0,146
BuildTest,7,356,0,166
LongOptionWithShort,4,205,0,113
BugLoopingOptionLookAlikeTest,3,182,0,57
PropertyOptionTest,4,247,0,232
OptionException,4,247,0,110
PreferencesCommandLineTest,4,247,0,50
WriteableCommandLineTestCase,4,247,0,94
DefaultOptionBuilderTest,4,247,0,199
DefaultOptionTest,4,247,0,225
JDependTest,4,247,0,111
ClassValidatorTest,4,247,0,247
CLI2ConverterTest,4,247,6,137
CLI2Converter,4,247,6,195
CpTest,4,247,0,470
Bug32533Test,3,193,0,49
NestedGroupTest,3,193,0,199
ResourceHelperTest,2,135,0,81
ArgumentBuilderTest,2,138,0,251
CommandLineParserFactory,5,345,0,95
HelpFormatterExamples,5,356,38,30
GroupBuilder,3,247,0,116
CLITestCase,3,247,0,84
InvalidArgumentException,3,247,0,30
WriteableCommandLineImplTest,3,247,0,35
WriteableCommandLine,3,247,0,59
CommandLineImpl,3,247,0,116
Comparators,3,247,0,479
ComparatorsTest,3,247,0,222
PatternBuilder,3,247,0,200
Argument,3,247,0,96
Bug28005Test,3,247,0,79
ProtectedClass,3,247,0,21
GroupTestCase,3,247,0,31
DisplaySetting,3,247,0,156
Validator,3,247,0,35
TimeZoneTestSuite,2,168,0,45
ParserTest,2,175,0,124
CLArgsParser,2,181,0,810
Token,2,181,0,72
CLOption,2,181,0,173
ClutilTestCase,2,181,0,1022
CLOptionDescriptor,2,181,0,226
ParserControl,2,181,0,36
CLUtil,2,181,0,118
AbstractParserControl,2,181,0,40
CommandLineDefaultsTest,2,223,0,250
PreferencesCommandLine,2,247,0,169
Bug13886Test,2,247,0,88
HelpLineImpl,2,247,0,109
AntTest,2,247,0,197
HelpLine,2,247,0,52
OptionTestCase,2,247,0,54
Group,2,247,0,64
Parent,2,247,0,40
ArgumentTestCase,2,247,0,27
Bug13935Test,2,247,0,59
Bug15046Test,2,247,0,81
PropertiesCommandLine,2,247,0,154
Bug27575Test,2,247,0,40
DefaultingCommandLine,2,247,0,171
ParentTestCase,2,247,0,25
CvsTest,2,247,0,311
LsTest,2,247,0,223
Bug15648Test,2,247,0,59
