ClassName,Changes,TotalCommits,Insertions,Deletions
URLCodec,71,569,138,817
Soundex,64,569,88,584
DoubleMetaphone,63,569,199,2505
Metaphone,63,569,163,954
Rule,60,569,231,1350
PhoneticEngine,60,569,239,995
QuotedPrintableCodec,58,569,374,933
ColognePhonetic,58,569,83,905
DigestUtils,58,569,696,1302
SoundexTest,55,569,115,905
Hex,55,569,210,673
QCodec,54,569,132,716
HexTest,54,569,179,836
RefinedSoundex,53,569,28,429
Base64,125,1446,200,2041
DigestUtilsTest,48,569,238,390
Base32,47,569,233,1113
BaseNCodec,47,569,216,1023
StringEncoderComparator,46,569,29,160
BCodec,45,569,95,477
DoubleMetaphoneTest,45,569,92,2576
MetaphoneTest,41,569,67,1060
RFC1522Codec,39,569,93,441
ColognePhoneticTest,39,569,18,342
URLCodecTest,39,569,102,712
RefinedSoundexTest,38,569,32,255
BeiderMorseEncoderTest,38,569,47,435
DaitchMokotoffSoundex,4,61,25,18
DecoderException,36,569,12,193
Base64InputStreamTest,36,569,234,977
StringEncoderAbstractTest,36,569,23,261
Base64Test,89,1446,233,2992
EncoderException,35,569,12,193
StringEncoderComparatorTest,33,569,14,167
StringUtils,32,569,248,684
Languages,31,569,81,584
Encoder,31,569,17,111
Lang,31,569,93,574
Decoder,30,569,20,138
Base64InputStream,30,569,13,189
StringEncoder,30,569,9,91
BaseNCodecInputStream,30,569,100,291
BinaryCodec,30,569,37,624
BinaryEncoder,29,569,10,98
BinaryDecoder,29,569,8,96
QuotedPrintableCodecTest,29,569,172,717
BinaryEncoderAbstractTest,28,569,5,96
Base64OutputStream,28,569,18,190
StringDecoder,28,569,9,91
Nysiis,24,505,111,302
BeiderMorseEncoder,26,569,95,256
Base64OutputStreamTest,25,569,47,741
SoundexUtils,25,569,17,262
CharSequenceUtils,5,115,25,9
PhoneticEnginePerformanceTest,8,186,87,4
RFC1522CodecTest,24,569,9,184
QCodecTest,24,569,66,517
BaseNCodecOutputStream,24,569,55,314
Sha2Crypt,17,418,110,78
UnixCrypt,17,418,280,313
HmacUtils,4,100,32,9
RuleTest,22,569,24,319
Base32Test,22,569,54,291
BCodecTest,22,569,36,371
Md5Crypt,16,418,100,57
MatchRatingApproachEncoderTest,10,270,178,83
StringUtilsTest,21,569,64,424
BinaryCodecTest,20,569,48,2480
Base32InputStreamTest,20,569,268,986
AbstractCaverphone,20,569,13,164
CharEncoding,20,569,34,299
PhoneticEngineTest,20,569,37,185
NysiisTest,17,505,226,110
Base64TestData,19,569,11,458
Utils,19,569,9,106
Charsets,15,457,156,131
DaitchMokotoffSoundexTest,2,61,59,52
BaseNCodecTest,18,569,35,345
NameType,18,569,9,109
Crypt,13,418,60,46
RuleType,17,569,16,86
ResourceConstants,17,569,37,99
DoubleMetaphone2Test,17,569,8,2614
Caverphone2Test,17,569,17,754
Base64Codec13Test,17,569,44,1089
Caverphone2,17,569,11,264
MatchRatingApproachEncoder,8,270,58,53
Base32OutputStream,16,569,18,181
Caverphone1,16,569,9,257
Caverphone1Test,16,569,15,234
UtilsTest,15,569,3,90
LanguageGuessingTest,15,569,4,173
Base32OutputStreamTest,15,569,41,711
EncoderExceptionTest,15,569,7,138
DecoderExceptionTest,15,569,7,138
Caverphone,26,1051,105,286
CharEncodingTest,14,569,4,146
Base32InputStream,14,569,14,181
Base32TestData,12,569,11,262
PhoneticEngineRegressionTest,8,381,46,26
MessageDigestAlgorithms,7,345,21,3
HmacAlgorithms,2,100,1,1
Codec105ErrorInputStream,11,569,3,114
B64,8,418,14,9
CaverphoneTest,18,1051,0,62
Sha2CryptTest,5,343,18,13
CharsetsTest,6,457,70,61
Sha256CryptTest,5,418,25,6
CryptTest,5,418,17,2
Sha512CryptTest,5,418,37,6
UnixCryptTest,5,418,32,5
Apr1CryptTest,5,418,33,6
HmacUtilsTest,1,100,0,0
Md5CryptTest,4,418,19,6
B64Test,4,418,9,1
AllTests,11,1339,0,32
ApacheModifiedMiGBase64,2,244,0,550
BinaryTest,10,1276,0,1792
StringBytesUtils,7,954,0,272
Binary,9,1276,0,545
CharacterEncodingNames,7,1165,0,66
CacheSubSequencePerformanceTest,1,168,0,0
RequiredCharsetNamesTest,5,954,0,46
StringBytesUtilsTest,3,954,0,169
RequiredCharsetNames,3,954,0,136
PhoneticTest,2,640,0,76
BasedCodecInputStream,2,796,0,127
BasedCodec,2,796,0,278
BasedCodecOutputStream,2,796,0,137
StringEncodings,3,1233,0,49
