ClassName,Changes,TotalCommits,Insertions,Deletions
ZipArchiveOutputStream,30,196,244,256
ZipFile,20,211,140,108
CpioArchiveOutputStream,20,213,163,197
UTF8ZipFilesTest,15,171,202,44
CpioArchiveInputStream,17,213,165,131
TarArchiveInputStream,13,187,440,431
ZipArchiveEntry,13,198,76,49
AbstractTestCase,21,340,281,11
CpioArchiveEntry,13,213,232,103
TarArchiveOutputStream,10,187,373,380
ZipEncodingHelper,9,174,162,88
ChangeSetTestCase,17,342,710,29
BZip2CompressorOutputStream,17,342,1619,1197
TarOutputStream,16,344,0,896
ZipLong,15,344,112,242
ArchiveStreamFactory,14,342,106,121
ArArchiveInputStream,14,342,152,104
TarInputStream,14,344,0,985
ExtraFieldUtils,14,344,136,406
TarTestCase,14,344,59,318
CpioUtil,4,103,35,9
ZipArchiveInputStream,13,342,306,44
ZipShort,13,344,90,232
UnrecognizedExtraField,13,344,89,317
TarArchiveEntryTest,4,111,6,1
JarArchiveInputStream,12,342,20,37
JarArchiveOutputStream,12,342,20,8
ZipEntry,12,344,0,954
ZipOutputStream,12,344,0,1504
AsiExtraField,12,344,176,711
Simple8BitZipEncoding,5,144,10,10
UnicodePathExtraField,6,174,20,6
AbstractUnicodeExtraField,6,174,38,13
UnicodeCommentExtraField,6,174,22,7
ArArchiveOutputStream,11,342,140,145
ZipExtraField,11,344,16,148
TarBuffer,11,344,296,882
DetectArchiverTestCase,10,340,107,33
ZipUtil,3,103,66,1
Bzip2Uncompress,9,339,0,195
Bzip2Compress,9,339,0,183
BZip2CompressorInputStream,9,342,720,585
CRC,9,342,103,249
TarUtils,9,344,100,412
ZipTestCase,8,340,70,27
ArTestCase,8,340,143,48
TarArchiveEntry,8,342,373,418
TarConstants,8,344,33,212
UnixStat,8,344,0,138
TarTestSuite,8,344,0,55
FallbackZipEncoding,3,145,2,1
NioZipEncoding,3,145,2,1
ArArchiveEntry,7,342,23,7
BZip2Constants,7,342,7,152
Change,7,342,88,8
ChangeSet,7,342,112,20
ZipUtilTest,2,103,7,0
JarMarker,4,211,11,3
CpioTestCase,4,213,74,48
CpioConstants,4,213,51,39
BzipTestCase,6,339,0,284
JarTestCase,6,340,28,3
CBZip2InputStream,6,340,0,1012
CompressorStreamFactory,6,342,66,74
AsiExtraFieldTestCase,6,344,0,165
ZipEntryTestCase,6,344,0,94
ExtraFieldUtilsTestCase,6,344,0,113
ZipArchiveOutputStreamTest,3,176,0,77
ZipArchiveEntryTest,3,176,82,2
CompressorOutputStream,5,342,1,2
JarArchiveEntry,5,342,10,1
TarEntry,5,344,0,733
ZipShortTestCase,5,344,0,75
ZipLongTestCase,5,344,0,79
ZipEncoding,2,145,4,5
Simple8BitZipEnoding,2,145,0,261
CpioArchiveInputStreamTest,1,84,0,0
CBZip2OutputStream,4,340,0,2080
IOUtils,4,342,25,9
ArchiveInputStream,4,342,17,1
ArchiveOutputStream,4,342,2,2
CompressorInputStream,4,342,1,1
GzipCompressorInputStream,4,342,8,8
GzipCompressorOutputStream,4,342,14,14
BZip2TestCase,3,340,14,13
GZipTestCase,3,340,11,7
ArchiveEntry,3,342,3,4
DeleteChange,3,342,0,37
ChangeWorkerTest,3,342,0,64
TestZipEncodings,1,145,0,0
CompressUtils,2,342,0,39
ReflectionUtils,2,342,0,34
MemoryArchiveTestCase,2,342,18,0
MemoryArchiveEntry,2,342,5,0
ChangeWorker,2,342,0,79
CompressorException,2,342,18,6
JarArchiveOutputStreamTest,1,173,0,0
AsiExtraFieldTest,1,176,0,0
ZipLongTest,1,176,0,0
ExtraFieldUtilsTest,1,176,0,0
ZipShortTest,1,176,0,0
DetectCompressorTestCase,1,340,0,0
ArchiveException,1,342,0,0
MemoryArchiveInputStream,1,342,0,0
