ClassName,Changes,TotalCommits,Insertions,Deletions
Lexer,53,131,30,29
CSVFormat,173,667,832,128
CSVParser,153,804,380,1277
CSVParserTest,121,804,782,971
CSVPrinter,83,804,311,547
CSVLexerTest,61,637,0,167
CSVLexer,55,597,0,344
CSVRecord,47,593,227,87
CSVFormatTest,51,667,399,31
CSVPrinterTest,61,804,408,230
PerformanceTest,37,589,275,77
CSVRecordTest,14,238,96,7
ExtendedBufferedReader,42,804,102,473
CSVFormatBuilderTest,16,336,0,152
CSVFileParserTest,24,540,85,22
ExtendedBufferedReaderTest,30,804,151,329
FercGovTest,6,162,49,41
Assertions,4,109,18,1
Constants,16,437,37,6
CSVLexer1,17,565,0,238
Token,17,572,32,19
CSVLexer1306667,14,494,0,226
CSVLexer1306663,14,504,0,226
CSVRecordBooleanTest,4,150,0,63
CSVStrategy,19,784,0,278
LexerTest,2,86,1,1
CharBuffer,15,763,0,425
CSVLexer3,10,518,0,248
package-info,9,486,24,22
AssertionsTest,2,109,17,0
CSVUtils,14,779,0,237
CSVStrategyTest,14,784,0,208
TokenMatchers,4,250,13,18
Quote,6,395,4,3
AllTests,11,762,0,84
Utils,7,502,7,19
CSVRecordIntTest,2,146,0,64
CSVRecordLongTest,2,147,0,64
CharBufferTest,10,763,0,388
CSVWriter,10,794,0,274
CSVConfig,10,794,0,632
CSVUtilsTest,8,779,0,304
CSVWriterTest,8,793,0,220
CSVConfigGuesser,8,794,0,383
UnicodeUnescapeReader,6,639,0,83
CSVFieldTest,7,793,0,102
CSVConfigTest,7,793,0,203
CSVConfigGuesserTest,7,793,0,179
CSVField,7,794,0,225
TokenMatchersTest,1,250,0,0
CSVLexer130663,2,508,0,226
FormatTests,1,805,0,40
