ClassName,Changes,TotalCommits,Insertions,Deletions
JsonAdapterNullSafeTest,4,25,20,144
JsonReader,53,338,349,201
Gson,179,1233,704,126
TypeAdapters,59,649,850,180
GsonBuilder,95,1233,359,127
DefaultTypeAdapters,87,1233,0,415
ReflectiveTypeAdapterFactory,30,578,96,67
TypeAdapter,32,649,239,142
LinkedTreeMap,13,276,5,2
JsonSerializationVisitor,55,1233,0,203
JsonAdapter,11,250,16,12
JsonAdapterAnnotationTypeAdapterFactory,11,250,28,15
LinkedHashTreeMap,11,272,5,880
JsonAdapterAnnotationOnClassesTest,10,250,76,6
LinkedTreeMapTest,11,276,4,5
MapTest,47,1196,583,5
MapTypeAdapterFactory,22,578,195,32
JavaUtilConcurrentLocksTest,4,111,0,70
JsonAdapterAnnotationOnFieldsTest,9,250,122,45
JsonReaderTest,32,922,1095,102
FieldAttributes,33,1006,44,11
ReflectiveTypeAdapter,21,649,0,301
ISO8601Utils,3,96,5,39
ArrayTypeAdapter,20,647,33,120
ObjectNavigator,38,1233,0,202
DefaultTypeAdaptersTest,37,1233,549,45
ConstructorConstructor,17,578,88,25
JsonPrimitive,36,1233,120,61
JsonObject,36,1233,106,67
TreeTypeAdapter,14,490,57,44
ObjectTest,35,1233,227,243
PrimitiveTest,34,1233,608,100
Streams,26,965,13,356
ObjectTypeAdapter,16,603,34,29
MiniGson,17,649,0,301
LinkedHashTreeMapTest,8,315,81,1
JsonDeserializationVisitor,31,1233,0,136
JsonParser,29,1233,93,506
StringMap,9,392,0,491
CollectionTypeAdapterFactory,13,578,24,20
ParameterizedTypeHandlerMap,27,1233,0,369
RuntimeTypeAdapterFactory,12,552,24,22
JsonArray,26,1233,114,32
JsonParserTest,23,1100,185,8
CustomTypeAdaptersTest,25,1233,365,6
CollectionTypeAdapter,13,649,0,215
ReflectingFieldNavigator,15,758,0,100
CollectionTest,24,1233,240,49
JavaUtilTest,2,104,10,0
UtcDateTypeAdapterTest,4,212,31,2
UtcDateTypeAdapter,4,212,236,17
MappedObjectConstructor,23,1233,0,109
JsonObjectDeserializationVisitor,23,1233,0,150
LeniencyTest,1,55,0,0
FunctionWithInternalDependenciesTest,20,1118,0,26
JsonWriter,16,922,248,99
Excluder,8,478,11,10
JsonArrayTest,13,782,87,2
JsonElementReader,9,547,0,192
StreamingTypeAdaptersTest,8,493,92,23
JsonNull,20,1233,34,3
DateTypeAdapter,9,557,24,17
Primitives,12,743,3,121
LazilyParsedNumber,11,682,32,60
InterceptorTest,5,312,0,64
NullObjectAndFieldTest,19,1233,148,2
JsonElement,19,1233,81,43
Pair,13,848,0,186
GsonTypesTest,4,261,21,7
$Gson$Types,11,724,29,30
ProtosWithAnnotationsTest,2,132,4,0
JsonElementWriterTest,8,543,0,74
NamingPolicyTest,18,1233,125,8
Preconditions,18,1233,0,229
JsonArrayDeserializationVisitor,18,1233,0,134
LruCache,11,761,0,114
TypeAdapterPrecedenceTest,7,492,92,37
SerializedNameTest,2,144,1,1
ObjectTypePair,14,1013,0,47
ArrayTest,17,1233,138,6
JsonObjectTest,16,1170,124,6
RuntimeTypeAdapterFactoryFunctionalTest,3,221,3,2
UnsafeAllocator,10,743,18,122
ObjectTypeAdapterTest,8,603,25,8
LazilyParsedNumberTest,2,152,2,2
TypeAdapterRuntimeTypeWrapper,8,614,45,14
MapTypeAdapter,10,768,0,201
JsonElementWriter,7,543,0,166
EnumTest,14,1105,164,37
SqlDateTypeAdapter,7,554,14,6
TimeTypeAdapter,7,557,14,6
JsonReaderPathTest,3,239,45,4
GraphAdapterBuilder,5,403,10,5
MiniGsonTest,8,649,0,266
FieldNamingStrategy2Adapter,12,974,0,37
Types,10,815,0,1673
MetaData,11,901,0,263
TypeToken,15,1233,78,148
VersionExclusionStrategyTest,15,1233,12,29
GsonToMiniGsonTypeAdapterFactory,7,578,0,99
GraphTypeAdapterFactory,5,418,0,124
CodeGenFunctionalTest,4,347,1,27
RestClient,11,959,0,206
BigDecimalTypeAdapter,7,611,0,41
BigIntegerTypeAdapter,7,611,0,41
JsonSerializationContextDefault,14,1233,0,50
Reflection,7,620,0,56
JsonElementReaderTest,6,547,245,9
JsonStreamParser,11,1022,51,29
PerformanceTest,13,1209,287,3
Order,10,940,1,65
DelegateTypeAdapterTest,4,378,11,10
ResponseReceiver,13,1230,0,177
ParamterizedTypeFixtures,13,1233,0,161
ParameterizedTypesTest,13,1233,71,14
Cache,8,761,0,102
ExclusionStrategyFunctionalTest,10,989,107,17
ExposeAnnotationExclusionStrategyTest,8,797,28,34
IdTypeAdapterTest,9,899,0,401
Id,9,901,0,272
IdMap,9,901,0,154
InnerClassExclusionStrategyTest,11,1127,14,23
WebServiceClient,12,1230,0,136
WebServiceCallSpec,12,1230,0,425
RequestSender,12,1230,0,157
JsonPrintFormatter,12,1233,0,235
JsonDeserializationContextDefault,12,1233,0,93
ModifyFirstLetterNamingPolicy,12,1233,0,107
Escaper,12,1233,0,146
Intercept,3,312,0,64
JsonPostDeserializer,3,312,0,33
GsonToMiniGsonTypeAdapter,6,627,0,104
JavaUtilConcurrentAtomicTest,1,105,0,0
JsonPrimitiveTest,11,1167,179,11
RestRequest,9,959,0,163
RestRequestSender,9,959,0,206
RestCallSpec,9,959,0,237
StringToValueMapTypeAdapter,6,647,0,212
ThrowableFunctionalTest,2,217,2,2
ParamMap,11,1218,0,150
ResponseBody,11,1230,0,182
RequestBody,11,1230,0,202
ExclusionStrategy,11,1233,76,13
ObjectNavigatorFactory,11,1233,0,79
RepositoryInMemory,8,901,0,190
JsonReader2,3,342,0,1439
TypeTokenTest,7,807,3,83
StringToValueMapTypeAdapterFactory,5,578,0,106
GeneratedTypeAdapter,3,348,0,21
JavaWriter,3,348,0,443
GeneratedTypeAdapterProcessor,3,348,0,58
CodeGen,3,348,0,53
MainServlet,8,936,0,66
ResourceMap,8,959,0,110
RestResponseBuilder,8,959,0,93
RestRequestReceiver,8,959,0,182
BaseMapTypeAdapter,6,732,0,45
OrderClient,7,858,0,56
HeaderMap,10,1230,0,141
TypeUtils,10,1233,0,278
DisjunctionExclusionStrategyTest,10,1233,0,80
DisjunctionExclusionStrategy,10,1233,0,67
VersionExclusionStrategy,10,1233,0,57
SerializedNameAnnotationInterceptingNamingPolicyTest,10,1233,0,60
JsonDeserializationContext,10,1233,9,8
ParameterizedTypeHandlerMapTest,10,1233,0,217
TestTypes,10,1233,95,26
FieldNamingPolicy,10,1233,114,9
InstanceCreatorTest,8,991,63,13
PrettyPrintingTest,9,1118,43,32
TypeVariableTest,7,871,76,16
DefaultConstructorAllocator,6,750,0,89
AdaptAnnotationOnClassesTest,2,251,0,182
AdaptAnnotationTypeAdapterFactory,2,251,0,59
Adapt,2,251,0,93
AdaptAnnotationOnFieldsTest,2,251,0,146
FieldAttributesTest,8,1006,11,6
MetaDataMap,7,899,0,99
CustomDeserializerTest,9,1165,124,17
ProtoTypeAdapter,7,907,371,34
JsonAdapterAnnotationTest,2,260,0,182
JsonNullTest,6,782,10,2
GsonFieldTypeAdapterTest,2,261,0,188
FieldTypeAdapterFactory,2,261,0,60
ExposeAnnotationSerializationExclusionStrategy,6,789,0,38
ExposeAnnotationDeserializationExclusionStrategy,6,789,0,38
JsonWriterTest,7,922,159,5
TypeHierarchyAdapterTest,6,799,37,2
JsonTreeTest,8,1067,21,8
ExampleClient,7,938,0,65
MapAsArrayTypeAdapterTest,6,805,45,6
Cart,7,940,0,34
GraphAdapterBuilderTest,3,403,100,2
RuntimeTypeAdapter,5,677,0,102
RuntimeTypeAdapterTest,5,677,0,57
RequestReceiver,9,1230,0,201
HeaderMapSpec,9,1230,0,160
ResponseSender,9,1230,0,146
ResponseBodyGsonConverter,9,1230,0,227
WebServiceResponse,9,1230,0,284
RestResponseReceiver,7,959,0,193
RestResponseSender,7,959,0,147
JsonDeserializerExceptionWrapper,9,1233,0,66
MemoryRefStack,9,1233,0,82
LruCacheTest,7,972,0,73
FieldNamingStrategy2,7,974,0,39
GraphTypeAdapterFactoryTest,3,418,0,49
WebServiceCallServerBuilder,7,977,0,56
RestDispatcher,6,841,0,104
ExcludedTypeAdapterFactory,4,578,0,79
ParseBenchmark,3,443,47,37
JsonSyntaxException,6,887,7,33
IdTest,6,894,0,98
ConcurrencyTest,8,1199,48,7
RestResource,6,901,0,53
HasId,6,901,0,58
Repository,6,901,0,96
