ClassName,Changes,TotalCommits,Insertions,Deletions
ParserTest,66,17,0,0
Element,157,1207,1460,26
ConnectTest,16,133,438,3
HttpConnection,106,954,962,44
HtmlParserTest,70,767,657,54
ElementTest,102,1197,1367,7
Node,97,1207,706,21
UrlConnectTest,70,1097,629,9
Connection,59,954,768,92
Parser,72,1207,196,337
Document,71,1207,587,7
HtmlTreeBuilderState,41,767,410,364
HtmlTreeBuilder,40,767,225,163
DataUtil,56,1108,226,90
Tag,61,1208,263,196
Selector,59,1185,143,81
SelectorTest,58,1185,773,16
TokeniserState,38,823,233,268
Entities,45,976,320,4426
Elements,50,1182,602,35
TokenQueue,48,1190,319,58
Tokeniser,32,823,145,80
SlowRider,5,130,25,7
Evaluator,41,1123,348,155
TextNode,44,1207,132,6
Attributes,44,1207,441,3
CharacterReader,30,823,384,65
TokeniserTest,4,110,147,1
DocumentTest,41,1170,445,2
Token,28,823,203,57
TokeniserStateTest,3,90,29,2
Attribute,38,1204,184,13
CleanerTest,36,1148,211,39
Whitelist,35,1150,555,29
ElementsTest,34,1181,369,2
XmlTreeBuilder,22,767,67,27
XmlTreeBuilderTest,21,767,225,0
W3CDom,14,513,57,8
StringUtil,25,962,0,96
RedirectServlet,1,39,0,0
TreeBuilder,21,823,48,649
ConstrainableInputStream,5,196,91,5
NodeUtils,1,40,0,0
EntitiesTest,23,976,139,33
EchoServlet,3,131,35,3
TestServer,3,133,5,3
QueryParser,19,854,147,41
Jsoup,25,1192,243,5
ParseTest,24,1167,175,29
NodeTest,24,1168,292,6
PseudoTextElement,2,103,2,4
TokenisetStateTest,2,106,0,25
Comment,22,1207,70,6
W3CDomTest,9,513,123,15
Cleaner,20,1150,171,1
HttpConnectionTest,16,936,228,2
DataUtilTest,17,995,167,17
DocumentType,14,823,85,15
HtmlTreeBuilderStateTest,2,120,5,1
ParseSettings,5,302,13,8
InterruptedServlet,1,62,0,0
XmlDeclaration,19,1191,78,8
BaseServlet,2,133,12,1
AndSelector,13,893,0,84
FormElement,9,638,23,4
CharacterReaderTest,11,795,249,1
NodeFilter,2,146,1,1
DataNode,16,1174,45,10
Normalizer,3,228,8,4
Deflateservlet,1,76,0,0
CombiningEvaluator,11,848,40,8
CDataNode,1,80,0,0
NodeTraversor,12,1004,105,3
OrSelector,10,887,0,71
LeafNode,2,179,4,1
FormElementTest,7,638,62,4
BuildEntities,3,288,15,14
StringUtilTest,10,962,0,44
HtmlToPlainText,8,774,42,14
UncheckedIOException,2,196,1,1
Collector,12,1189,74,12
NotSelector,9,893,0,51
AttributeParseTest,11,1191,65,7
ParentSelector,8,888,0,65
Wikipedia,1,112,0,0
TreeBuilderState,7,823,0,1482
TextNodeTest,9,1061,65,5
EntitiesData,1,118,0,0
AttributesTest,8,949,135,14
HtmlTreeBuilderTest,1,120,0,0
package-info,9,1092,2,2
TokenQueueTest,8,1013,61,3
ImmediateParentSelector,7,888,0,50
ElementSelector,7,893,0,39
HelloServlet,1,133,0,0
DescendableLinkedList,6,803,0,72
ConstrainableInputStreamTest,1,135,0,0
TraversorTest,1,144,0,0
HasSelector,6,874,0,63
BasicSelector,6,893,0,50
ParserSettingsTest,2,302,33,10
DocumentTypeTest,5,794,39,10
ParseError,5,823,20,25
StructuralEvaluator,5,848,13,1
RootSelector,5,866,0,31
PreviousSequentSiblingSelector,5,882,0,31
PrevSiblingSelector,5,882,0,23
SelectorNGTest,5,884,0,606
SelectMatch,5,893,0,58
AttributeTest,5,939,39,2
BooleanAttribute,2,395,2,1
ImmediatePreviousSiblingSelector,4,861,0,69
TextUtil,5,1099,1,1
ChangeNotifyingArrayList,1,229,0,0
MultiLocaleRule,1,229,0,0
Validate,4,962,30,3
TagTest,5,1208,23,31
QueryParserTest,3,740,8,0
NodeVisitor,4,1004,23,3
SerializationException,2,524,5,9
ParserSelectorNG,3,873,0,604
ElementContainerSelector,3,879,0,38
ElementList,4,1185,0,68
AttrSelector,3,892,0,96
ListSelector,3,893,0,30
StartTag,4,1207,0,25
TokenStream,4,1210,0,8
TokenStreamTest,4,1210,0,8
CssTest,2,703,12,5
ListLinks,3,1076,5,6
ParseErrorList,2,752,3,3
ElementListTest,3,1183,0,21
AttributeParser,3,1207,0,15
ParserRuntimeException,3,1210,0,8
Position,3,1210,0,8
PreviousSiblingSelector,2,854,0,40
PrevioustSiblingSelector,2,861,0,46
NextSiblingSelector,2,888,0,23
SequentSiblingSelector,2,888,0,31
ClassSelector,2,893,0,25
IdSelector,2,893,0,25
TagSelector,2,893,0,23
AttributeParserTest,2,1204,0,52
TokenTest,2,1207,0,78
UnsupportedMimeTypeException,1,689,0,0
HttpStatusException,1,689,0,0
Benchmark,1,1125,0,0
