ClassName,Changes,TotalCommits,Insertions,Deletions
StringUtils,167,1538,4448,5915
StrBuilder,49,517,1212,2657
StrBuilderTest,35,413,1449,2347
StrSubstitutor,9,111,222,951
StrTokenizer,39,538,514,1719
StrSubstitutorTest,7,111,217,657
VariableFormatter,20,362,0,518
ValuedLanguageEnum,4,76,7,63
StringUtilsTest,80,1538,1489,1790
CompositeFormat,9,177,35,117
ArrayUtils,66,1378,4175,4720
Enum,68,1514,568,1455
LocaleUtilsTest,10,237,42,515
StringEscapeUtils,51,1212,476,978
StrLookup,4,96,7,167
StrLookupTest,4,96,7,106
NumberUtils,62,1538,1180,2400
DateUtils,52,1299,915,1433
ClassUtils,53,1375,498,987
ExceptionUtils,58,1511,951,1120
LocaleUtils,11,289,146,339
DurationFormatUtils,42,1129,624,776
CompositeFormatTest,6,177,21,116
StrTokenizerTest,18,538,605,1046
SystemUtils,49,1489,1328,1531
WordUtils,28,874,392,646
ReflectionToStringBuilder,36,1137,642,1099
ToStringStyle,45,1440,1291,2684
VariableFormatterTest,11,362,0,214
DurationFormatUtilsTest,34,1129,460,519
ToStringBuilder,43,1440,605,1534
CharUtils,21,728,180,736
TextTestSuite,16,576,15,69
DateUtilsTest,36,1299,1094,1378
FastDateFormat,35,1268,1734,2913
CharSetUtils,42,1538,277,507
StrBuilderAppendInsertTest,8,296,60,1070
ArrayUtilsTest,37,1377,2478,2630
MutableBoolean,6,224,11,176
Entities,32,1198,788,1189
CompareToBuilder,38,1450,736,1369
ReflectionToStringBuilderExcludeTest,6,230,81,140
NumberUtilsTest,40,1538,1137,1810
ValuedEnum,39,1514,145,540
HashCodeBuilder,38,1502,726,1443
EqualsBuilder,36,1455,479,1100
RandomStringUtils,38,1538,223,478
EnumTest,37,1514,517,1175
LangTestSuite,37,1538,41,143
ObjectUtils,36,1538,298,354
NestableDelegate,36,1538,314,660
MutableByte,15,646,233,303
MutableFloat,15,646,267,332
MutableLong,15,646,229,293
MutableShort,15,646,236,300
IntHashMapTest,6,268,142,270
MutableBooleanTest,5,224,6,154
StringEscapeUtilsTest,27,1212,226,409
BooleanUtils,28,1304,558,1110
Validate,27,1273,100,1099
MutableObject,13,621,35,141
NumberRange,32,1538,100,607
MutableInt,13,625,171,299
ClassUtilsTest,27,1301,285,673
EnumUtils,31,1514,80,344
StrMatcherTest,6,296,8,235
StrMatcher,6,296,7,412
CharSet,31,1538,245,398
MutableDouble,13,646,268,332
WordUtilsTest,17,874,221,420
NestLinked,15,778,23,207
NestBroken,15,778,23,193
Nest,15,778,23,185
NestReferenced,15,778,23,199
Interpolation,12,630,0,352
Fraction,24,1290,471,1206
MutableTestSuite,12,646,19,65
RangeTest,6,332,13,130
ToStringBuilderTest,26,1439,676,1064
ArrayUtilsAddTest,13,726,320,628
Broken5OperationEnum,16,920,23,231
Broken1OperationEnum,16,920,23,231
Broken3OperationEnum,16,920,23,231
Broken2OperationEnum,16,920,23,231
Broken4OperationEnum,16,920,23,231
StandardToStringStyle,25,1440,280,740
MappedMessageFormat,10,578,0,133
StopWatch,22,1283,139,379
BitField,22,1296,58,724
CharRange,26,1538,159,365
NumberRangeTest,26,1538,232,611
DummyEnum,16,959,23,121
CharEncoding,9,540,28,178
DateFormatter,4,244,17,174
DateFormatterTest,4,245,17,269
NotImplementedException,19,1174,277,359
MutableIntTest,10,622,90,227
