ClassName,Changes,TotalCommits,Insertions,Deletions
BOBYQAOptimizer,12,81,1237,2192
RealVectorTest,2,29,4,4
FastMath,51,779,1355,245
BOBYQAOptimizerTest,5,81,69,87
UnmodifiableRealVectorAbstractTest,2,33,40,29
Line,15,264,182,873
BaseSecantSolver,11,204,116,44
LocalizedFormats,45,844,65,678
MathUtils,141,3048,1668,1185
RegulaFalsiSolverTest,9,208,20,1
CMAESOptimizer,17,421,221,141
MessagesResources_fr,90,2257,0,1093
RegulaFalsiSolver,8,208,37,17
LineTest,10,264,102,252
RegressionResults,6,169,45,9
MillerUpdatingRegression,5,145,229,113
AllowedSolutions,7,208,0,61
AbstractRealVector,35,1052,0,818
EigenDecompositionImpl,51,1570,290,5165
MathUtilsTest,96,3048,1387,1235
SingularValueDecompositionImpl,49,1570,538,1205
UnmodifiableArrayRealVectorTest,1,33,0,0
UnmodifiableOpenMapRealVectorTest,1,33,0,0
BaseSecantSolverAbstractTest,6,200,68,8
PegasusSolver,6,208,23,18
IllinoisSolver,6,208,20,15
PerfTestUtils,3,104,157,40
FastMathTest,22,765,339,133
QRDecompositionImpl,45,1570,38,971
RealMatrixImpl,86,3108,0,1779
StorelessCovarianceTest,1,37,0,0
StorelessBivariateCovariance,1,37,0,0
StorelessCovariance,1,37,0,0
BracketedUnivariateRealSolver,5,187,47,14
PolyhedronsSet,7,264,85,485
PolygonsSet,7,264,199,415
Plane,7,264,48,670
Segment,7,264,10,167
OutlineExtractor,7,264,49,291
AdamsMoultonIntegrator,35,1328,84,725
AbstractRealMatrix,44,1699,187,1042
AbstractLeastSquaresOptimizer,40,1553,131,549
PowellOptimizer,21,821,38,286
KolmogorovSmirnovDistributionImpl,9,353,102,64
RealLinearOperator,4,161,8,46
OpenMapRealVector,35,1413,327,2125
SubLine,6,249,99,1
RandomDataTest,74,3093,1034,1721
SparseRealVectorTest,38,1596,279,1632
DirectSearchOptimizer,53,2257,0,2251
MathRuntimeException,41,1747,152,420
AdamsBashforthIntegrator,31,1328,82,615
Frequency,68,2918,94,354
LUDecompositionImpl,36,1570,38,909
ArrayRealVectorTest,30,1318,641,1643
SegmentBuilder,6,264,0,180
PlaneTest,6,264,20,189
MathIllegalArgumentException,19,837,32,26
SparseRealVector,32,1412,3,38
EmpiricalDistributionImpl,69,3083,183,699
RealMatrix,69,3108,254,823
Variance,63,2918,284,488
RandomGeneratorAbstractTest,2,93,77,18
OverlappingEventsTest,3,141,13,19
RungeKuttaIntegrator,48,2257,57,947
GraggBulirschStoerIntegrator,48,2257,183,3280
LevenbergMarquardtOptimizer,33,1552,262,1030
BrentSolver,64,3015,151,1105
RealMatrixImplTest,65,3108,0,1599
AbstractContinuousDistribution,60,2918,138,216
Complex,60,2918,789,889
AbstractEstimator,32,1557,0,940
ArrayRealVector,27,1318,426,2375
AbstractFieldMatrix,30,1465,291,1396
EigenDecompositionImplTest,32,1570,238,854
AdaptiveStepsizeIntegrator,46,2257,145,1071
RandomDataImpl,62,3093,522,1208
GaussNewtonOptimizer,31,1553,68,167
TestUtils,58,2918,282,574
DescriptiveStatistics,57,2915,148,961
BaseAbstractScalarOptimizer,16,826,14,228
MultistepIntegrator,35,1814,106,724
Vector3D,43,2257,526,2479
SimplexTableau,29,1529,217,617
PolyhedronsSetTest,5,264,54,303
OrientedPoint,5,264,25,357
PolygonsSetTest,5,264,554,1418
NestedLoops,5,264,25,217
IntervalsSet,5,264,41,276
NonLinearConjugateGradientOptimizer,29,1533,156,439
LevenbergMarquardtOptimizerTest,29,1552,166,909
NonPositiveDefiniteLinearOperatorException,3,161,3,49
HighamHall54IntegratorTest,42,2257,71,886
BracketingNthOrderBrentSolverDFPTest,2,108,7,7
BracketingNthOrderBrentSolverDFP,2,108,8,8
MathException,54,2918,55,170
FirstOrderIntegratorWithJacobians,18,976,0,608
FastMathTestPerformance,9,489,512,212
SubLineTest,4,218,78,31
BracketingNthOrderBrentSolver,2,109,9,9
BracketingNthOrderBrentSolverTest,2,109,2,2
EmbeddedRungeKuttaIntegrator,38,2073,86,891
MathUserException,12,661,73,14
GaussNewtonOptimizerTest,28,1553,230,889
AbstractIntegrator,33,1840,202,217
Kurtosis,52,2918,42,429
MinpackTest,40,2245,102,6161
UpdatingMultipleLinearRegression,3,169,9,7
BigMatrixImpl,47,2652,0,2560
NormalDistributionImpl,48,2717,211,280
OLSMultipleLinearRegression,33,1873,118,211
StatUtils,51,2918,158,428
Fraction,42,2408,99,446
BicubicSplineInterpolatingFunction,16,922,365,106
CholeskyDecompositionImpl,27,1570,72,787
Percentile,50,2918,278,471
PowellOptimizerTest,14,821,7,167
MultiStartUnivariateRealOptimizer,26,1540,43,601
AllTests,38,2257,0,631
EventState,31,1844,109,396
Sum,49,2918,97,258
GammaDistributionImpl,49,2918,187,327
ModelSpecificationException,2,120,1,1
CMAESOptimizerTest,7,421,75,64
