ClassName,Changes,TotalCommits,Insertions,Deletions
ClassCastExOnVerifyZeroInteractionsTest,1,4,0,0
ClassImposterizer,42,304,40,44
Mockito,304,2564,2270,67
DefaultReleaseSteps,10,138,36,5
Reporter,166,2381,754,105
SuperTypesLastSorterTest,1,16,0,0
SuperTypesLastSorter,1,16,0,0
DefaultContributionSet,12,212,0,62
GitHubTicketFetcher,12,212,187,69
MockHandler,124,2355,15,124
Version,4,77,5,3
PublicationsComparatorTask,11,212,0,42
Contribution,12,236,0,95
Invocation,126,2564,53,452
Vcs,10,212,1,17
GitCommit,11,236,0,49
DefaultReleaseStep,6,138,42,11
ReleaseStep,6,138,5,1
Exec,9,212,0,20
GitHubImprovementsProvider,9,212,3,25
ZipCompare,9,212,27,135
PluginLoader,7,165,25,53
VersionTool,3,77,0,12
DefaultVersionTool,3,77,0,22
InstantiationException,1,26,0,0
Improvement,9,234,2,39
MockUtil,97,2564,92,146
Notes,8,212,0,30
ContributionSet,8,212,0,26
NotesBuilder,8,212,0,16
ZipComparator,8,212,0,46
GitNotesBuilder,8,212,1,46
Improvements,8,212,3,19
AcrossJVMSerializationFeature,27,725,5,179
CreatingMocksWithConstructorTest,9,248,75,17
ReleaseSteps,5,138,6,2
Matchers,89,2547,811,936
IOUtil,7,210,45,19
DefaultImprovements,7,212,4,25
GitContributionsProvider,7,212,0,41
GitHubAuthToken,7,212,0,20
Commit,7,212,0,26
ProcessRunner,7,212,0,30
MockitoJUnitRule,11,337,28,90
MockSettingsImpl,51,1582,165,19
RuleTestWithFactoryMethodTest,4,127,3,43
PluginFileReader,5,164,10,20
PluginRegistry,5,165,11,10
InputOutput,6,212,0,46
ContributionsProvider,6,212,0,12
ReleaseNotesException,6,212,0,8
GitLogProvider,6,212,1,18
PublicationsComparator,6,212,0,26
FromNotesContent,6,212,0,28
Versions,6,212,0,14
PomComparator,6,212,0,31
ImprovementSet,6,212,0,14
ConstructorInstantiatorTest,7,249,13,9
VersionBumper,2,74,3,0
DefaultGitTool,3,112,15,5
Git,3,112,10,2
MockSettings,42,1582,269,13
MockitoCore,44,1670,166,102
CglibMockMaker,23,954,2,44
PluginSwitcherTest,4,166,0,22
MockitoJUnit,3,125,0,43
ReturnsDeepStubs,30,1256,143,19
MockitoJUnitRuleTest,8,337,3,103
RuleTestWithParameterConstructorTest,3,127,0,41
InvalidTargetMockitoJUnitRuleTest,3,127,0,27
ImprovementsProvider,5,212,0,8
HumanReadable,5,212,0,12
NotesPrinter,5,212,0,20
TicketParser,5,212,0,23
IgnoreCiSkip,5,212,0,16
PreviousVersion,5,212,0,12
ArgumentValidation,5,212,0,31
DefaultProcessRunner,5,212,0,84
InvocationTest,60,2564,0,362
InvocationMatcher,55,2411,132,99
ConstructorInstantiator,7,307,64,2
DescriptiveMessagesWhenVerificationFailsTest,53,2420,335,163
DefaultContribution,5,232,0,36
IMethods,55,2564,224,363
InvocationsFinder,53,2488,176,13
ThreadsRunAllTestsHalfManualTest,43,2037,51,68
BasicStubbingTest,54,2564,87,274
TestBase,47,2244,141,51
Stubber,50,2413,42,103
PluginFinderTest,3,152,59,10
MultiThreadedTest,48,2434,0,319
BDDMockito,35,1804,254,237
MockitoTest,48,2535,34,53
InvocationNotifierHandler,19,1005,4,82
NoJUnitDependenciesTest,1,53,0,0
InjectingAnnotationEngine,23,1249,66,84
SpyAnnotationEngine,23,1249,129,63
TimeoutTest,22,1196,67,26
VerboseMockitoJUnitRunner,32,1746,37,455
PluginFileReaderTest,3,164,20,38
MocksSerializationTest,26,1432,410,11
PluginSwitcher,3,166,0,17
MyPluginSwitcher,3,166,0,16
DefaultGitAuthor,2,111,15,1
GitAuthor,2,112,6,1
GitTool,2,112,7,1
JUnitRuleTest,6,337,0,73
ConfigurableReleaseStep,2,113,11,1
GenericMetadataSupport,14,792,84,79
MockitoBehavior,45,2564,0,142
ReleaseNotesBuilderFactory,7,407,0,10
ReleaseNotesBuilder,7,407,0,23
MockitoConfiguration,37,2154,46,112
MockingProgressImpl,41,2402,83,111
VerifyingRecorder,41,2405,0,205
MethodInterceptorFilter,40,2347,5,69
MockMaker,16,949,73,17
MockitoRule,2,119,1,0
FriendlyExceptionMaker,2,122,1,0
InjectMocks,20,1227,123,16
NumberOfInvocationsVerifier,39,2404,0,50
NumberOfInvocationsVerifierTest,39,2404,0,78
MethodInterceptorFilterTest,23,1429,53,90
MatchersTest,41,2548,237,1038
MockControl,41,2564,0,735
OngoingStubbing,38,2403,83,42
MissingInvocationVerifier,38,2404,0,77
ReturnsSmartNulls,24,1551,34,100
InvalidStateDetectionTest,38,2456,2,478
MockUtilTest,39,2564,72,65
VerificationMode,36,2383,3,147
IncorectBindingPuzzleFixedTest,38,2519,0,118
Timeout,18,1196,45,38
InvalidUsageTest,38,2533,29,177
BinaryComparator,4,269,0,32
VerificationOverTimeImpl,10,675,52,26
AdditionalAnswers,13,879,122,12
VerificationInOrderTest,37,2524,13,75
MockitoAnnotations,33,2271,88,23
FieldInitializer,16,1103,219,45
UsingVarargsTest,37,2552,22,346
SourceJarComparator,4,276,0,15
RegisteredInvocations,36,2488,18,126
SpyAnnotationTest,18,1249,159,67
Answers,18,1249,106,43
InvocationContainerImpl,19,1325,141,115
PreviousVersionProvider,4,279,0,24
InvocationMatcherTest,34,2411,149,81
StubbingWithThrowablesTest,36,2564,109,258
Location,24,1714,8,18
InvocationNotifierHandlerTest,14,1005,4,136
TimerTest,5,359,29,59
MockSettingsImplTest,22,1580,132,33
GenericMetadataSupportTest,11,792,64,62
CustomMatchersTest,32,2312,126,30
StackTraceFilter,35,2529,5,165
InvocationsFinderTest,32,2325,110,83
MockingProgress,33,2402,27,37
VersionFile,1,73,0,0
DefaultVersionFile,1,73,0,0
MockHandlerTest,32,2355,0,42
ArgumentCaptor,22,1626,142,31
IMockitoConfiguration,24,1776,47,23
MockitoDebuggerImpl,18,1336,44,13
ExtraMatchers,34,2534,56,69
ExactNumberOfTimesVerificationTest,34,2546,77,148
InvalidUseOfMatchersTest,34,2549,60,200
PluginSwitch,2,150,7,0
ThreadSafeMockingProgress,32,2402,36,78
MockingDetailsTest,11,829,38,73
BasicVerificationTest,34,2564,31,216
PluginFinder,2,152,5,5
PlaygroundTest,24,1839,90,9
ClassPathLoader,23,1763,81,32
PrintSettings,20,1534,39,44
VerifyingRecorderTest,31,2405,0,80
IOUtilTest,2,156,2,2
Spy,16,1252,109,32
CreationSettings,11,862,33,3
DeepStubsSerializableTest,8,629,3,66
LocalizedMatcher,23,1814,44,36
PropertyAndSetterInjection,13,1037,77,44
DefaultPluginSwitcher,2,161,0,9
InstantationException,3,244,0,8
ParentClassNotPublicVeryWeirdBugTest,14,1142,0,28
InvocationContainerImplTest,14,1147,116,58
ClassPathLoaderTest,2,165,2,1
PluginLoaderTest,2,165,0,69
InvocationBuilder,30,2487,65,54
AllInvocationsFinder,30,2488,6,60
DeepStubFailingWhenGenericNestedAsRawTypeTest,1,83,0,0
MockitoInvocationHandler,16,1329,0,75
CreatingMocksWithConstructor,3,251,0,54
OngoingStubbingImpl,19,1590,36,20
ObjectMethodsGuru,17,1427,35,4
JUnitRule,4,337,0,28
AnswersValidator,24,2026,44,49
DefaultMockitoConfiguration,21,1778,33,19
