ClassName,Changes,TotalCommits,Insertions,Deletions
TestStringConvert,4,18,0,202
TestAll,145,1267,0,1654
MonthDay,10,88,0,1756
TestMonthDay_Constructors,8,88,0,820
LocalDate,40,509,0,5284
YearMonth,10,145,0,1799
GwtTestAll,6,92,0,0
LocalDateTime,33,509,0,6179
LocalTime,32,508,0,4380
TestDateTimeZoneCutover,18,302,19,1869
TestMonthDay_Properties,5,88,0,686
TestMonthDay_Basics,5,88,0,1316
PersistentInstantAsBigInt,7,130,1,146
PersistentInstant,9,175,1,136
TimeOfDay,66,1302,5,2525
TestYearMonth_Constructors,7,145,0,824
TestLocalDate_Basics,24,502,37,2026
PersistentLocalDateTime,9,201,1,148
YearMonthDay,54,1258,5,2096
TestYearMonth_Properties,6,145,0,720
DateTimeFormatterBuilder,61,1485,8,4983
DateTime,61,1485,0,4699
MutableDateTime,55,1485,7,2552
DateTimeZone,53,1485,73,1963
TestLocalTime_Constructors,18,506,44,1298
TestLenientChronology,11,317,15,251
DateMidnight,42,1216,0,3521
TestYearMonth_Basics,5,145,0,1310
TestPersistentInstantAsBigInt,4,117,1,81
TestLocalDateTime_Basics,16,475,37,1918
PeriodFormatterBuilder,37,1128,12,3394
Period,37,1128,0,3477
DateTimeParserBucket,29,891,4,894
TestDateTime_Basics,40,1238,53,1923
TestDuration_Basics,37,1161,42,1215
PersistentLocalDate,11,353,1,134
TestYears,12,396,21,637
Minutes,12,396,8,913
Seconds,12,396,8,913
Months,12,396,8,765
TestWeeks,12,396,21,795
TestDays,12,396,21,799
TestSeconds,12,396,21,735
Weeks,12,396,8,925
TestHours,12,396,21,789
TestMinutes,12,396,21,755
TestUnsupportedDateTimeField,10,330,8,1328
Hours,12,396,8,951
Days,12,396,8,953
TestMonths,12,396,21,673
AbstractInterval,43,1443,0,1886
AbstractDuration,44,1479,0,1941
TestLocalTime_Basics,15,506,28,1630
TestInterval_Basics,33,1117,44,1737
IslamicChronology,17,586,0,1612
AbstractInstant,43,1485,0,1665
TestLocalDate_Constructors,14,484,21,945
TestDateTimeFormatter,24,831,98,1398
PersistentLocalTimeAsString,10,353,1,136
PersistentLocalTimeAsTime,10,353,1,141
PersistentLocalTimeExact,10,353,1,136
TestPeriod_Constructors,32,1132,35,2089
TestDateMidnight_Basics,34,1215,52,1757
Years,11,396,8,693
TestBaseSingleFieldPeriod,11,396,15,678
Partial,20,723,11,2007
TestLocalDateTime_Constructors,13,473,25,1266
TestPeriod_Basics,31,1132,63,2156
TestISODateTimeFormatParsing,12,439,37,1182
BasePartial,29,1062,3,660
TestDateTimeUtils,32,1174,63,776
TestDateTimeZone,33,1212,101,1689
TestLocalDate_Properties,13,482,16,1082
DateTimeFormat,40,1485,18,1342
TestStringConverter,31,1169,50,972
MockZone,8,303,0,112
StringConverter,39,1479,0,611
Interval,38,1443,0,1099
AbstractDateTime,39,1485,9,1409
TestYearMonthDay_Basics,26,993,35,1360
DateTimeUtils,34,1317,4,624
CopticChronology,35,1364,0,808
TestInterval_Constructors,29,1138,36,962
BaseSingleFieldPeriod,10,396,0,1030
AbstractStringBasedJodaType,8,320,0,88
PersistentInterval,9,361,0,162
ISODateTimeFormat,37,1485,0,3952
GJChronology,36,1485,0,3807
TestTimeOfDay_Constructors,24,993,35,1378
BaseDateTimeField,31,1289,0,2661
TestConverterManager,28,1169,69,1646
TestSerialization,18,759,10,1153
TestDateTimeFormat,35,1485,66,1976
TestDateTime_Properties,29,1238,48,1905
TestLocalDateTime_Properties,11,473,15,2168
TestReadableIntervalConverter,27,1166,22,370
TestPeriodFormatterBuilder,24,1040,39,1426
AbstractPeriod,26,1128,0,3103
PeriodType,26,1129,0,2912
TestFixedDateTimeZone,12,522,14,203
Duration,34,1479,0,1046
TestGJChronology,34,1485,39,1771
DateTimeFormatter,34,1485,0,1933
TestPersistentInstant,4,175,1,81
TestNullConverter,28,1236,44,381
AbstractPartial,28,1249,0,2300
BasePeriod,24,1078,0,2043
ZonedChronology,33,1485,0,1657
Chronology,33,1485,0,1719
MutablePeriod,25,1128,7,1723
TestTimeOfDay_Basics,22,993,35,1514
TestMutablePeriod_Updates,25,1132,36,2505
PersistentPeriod,7,319,0,32
PersistentDuration,7,319,0,33
TestLocalTime_Properties,11,506,15,1582
TestMutableInterval_Basics,24,1112,45,979
AbstractPartialFieldProperty,28,1302,0,1669
BaseLocal,7,327,0,186
EthiopicChronology,13,609,0,799
TestMutablePeriod_Constructors,24,1132,36,1740
JulianChronology,31,1485,0,1042
MutableInterval,30,1443,7,588
TestDuration_Constructors,24,1161,36,1026
BasicFixedMonthChronology,12,592,0,489
TestReadableDurationConverter,25,1236,22,281
TestMutableDateTime_Basics,24,1187,44,1393
Instant,30,1485,0,849
TestGregorianChronology,30,1485,37,1070
TestPersistentLocalDateTime,4,201,2,81
JodaGwtTestCase,2,101,1,1
BaseGJChronology,21,1061,0,847
TestLongConverter,25,1265,22,291
TestPersistentIntervalNull,4,203,1,100
TestEthiopicChronology,12,609,40,951
BasicChronology,11,560,0,2309
DateTimeFieldType,20,1028,0,1559
TestPersistentInterval,7,361,1,118
TestInstant_Basics,24,1238,47,1074
UnsupportedDateTimeField,28,1479,0,1959
TestCopticChronology,20,1058,40,841
BaseChronology,20,1061,0,1924
TestIslamicChronology,11,586,40,1424
BasicMonthOfYearDateTimeField,11,587,0,1060
TestPeriodType,21,1128,46,1920
ConverterManager,27,1479,21,920
DateTimeZoneBuilder,27,1485,241,3513
DateTimeField,27,1485,0,2044
TestJulianChronology,27,1485,39,1141
BuddhistChronology,27,1485,0,975
GregorianChronology,27,1485,0,880
TestYearMonthDay_Properties,18,993,16,1075
TestMutableInterval_Constructors,20,1112,38,1358
TestMutablePeriod_Basics,20,1132,42,984
ReadableInstant,26,1485,0,574
TestPeriodFormatParsing,16,918,47,296
TestISODateTimeFormat,17,978,41,1155
IllegalFieldValueException,13,753,0,889
PersistentDateTimeTZ,13,756,1,267
ThingWithInstant,3,175,0,49
TestReadableInstantConverter,21,1236,22,328
LongConverter,25,1479,0,268
DelegatedDateTimeField,25,1479,0,1038
BasicGJChronology,10,592,0,613
TestPartial_Match,12,711,29,333
TestMutableDateTime_Adds,20,1187,36,564
ISOChronology,25,1485,0,889
PersistentDateTime,13,775,1,272
TestPeriodFormat,12,720,40,257
ReadableInterval,24,1443,0,889
TestPartial_Basics,12,723,35,1842
AbstractReadableInstantFieldProperty,23,1388,0,1670
TestDateMidnight_Properties,20,1213,40,945
TestISOChronology,18,1093,37,708
PersistentYearMonthDay,12,729,1,295
TestISOPeriodFormat,17,1038,40,351
AbstractConverter,24,1479,0,487
ReadableDuration,24,1479,0,601
TestCalendarConverter,20,1236,29,416
ZoneInfoCompiler,24,1485,0,2387
TestTimeOfDay,21,1302,0,2746
TestYearMonthDay_Constructors,16,993,22,888
ReadablePartial,20,1249,0,840
TestMutableDateTime_Sets,19,1187,38,1217
NullConverter,20,1269,0,296
TestTextFields,14,895,34,354
LimitChronology,23,1479,0,2042
TestAbstractPartial,16,1033,15,425
TestDateTimeComparator,23,1485,38,2736
GJMonthOfYearDateTimeField,23,1485,0,867
TestBuddhistChronology,23,1485,42,943
DateTimeComparator,23,1485,0,721
FieldUtils,21,1364,0,879
TestDateConverter,19,1236,21,287
TestBuilder,13,850,28,633
TestMillisDurationField,15,982,20,483
ReadableIntervalConverter,22,1442,0,333
TestISOPeriodFormatParsing,14,918,40,467
TestReadablePartialConverter,15,985,22,342
PersistentTimeOfDay,10,662,1,154
PersistentTimeOfDayExact,10,662,1,154
TestChronology,16,1061,36,439
ISOPeriodFormat,17,1128,0,625
TestReadablePeriodConverter,17,1132,22,286
BasicYearDateTimeField,11,740,0,438
TestDateTimeFieldType,15,1012,31,693
GJYearOfEraDateTimeField,22,1485,0,581
TestPeriodFormatter,12,817,44,487
TestDateTime_Constructors,18,1238,38,1284
TestBaseDateTimeField,14,973,14,1165
TestFieldUtils,9,626,10,391
BasicDayOfYearDateTimeField,10,698,0,305
ReadableDurationConverter,21,1479,0,281
TestPersistentLocalTime,5,353,2,80
TestPersistentLocalDate,5,353,2,66
GJEraDateTimeField,21,1485,0,686
ReadWritableInstant,21,1485,0,484
TestTimeOfDay_Properties,14,993,16,1372
TestPartial_Properties,10,723,16,831
TestISODateTimeFormat_Fields,10,724,14,2268
TestMutableInterval_Updates,15,1097,38,845
DurationFieldType,14,1028,0,963
TestMutableDateTime_Properties,16,1177,44,1536
GJLocaleSymbols,20,1485,24,778
ReadablePeriod,15,1128,0,633
PeriodFormat,15,1128,0,305
TestDateTimeFormatStyle,11,828,128,1199
TestIllegalFieldValueException,10,753,10,680
TestScaledDurationField,13,980,20,635
TestPreciseDurationField,13,980,20,601
TestDurationFieldType,13,983,29,405
BaseInterval,14,1081,0,790
TestInstant_Constructors,16,1238,38,370
MillisDurationField,19,1479,0,701
CalendarConverter,19,1479,0,419
GJDayOfWeekDateTimeField,19,1485,0,729
TestDurationField,9,710,14,135
TestMutableDateTime_Constructors,15,1187,38,1105
CopticYearDateTimeField,10,793,0,167
TestPersistentPeriod,4,319,1,65
TestPersistentDuration,4,319,1,60
TestPartial_Constructors,9,723,19,934
TestOffsetDateTimeField,12,965,14,1139
ReadWritablePeriod,14,1128,0,987
TestPreciseDateTimeField,12,968,14,1364
TestPreciseDurationDateTimeField,12,968,14,1372
HibernateTestCase,9,729,0,74
TestParseISO,17,1391,14,1299
PreciseDurationDateTimeField,18,1479,0,791
TestCompiler,10,822,0,494
BasicDayOfMonthDateTimeField,9,740,0,315
TestPersistentDateTime,9,756,2,231
TestAllPackages,15,1267,0,208
AssembledChronology,16,1364,0,1747
TestBasePartial,12,1033,15,340
PeriodPrinter,13,1128,0,290
ImpreciseDateTimeField,17,1479,0,873
UnsupportedDurationField,17,1479,0,1100
DurationField,17,1479,0,955
LenientDateTimeField,17,1479,0,373
BasicWeekOfWeekyearDateTimeField,8,698,0,360
BasicWeekyearDateTimeField,8,698,0,756
DateTimePrinter,17,1485,0,421
DateTimeConstants,17,1485,0,586
GJDayOfMonthDateTimeField,17,1485,0,320
GJWeekOfWeekyearDateTimeField,17,1485,0,338
BaseDurationField,14,1228,0,536
MockPartial,14,1249,0,272
ISOYearOfEraDateTimeField,15,1351,0,367
ReadWritableInterval,16,1443,0,364
Plan,4,361,0,38
BaseDuration,12,1084,0,706
BasicSingleEraDateTimeField,7,634,0,402
Schedule,8,729,0,78
TestPersistentYearMonthDay,8,729,1,121
PreciseDurationField,16,1479,0,598
DurationConverter,16,1479,0,145
DecoratedDurationField,16,1479,0,481
RemainderDateTimeField,16,1485,0,863
GJDayOfYearDateTimeField,16,1485,0,310
FixedDateTimeZone,16,1485,10,227
DividedDateTimeField,16,1485,0,966
OffsetDateTimeField,16,1485,0,926
ZoneInfoProvider,16,1485,0,823
TestDateMidnight_Constructors,13,1216,34,1169
PeriodFormatter,12,1128,0,748
PeriodParser,12,1128,0,235
Event,8,756,0,76
SkipDateTimeField,9,851,0,356
TestConverterSet,12,1169,16,418
ReadablePartialConverter,10,985,0,365
DecoratedDateTimeField,15,1479,0,486
DurationType,15,1479,0,756
AbstractPartialInstant,15,1479,0,930
PreciseDateTimeField,15,1479,0,645
LenientChronology,15,1479,0,681
ScaledDurationField,15,1479,0,609
ReadWritableDateTime,15,1479,0,907
DelegatedDurationField,15,1479,0,672
PartialConverter,10,988,0,274
FormatUtils,15,1485,0,1101
TestGJDayOfWeekField,15,1485,0,260
TestGJDayOfMonthField,15,1485,0,278
TestGJWeekyearField,15,1485,0,302
TestGJWeekOfWeekyearField,15,1485,0,283
TestGJMonthOfYearField,15,1485,0,343
TestGJDayOfYearField,15,1485,0,266
TestGJDateTimeField,15,1485,0,201
BaseDateTime,11,1091,0,1053
TestUTCProvider,12,1202,16,199
TestConstants,1,101,0,0
GwtTimeZone,1,102,0,0
GwtZoneInfoProvider,1,102,0,0
DataInput,1,102,0,0
Arrays,1,102,0,0
ExceptionUtils,1,102,0,0
ObjectStreamException,1,102,0,0
DataOutput,1,102,0,0
MockUnknownCalendar,12,1236,0,170
ClassNotFoundException,1,103,0,0
Writer,1,103,0,0
Locale,1,103,0,0
Calendar,1,103,0,0
TimeZone,1,103,0,0
ObjectInputStream,1,103,0,0
ObjectOutputStream,1,103,0,0
CharArrayWriter,1,103,0,0
GregorianCalendar,1,103,0,0
InputStream,1,103,0,0
SecurityException,1,103,0,0
WeakReference,1,103,0,0
InternalError,1,103,0,0
DateFormatSymbols,1,103,0,0
MainTest,12,1267,0,1370
ReadableInstantConverter,14,1479,0,370
InstantConverter,14,1479,0,276
DateConverter,14,1479,0,237
StrictChronology,14,1479,0,681
TestJulianWeekyearField,14,1485,0,253
TestJulianYearField,14,1485,0,253
TestGJYearField,14,1485,0,298
DefaultNameProvider,14,1485,0,287
DateTimeParser,14,1485,0,290
NonZeroDateTimeField,14,1485,0,378
GJWeekyearDateTimeField,14,1485,0,588
GJYearDateTimeField,14,1485,0,531
SkipUndoDateTimeField,8,849,0,344
ZeroIsMaxDateTimeField,8,852,0,650
SomethingThatLasts,3,320,0,42
SomethingThatHappens,3,320,0,41
JodaTimePermission,12,1309,0,205
ReadablePeriodConverter,10,1128,0,311
TestDateTimeConstants,11,1245,10,282
ClassLoadTest,13,1479,0,235
StrictDateTimeField,13,1479,0,357
CachedDateTimeZone,13,1485,25,490
ReadableDateTime,13,1485,0,702
TestJulianMonthOfYearField,13,1485,0,265
BuddhistEraDateTimeField,13,1485,0,418
TestYearMonthDay,11,1258,0,2017
ParseDateTimeSupport,6,700,119,112
FormatSupport,6,700,109,101
UTCProvider,12,1476,0,200
ConverterSet,12,1479,21,712
TestJulianDayOfMonthField,12,1485,0,167
DateTimeFieldProperty,12,1485,0,632
Provider,12,1485,0,164
TestDateTimeFormatterBuilder,12,1485,14,792
CopticDayOfMonthDateTimeField,11,1364,0,108
CopticEraDateTimeField,11,1364,0,195
PeriodConverter,9,1128,0,190
EventTZ,6,756,0,76
MockZeroNullIntegerConverter,10,1266,0,147
TimeZoneTable,7,893,0,212
IntervalConverter,11,1435,0,182
Examples,10,1318,0,112
TestPersistentTimeOfDay,5,662,1,72
TestPersistentTimeOfDayExact,5,662,1,61
MockNullZoneChronology,9,1213,0,126
NameProvider,11,1485,0,170
AbstractDateTimeFormatter,11,1485,0,281
AbstractGJChronology,10,1364,0,858
MockBadChronology,9,1234,0,132
CLDRTerritoryGenerator,3,414,0,351
DateTimeZoneSupport,5,700,100,98
JodaTagLibraryValidator,5,700,349,384
Util,5,700,570,596
Converter,10,1479,0,136
MutableDuration,10,1479,0,445
AbstractChronology,9,1364,0,600
MockUnknownTimeZone,8,1234,0,148
MutableTimeOnly,9,1410,0,867
MutableDateOnly,9,1410,0,833
BaseDateTimeFormatter,6,951,0,293
TestDurationType,7,1149,0,1001
TimeOnly,9,1479,0,413
CopticMonthOfYearDateTimeField,8,1364,0,113
Resources,4,700,38,41
ParseDateTimeTag,4,700,67,48
SetDateTimeZoneSupport,4,700,55,52
FormatTag,4,700,65,49
DurationFormatterBuilder,8,1479,0,957
PartialInstant,8,1479,0,359
DateOnly,8,1479,0,486
DateTimeBrowser,8,1485,0,1179
AgeCalculator,8,1485,0,404
DateTimePerformance,8,1485,0,682
BasePeriodFormatter,5,951,0,157
TestMutableDuration_Basics,6,1157,0,561
DateOnlyFieldProperty,7,1411,0,299
TimeOnlyFieldProperty,7,1411,0,299
AbstractDateTimeField,7,1479,0,1242
ChronologyType,3,635,0,326
TestChronologyType,3,635,0,179
ThaiBuddhistEraDateTimeField,4,853,0,179
MutableTimePeriod,5,1135,0,585
AbstractTimePeriod,5,1135,0,1294
ReadWritableInstantFieldProperty,6,1388,0,236
TestMutableDuration_Constructors,5,1157,0,756
DateTimeZoneTag,3,700,9,10
SetDateTimeZoneTag,3,700,15,9
AbstractDurationField,6,1479,0,398
MutableDateTimeFieldProperty,6,1485,0,448
BulkTest,6,1485,0,725
ReadableTimePeriodConverter,4,1134,0,120
ReadableTimePeriod,4,1135,0,296
ReadWritableTimePeriod,4,1135,0,317
TimePeriod,4,1135,0,386
IslamicMonthOfYearDateTimeField,2,576,0,107
TestMutableDuration_Updates,4,1155,0,1030
AbstractDateTimeFieldProperty,5,1479,0,718
PartialInstantConverter,5,1479,0,156
AbstractTestDateTimeField,5,1485,0,624
AbstractTestDateTimeCommon,5,1485,0,413
Test,5,1485,0,441
TestMDTAdd,5,1485,0,273
TestMDTAddWrapped,5,1485,0,271
TestMDTGet,5,1485,0,909
TestMDTSet,5,1485,0,1189
TestGJYearOfEraDateTimeField,5,1485,0,130
CutoverChronology,5,1485,0,555
TestGJYearDateTimeField,5,1485,0,206
CommonFixedMonthChronology,2,609,0,167
BasicFixedMonthOfYearDateTimeField,2,609,0,99
ISODurationFormat,4,1450,0,212
DurationFormat,4,1469,0,130
DateTimeZonePermission,4,1479,0,78
DurationPrinter,4,1479,0,121
DurationParser,4,1479,0,109
DurationFormatter,4,1479,0,67
Utils,4,1479,0,225
AbstractDurationFormatter,4,1479,0,111
CommonGJChronology,2,740,0,211
GJCenturyChronology,4,1485,0,134
GJZonedChronology,4,1485,0,121
TestISOSecondOfMinuteDateTimeField,4,1485,0,83
JulianWithYearZeroChronology,4,1485,0,122
TestConstructors,4,1485,0,729
ProlepticChronology,4,1485,0,463
BulkMDTTests,4,1485,0,127
AbstractTestReadableInstant,4,1485,0,476
AbstractTestGJDateTimeField,4,1485,0,182
TestBuddhistEraDateTimeField,4,1485,0,143
TestInstant,4,1485,0,265
TestISOHourOfHalfdayDateTimeField,4,1485,0,83
TestGJMillisOfDayDateTimeField,4,1485,0,111
TestISOMinuteOfDayDateTimeField,4,1485,0,83
