ClassName,Changes,TotalCommits,Insertions,Deletions
BugCLI18Test,4,25,6,64
Option,36,275,1006,850
Parser,31,239,627,516
HelpFormatter,28,275,1511,1543
BugsTest,24,243,536,65
CommandLine,25,275,441,562
OptionTest,1,11,0,0
Options,25,275,355,762
BugCLI71Test,1,11,0,0
BugCLI51Test,1,12,0,0
OptionBuilder,20,251,558,259
BugCLI13Test,1,13,0,0
PosixParser,20,272,728,610
DateValidatorTest,12,166,180,260
GroupImpl,11,166,199,669
GnuParser,17,271,555,547
ArgumentImpl,10,166,143,513
HelpFormatterTest,10,166,567,910
PatternOptionBuilder,16,275,203,159
DateValidator,9,166,184,397
Switch,9,166,73,307
EnumValidator,9,166,62,148
FileValidatorTest,9,166,216,298
ArgumentTest,9,166,274,889
TypeHandler,14,275,229,167
ResourceConstants,3,60,10,67
ResourceHelper,8,166,91,269
OptionGroup,13,275,115,156
DocumentationTest,7,166,148,469
DefaultOption,7,166,67,298
SwitchBuilder,7,166,54,230
OptionImpl,7,166,121,223
NumberValidator,7,166,137,269
ApplicationTest,11,271,105,35
ValuesTest,11,275,212,88
Util,8,201,79,91
ResourceHelperTest,2,54,0,81
CommandLineParser,10,272,109,105
PatternOptionBuilderTest,10,275,83,68
UrlValidator,6,166,73,135
SwitchTest,6,166,114,353
PrecedenceTest,6,166,17,433
Command,6,166,41,221
ParentImpl,6,166,81,336
CommandLineTestCase,6,166,393,878
DefaultingCommandLineTest,6,166,122,254
ArgumentBuilder,6,166,59,318
ClassValidator,6,166,127,283
GroupTest,6,166,124,550
DefaultOptionBuilder,6,166,49,268
ArgumentBuilderTest,2,57,0,251
BasicParser,8,239,118,85
AlreadySelectedException,9,275,44,84
ValueTest,9,275,375,80
FileValidator,5,166,123,289
UrlValidatorTest,5,166,68,123
WriteableCommandLineImpl,5,166,92,307
NumberValidatorTest,5,166,87,233
CommandBuilder,5,166,81,247
EnumValidatorTest,5,166,37,95
PropertiesCommandLineTest,5,166,81,132
CommandTest,5,166,61,302
PropertyOption,5,166,45,211
ParentTest,5,166,378,792
SourceDestArgument,5,166,49,192
OptionsTest,6,200,36,80
OptionValidator,6,201,66,95
BugLoopingOptionLookAlikeTest,3,101,19,76
OptionGroupTest,8,275,103,64
MissingOptionException,8,275,46,87
ParseTest,8,275,69,85
ParseRequiredTest,8,275,38,31
MissingArgumentException,8,275,46,86
ParseException,8,275,43,85
UnrecognizedOptionException,8,275,44,85
TestHelpFormatter,8,275,119,105
Bug32533Test,3,112,0,49
NestedGroupTest,3,112,2,201
ArgumentIsOptionTest,3,124,10,9
PreferencesCommandLineTest,4,166,63,113
OptionException,4,166,27,137
PropertyOptionTest,4,166,7,239
WriteableCommandLineTestCase,4,166,10,104
DefaultOptionTest,4,166,5,230
JDependTest,4,166,1,112
ClassValidatorTest,4,166,15,262
CpTest,4,166,22,492
DefaultOptionBuilderTest,4,166,97,296
TimeZoneTestSuite,2,87,0,45
ParserTest,2,94,0,124
CLArgsParser,2,100,0,810
CLOption,2,100,0,173
CLOptionDescriptor,2,100,0,226
CLUtil,2,100,0,118
ClutilTestCase,2,100,0,1022
ParserControl,2,100,0,36
AbstractParserControl,2,100,0,40
Token,2,100,0,72
OptionBuilderTest,5,251,33,19
GnuParseTest,5,264,23,20
CommandLineParserFactory,5,264,22,117
BuildTest,5,275,29,93
Validator,3,166,14,49
Bug28005Test,3,166,0,79
InvalidArgumentException,3,166,6,36
CLI2Converter,3,166,0,190
CLI2ConverterTest,3,166,0,132
CLITestCase,3,166,1,85
WriteableCommandLineImplTest,3,166,13,48
ProtectedClass,3,166,2,23
GroupTestCase,3,166,6,37
WriteableCommandLine,3,166,16,75
DisplaySetting,3,166,1,157
CommandLineImpl,3,166,19,135
Comparators,3,166,13,492
ComparatorsTest,3,166,47,269
PatternBuilder,3,166,2,202
GroupBuilder,3,166,2,118
Argument,3,166,10,106
LongOptionWithShort,2,124,6,5
HelpFormatterExamples,4,275,42,35
CommandLineDefaultsTest,2,142,0,250
Bug15046Test,2,166,0,81
AntTest,2,166,0,197
Bug15648Test,2,166,0,59
Bug13935Test,2,166,0,59
ArgumentTestCase,2,166,0,27
Bug13886Test,2,166,0,88
LsTest,2,166,0,223
Bug27575Test,2,166,0,40
PropertiesCommandLine,2,166,0,154
CvsTest,2,166,0,311
ParentTestCase,2,166,0,25
DefaultingCommandLine,2,166,0,171
Parent,2,166,0,40
Group,2,166,0,64
OptionTestCase,2,166,0,54
HelpLine,2,166,0,52
HelpLineImpl,2,166,0,109
PreferencesCommandLine,2,166,0,169
