ClassName,Changes,TotalCommits,Insertions,Deletions
SourceMapTest,20,130,0,0
SymbolTableTest,16,121,242,5
TypeCheckTest,126,1269,3156,546
SymbolTable,12,121,565,91
DefaultPassConfig,129,1306,1853,879
NodeUtil,109,1306,1792,550
Compiler,103,1306,1068,1003
CompilerOptions,77,1306,872,146
CommandLineRunnerTest,68,1214,924,228
TypedScopeCreator,71,1306,2389,1876
FieldCleanupPass,5,94,73,3
AbstractCommandLineRunner,57,1214,1437,722
PeepholeFoldConstants,49,1100,1589,1378
ReorderConstantExpressionTest,3,68,4,3
ReorderConstantExpression,3,68,17,29
CodeGenerator,55,1306,581,268
Node,55,1306,2853,2266
TypeCheck,55,1306,659,469
TypeInference,55,1306,518,318
IRFactory,54,1306,731,566
PeepholeFoldConstantsTest,45,1091,760,275
FunctionType,51,1306,791,503
PrototypeObjectTypeTest,1,26,0,0
CodePrinterTest,49,1306,944,306
CommandLineRunner,45,1214,932,350
JsDocInfoParser,48,1306,618,378
JSTypeRegistry,48,1306,692,355
ProcessClosurePrimitives,47,1306,1157,641
PeepholeSubstituteAlternateSyntax,39,1112,1126,331
InstrumentationOrBuilder,4,115,0,0
FunctionInformationMapOrBuilder,4,115,0,0
JSType,43,1306,487,306
LooseTypeCheckTest,35,1153,305,247
ParserTest,39,1290,364,101
JsDocInfoParserTest,38,1290,596,178
RemoveUnusedVars,38,1306,1492,811
TypedScopeCreatorTest,38,1306,714,180
FunctionTypeBuilder,38,1306,526,329
JSTypeTest,37,1288,1583,1239
CollapseProperties,37,1306,319,192
NodeUtilTest,36,1306,1064,229
InlineFunctionsTest,36,1306,1155,346
DiagnosticGroups,35,1306,258,140
VarCheck,34,1306,194,107
DisambiguateProperties,34,1306,317,171
CompilerTestCase,34,1306,275,61
InlineFunctions,33,1306,311,146
SourceMapConsumerV3,9,358,284,42
EnumElementTypeTest,3,120,0,0
SourceMap,32,1306,757,1145
SourceMapGeneratorV2,14,572,226,1293
PeepholeSubstituteAlternateSyntaxTest,26,1091,750,194
ObjectType,31,1306,205,69
Normalize,31,1306,668,380
RemoveUnusedVarsTest,30,1306,833,307
GlobalNamespace,30,1306,339,117
ProxyObjectType,30,1306,207,88
NamedType,30,1306,273,177
TypeValidator,30,1306,313,193
Main,4,175,0,0
AstValidator,9,395,33,12
PeepholeRemoveDeadCode,25,1104,810,305
IRFactoryTest,29,1290,437,225
PrototypeObjectType,29,1306,349,152
CompilationLevel,29,1306,63,45
NameAnalyzer,29,1306,482,291
ProcessClosurePrimitivesTest,29,1306,515,94
PureFunctionIdentifier,29,1306,1178,755
GlobalVarCleanupPass,2,91,0,41
ClosureCodingConvention,28,1306,226,153
SourceMapGeneratorV2Test,12,572,121,1233
TypedCodeGenerator,27,1306,131,69
CoalesceVariableNames,27,1306,341,315
AbstractCompiler,27,1306,161,38
AmbiguateProperties,27,1306,233,183
FunctionInjectorTest,27,1306,397,172
StaticSymbolTable,3,149,6,1
CodePrinter,26,1306,238,187
DisambiguatePropertiesTest,26,1306,428,69
ReferenceCollectingCallback,26,1306,387,115
CodingConvention,26,1306,142,68
SourceMapGeneratorV3,7,358,71,32
SourceMapGeneratorV1Test,11,572,31,1379
InstanceObjectType,25,1306,83,79
EnumElementType,25,1306,109,65
FunctionInjector,25,1306,248,205
JSDocInfo,25,1306,313,42
Scope,25,1306,215,66
InlineObjectLiterals,6,322,50,61
DefaultCodingConvention,24,1306,97,43
PureFunctionIdentifierTest,24,1306,810,212
SimpleDefinitionFinder,24,1306,306,56
SanityCheck,24,1306,89,60
NormalizeTest,24,1306,354,74
CompileTask,23,1260,259,58
RuntimeTypeCheck,22,1222,79,67
NoObjectType,23,1306,193,349
CheckAccessControls,23,1306,197,93
InlineVariables,23,1306,386,191
PeepholeRemoveDeadCodeTest,19,1091,553,129
ExternExportsPass,22,1306,356,219
TestErrorReporter,22,1306,19,133
SyntacticScopeCreator,22,1306,117,68
JSDocInfoBuilder,22,1306,199,20
SourceMapGeneratorV3Test,6,358,192,16
GlobalVarReferenceMapTest,4,240,60,29
AbstractStaticScope,2,121,1,0
CheckGlobalThis,21,1306,85,42
TightenTypes,21,1306,195,111
RenameVars,21,1306,254,111
CollapsePropertiesTest,21,1306,403,32
DeadAssignmentsElimination,21,1306,333,95
OptimizeParameters,21,1306,853,675
UnionType,21,1306,152,81
CompilerInput,21,1306,272,124
ScopedAliases,18,1134,259,98
SourceMapLineDecoder,7,443,6,16
PeepholeCollectPropertyAssignmentsTest,7,447,92,15
PeepholeIntegrationTest,17,1091,103,49
AstValidatorTest,6,387,14,9
GlobalVarReferenceMap,4,259,31,18
CollapseVariableDeclarations,20,1306,175,325
FunctionToBlockMutator,20,1306,207,113
AnalyzePrototypeProperties,20,1306,155,95
InlineVariablesTest,20,1306,586,27
FlowSensitiveInlineVariablesTest,20,1306,172,59
RenameProperties,20,1306,334,214
ParserRunner,20,1306,86,57
NameAnalyzerTest,20,1306,510,36
DevirtualizePrototypeMethods,20,1306,58,21
AbstractPeepholeOptimization,17,1112,104,37
FunctionInformationMap,19,1274,3194,2285
SimpleSourceFile,3,204,10,0
SourceFile,19,1306,203,26
NameReferenceGraphConstruction,19,1306,47,36
PreprocessorSymbolTable,1,70,0,0
SimpleReference,1,70,0,0
SourceMapSection,8,560,63,69
Instrumentation,18,1274,1233,950
SourceMapGeneratorV1,8,572,65,697
SourceMapGenerator,8,572,43,152
PassConfig,18,1306,158,143
AmbiguatePropertiesTest,18,1306,192,20
Annotation,18,1306,18,7
CreateSyntheticBlocksTest,18,1306,58,24
DeadAssignmentsEliminationTest,18,1306,402,60
TypeInferenceTest,18,1306,202,28
CoalesceVariableNamesTest,18,1306,141,54
FunctionArgumentInjector,18,1306,125,114
UnreachableCodeEliminationTest,18,1306,356,58
StrictModeCheck,18,1306,49,35
OptimizeParametersTest,18,1306,609,295
AbstractCompilerRunner,18,1306,361,1211
JSModuleGraph,18,1306,185,59
JSModule,18,1306,170,165
NodeTraversal,18,1306,103,48
UnreachableCodeElimination,18,1306,194,93
SourceMapConsumerV2,6,443,21,3
SourceMapConsumerFactory,6,443,50,42
OptimizeReturns,11,819,61,118
PeepholeCollectPropertyAssignments,6,447,46,21
FunctionTypeTest,15,1128,199,10
ScopedAliasesTest,15,1134,486,10
WarningLevel,17,1305,25,15
CrossModuleCodeMotion,17,1306,85,64
MustBeReachingVariableDef,17,1306,107,47
RenamePropertiesTest,17,1306,116,47
StripCode,17,1306,150,157
FlowSensitiveInlineVariables,17,1306,173,49
UnknownType,17,1306,44,33
RenameVarsTest,17,1306,190,42
FoldConstantsTest,17,1306,318,1358
VarCheckTest,17,1306,169,49
SimpleDefinitionFinderTest,17,1306,102,31
SourceInformationAnnotator,17,1306,43,32
ExternExportsPassTest,17,1306,490,155
InlineObjectLiteralsTest,4,322,190,68
JSTypeRegistryTest,16,1288,162,34
InputId,1,81,0,0
ReplaceStrings,14,1136,32,20
ReplaceStringsTest,14,1136,89,51
ExpressionDecomposer,16,1306,287,160
AllType,16,1306,47,41
AliasExternals,16,1306,77,55
