ClassName,Changes,TotalCommits,Insertions,Deletions
Base64Codec13Test,3,2,18,1
Base64,70,589,2869,2705
DoubleMetaphone2Test,4,35,6,13
StringUtils,6,59,21,18
StringUtilsTest,6,59,27,25
UtilsTest,5,51,9,3
Base64Test,50,589,2337,2109
StringBytesUtils,7,97,301,573
Base64InputStream,12,169,253,227
URLCodec,39,551,317,323
Soundex,40,589,843,732
QuotedPrintableCodec,26,388,252,268
DecoderExceptionTest,4,64,14,5
EncoderExceptionTest,4,64,14,5
QCodec,23,375,75,73
Utils,4,67,4,3
Metaphone,35,589,492,410
DoubleMetaphone,33,558,397,398
BCodec,22,375,73,72
RefinedSoundex,34,589,379,330
SoundexTest,33,589,642,354
Hex,32,589,643,467
Base64OutputStream,9,169,279,252
Base64OutputStreamTest,9,169,529,427
Base64InputStreamTest,9,169,570,450
RequiredCharsetNamesTest,5,97,65,111
CharEncodingTest,3,62,2,2
MetaphoneTest,26,589,702,345
URLCodecTest,24,549,317,170
RFC1522Codec,16,375,59,42
Base64TestData,7,169,250,198
DigestUtils,21,511,766,370
RefinedSoundexTest,24,589,241,233
DigestUtilsTest,20,511,349,316
DoubleMetaphoneTest,20,516,1490,408
HexTest,22,589,585,362
StringEncoderComparator,22,589,94,117
Caverphone,7,194,20,20
RFC1522CodecTest,13,364,47,68
EncoderException,21,589,209,194
DecoderException,20,589,200,187
BinaryCodec,12,370,46,35
StringEncoderComparatorTest,19,589,182,192
StringEncoderAbstractTest,19,589,101,111
StringBytesUtilsTest,3,97,169,338
CaverphoneTest,6,194,9,10
RequiredCharsetNames,3,97,8,144
BinaryEncoderAbstractTest,18,589,65,109
QCodecTest,11,371,36,51
BinaryEncoder,16,589,137,174
Decoder,16,589,152,184
BinaryDecoder,16,589,140,180
SoundexUtils,12,442,83,122
QuotedPrintableCodecTest,10,388,29,26
StringEncoder,15,589,134,172
Encoder,15,589,70,107
StringDecoder,14,551,57,95
BCodecTest,9,371,22,47
BinaryTest,10,419,3568,5360
AllTests,11,482,84,116
CharacterEncodingNames,7,308,13,79
Binary,9,419,811,1356
BinaryCodecTest,7,370,21,15
CharEncoding,1,62,0,0
StringEncodings,3,376,12,61
