ClassName,Changes,TotalCommits,Insertions,Deletions
IterableUtils,23,155,1212,254
package-info,91,837,79,767
FluentIterable,15,142,407,83
TestAll,303,2878,1319,3036
AbstractMultiValuedMap,20,223,874,624
AbstractMapMultiSet,6,92,92,309
FluentIterableTest,7,108,401,27
IterableUtilsTest,10,155,535,119
CollectionUtilsTest,48,750,900,2004
CollectionUtils,161,2863,4219,5534
MultiValuedMap,11,223,211,178
AbstractMultiValuedMapTest,10,223,798,145
MultiSet,4,92,6,4
HashMultiSet,4,92,8,9
MapUtils,108,2843,3949,5908
MultiMapUtils,8,217,117,153
HashSetValuedHashMap,2,58,21,6
HashSetValuedHashMapTest,2,58,6,6
ArrayListValuedHashMapTest,2,58,6,6
ArrayListValuedHashMap,2,58,21,6
IteratorUtils,84,2544,2160,3145
AbstractMultiSetDecorator,3,92,2,2
AbstractSetValuedMap,7,217,125,98
AbstractListValuedMap,7,217,185,142
AbstractPatriciaTrie,12,376,78,86
MultiValuedHashMap,7,223,186,297
MultiValuedHashMapTest,7,223,205,290
AbstractMultiValuedMapDecorator,7,223,60,25
ListUtils,88,2865,1861,2238
MultiValuedLinkedHashMap,6,199,19,282
AbstractHashedMap,57,1917,760,3420
ListUtilsTest,22,750,279,510
TransformedMap,64,2240,314,1782
ListOrderedMap,56,1993,838,1939
IteratorUtilsTest,21,750,478,1054
LRUMap,79,2843,988,1993
MultiValueMap,41,1490,893,1662
CollectionBag,9,334,104,22
TransformedMultiValuedMapTest,6,223,41,29
UnmodifiableMultiValuedMap,6,223,48,30
UnmodifiableMultiValuedMapTest,6,223,202,18
AbstractDualBidiMap,54,2081,971,2742
TreeBidiMap,51,1997,1189,7337
AbstractMapBag,49,1948,493,1665
TestCollectionUtils,72,2863,2798,4564
MultiValuedLinkedHashMapTest,5,199,48,278
AbstractTestMap,53,2112,1972,6807
SynchronizedMultiSet,2,80,1,1
Flat3Map,50,2011,1028,4332
SetUtils,63,2565,1096,1260
ComparatorPredicate,24,1001,707,1082
ReferenceMap,61,2570,1053,3082
ExtendedProperties,67,2875,1557,5154
DualTreeBidiMap,46,2029,419,1362
SetUniqueList,45,1993,1139,1919
TransformedMultiValuedMap,5,223,69,114
AbstractMapTest,16,726,263,2290
StaticBucketMap,57,2593,790,2748
AbstractMultiSetTest,2,91,82,82
SetUniqueListTest,17,774,258,813
TestLRUMap,62,2842,1305,2572
ZippingIterator,3,139,38,18
TreeList,35,1630,995,2441
MapUtilsTest,16,750,193,919
PredicateUtils,48,2256,612,2143
PassiveExpiringMap,16,754,574,1154
BoundedIterator,5,236,7,40
SkippingIterator,3,142,3,3
ListOrderedSet,42,1993,436,1067
UnmodifiableBoundedCollection,48,2280,222,651
PredicatedMap,48,2281,260,951
AbstractLinkedList,40,1914,902,2667
UnboundedFifoBuffer,54,2589,476,1382
CursorableLinkedList,60,2878,640,3484
MultiValueMapTest,15,726,119,472
AbstractCollectionTest,16,775,193,1569
BoundedFifoBuffer,53,2589,552,1586
DefaultEquator,19,929,77,190
AbstractLinkedMap,39,1917,410,1578
SetUtilsTest,15,750,204,155
DefaultedMap,30,1504,117,501
TransformerUtils,45,2256,535,1894
TransformedMapTest,15,760,54,558
MultiKeyMap,33,1676,568,2238
TreeBag,55,2818,443,811
SequencesComparator,17,873,152,937
TransformedBag,44,2264,185,581
AbstractLinkedListTest,15,774,52,468
CircularFifoQueue,11,570,29,429
ListOrderedMapTest,14,726,95,572
LRUMapTest,14,726,263,996
IndexedCollection,22,1146,621,1013
SplitMapUtils,21,1096,94,795
AbstractMultiSet,1,53,0,0
TransformerUtilsTest,14,750,145,567
FactoryUtilsTest,14,750,83,432
UnmodifiableTrie,15,806,133,457
TransformedSortedBag,42,2264,167,550
MultiMapUtilsTest,4,217,35,28
OnePredicate,36,1966,121,382
TestTransformedMap,41,2240,254,996
TestReferenceMap,47,2570,441,1133
AbstractIterableGetMapDecorator,20,1096,45,348
NodeListIterator,12,660,17,102
TransformedList,41,2264,201,733
SetValuedMap,4,221,20,26
CompositeSet,34,1893,552,998
ListValuedMap,4,223,23,25
BlockingBuffer,41,2288,479,1013
ChainedTransformer,35,1965,134,404
AllPredicate,35,1966,170,435
NonePredicate,35,1966,122,374
AbstractBagTest,14,788,342,699
HashBag,50,2818,302,571
TransformedCollection,40,2264,163,627
ArrayIterator,50,2843,781,1324
BidiMap,35,1991,106,588
TestListOrderedMap,35,1993,656,1414
BagUtils,45,2565,728,1375
CatchAndRethrowClosure,16,912,243,394
FixedSizeMap,40,2281,183,647
DualLinkedHashBidiMap,11,628,14,113
UnmodifiableBag,40,2286,207,610
BufferUtils,45,2589,523,1061
FactoryUtils,39,2256,126,708
DefaultMapEntry,49,2843,527,905
IndexedCollectionTest,13,755,193,286
AbstractReferenceMap,29,1690,548,2466
TestMapUtils,44,2565,1242,2213
UnmodifiableMap,39,2281,206,777
IfTransformer,4,234,10,7
FixedSizeList,39,2301,234,763
SynchronizedCollection,39,2301,254,869
PredicatedList,39,2301,242,742
BoundedIteratorTest,4,236,4,3
ClosureUtils,38,2256,332,1422
AnyPredicate,33,1966,134,395
NodeListIteratorTest,11,660,34,170
FixedSizeSortedMap,38,2281,301,763
CollatingIterator,43,2584,629,1619
PredicatedSortedBag,38,2286,130,493
UnmodifiableSortedBag,38,2286,203,595
SynchronizedBag,38,2286,155,553
PredicatedBag,38,2286,144,513
OrderedMap,35,2109,270,1113
PassiveExpiringMapTest,12,726,76,259
TransformedSortedMap,37,2240,217,659
PredicatedCollection,38,2301,451,612
CompositeCollection,33,2006,308,1731
QueueUtilsTest,5,304,23,30
CompositeMap,31,1893,384,1473
HashedMap,32,1956,377,1578
TransformedSortedSet,37,2264,158,584
ChainedClosure,32,1969,126,395
PredicatedSortedMap,37,2281,176,575
LazyMap,37,2281,203,715
PatriciaTrie,13,806,414,3239
PatriciaTrieTest,13,806,329,2194
SequencesComparatorTest,14,873,36,744
TestListUtils,41,2565,596,1004
SingletonIterator,45,2823,405,698
TransformedSet,36,2264,134,442
IteratorChain,42,2643,447,1368
ListOrderedSetTest,12,758,149,383
MultiKeyTest,12,759,137,367
LazySortedMap,36,2281,192,703
InvokerTransformer,31,1965,141,433
SwitchTransformer,31,1965,207,557
InstantiateTransformer,31,1965,117,391
PrototypeFactory,31,1968,129,586
SynchronizedSortedBag,36,2286,116,482
UnmodifiableOrderedMap,31,1973,159,452
ComparatorUtils,41,2615,375,835
UnmodifiableCollection,36,2301,128,548
UnmodifiableList,36,2301,188,627
AbstractCollectionDecorator,36,2301,191,666
TransformedNavigableSet,2,128,4,4
UnmodifiableMultiSetTest,1,64,0,0
UnmodifiableNavigableSetTest,2,128,1,1
PredicatedNavigableSet,2,128,2,2
SynchronizedMultiSetTest,1,64,0,0
AbstractNavigableSetDecorator,2,128,1,1
UnmodifiableNavigableSet,2,128,2,2
HashMultiSetTest,1,64,0,0
PredicatedMultiSetTest,1,64,0,0
PredicatedNavigableSetTest,2,128,1,0
MapBackedSet,26,1667,107,405
AbstractTestCollection,33,2116,596,4603
LinkedMap,30,1927,415,1260
ComparatorChain,42,2700,453,1000
TransformedCollectionTest,12,775,46,178
BoundedBuffer,22,1425,215,575
MultiSetUtils,1,65,0,0
MultiKey,36,2346,269,1008
IteratorIterable,14,915,88,287
UnmodifiableSortedSet,35,2291,219,639
EqualPredicate,30,1967,147,349
InstantiateFactory,30,1968,105,417
IfClosure,30,1969,170,455
AbstractInputCheckedMapDecorator,25,1641,96,571
PushbackIterator,6,394,10,8
MultiKeyMapTest,11,726,75,528
ArrayListIterator,37,2443,138,615
ObjectArrayIterator,37,2443,126,623
ObjectArrayListIterator,37,2443,133,589
AbstractTestList,32,2116,631,4417
ReverseComparator,41,2713,245,462
FixedOrderComparator,35,2330,235,781
NodeCachingLinkedList,37,2467,610,2012
UnmodifiableOrderedBidiMap,29,1934,123,430
TransformedQueue,9,601,18,147
UnmodifiableQueue,9,601,21,170
QueueUtils,9,601,9,115
UnmodifiableEntrySet,29,1937,124,507
TransformedPredicate,26,1737,90,287
TestCursorableLinkedList,43,2878,1519,5166
UnmodifiableSortedMap,34,2281,222,652
DeleteCommand,13,873,9,175
EditCommand,13,873,18,240
InsertCommand,13,873,8,179
KeepCommand,13,873,8,180
PatriciaTrieBase,12,806,325,2793
UnmodifiableMapIterator,30,2018,88,304
PredicatedSortedSet,34,2291,121,522
LazyList,34,2301,119,605
