ClassName,Changes,TotalCommits,Insertions,Deletions
BZip2CompressorInputStreamTest,1,3,0,0
SevenZFile,38,338,272,336
IOUtilsTest,1,10,0,0
SevenZOutputFile,29,299,411,168
Coders,26,337,375,341
SevenZOutputFileTest,16,219,376,23
ZipArchiveOutputStream,96,1373,1565,1018
SevenZMethodConfiguration,4,63,14,1
ZCompressorInputStream,12,195,134,206
ZipArchiveInputStream,88,1519,1843,852
DeltaDecoder,2,36,1,1
ZipFile,77,1388,1155,674
FramedSnappyCompressorInputStream,11,200,102,38
Zip64SupportTest,39,772,3635,3745
ArjArchiveInputStream,16,319,159,127
LZMA2Decoder,12,240,71,41
TarArchiveOutputStreamTest,29,627,589,52
SevenZMethod,11,243,124,68
SnappyCompressorInputStream,9,200,33,36
TarArchiveInputStream,61,1364,1150,892
TarArchiveOutputStream,61,1364,980,684
SevenZFileTest,15,338,177,23
StreamingNotSupportedException,3,70,7,2
CoderBase,2,48,7,0
ZipArchiveEntry,55,1375,595,280
FramedSnappyTestCase,8,200,151,134
DumpArchiveInputStream,25,677,177,105
TarArchiveEntry,55,1519,1064,683
PythonTruncatedBzip2Test,3,85,11,4
CpioArchiveOutputStream,49,1390,516,391
TarArchiveInputStreamTest,19,575,202,32
AbstractTestCase,50,1517,836,438
ZipArchiveInputStreamTest,18,553,147,26
SevenZMethodConfigurationTest,2,63,18,0
SevenZArchiveEntry,10,338,264,19
ZipFileTest,27,925,248,65
ArchiveStreamFactory,44,1519,536,343
CpioArchiveInputStream,40,1390,375,279
UnshrinkingInputStream,5,182,27,131
ArArchiveInputStream,41,1519,584,312
CRC32VerifyingInputStream,9,338,49,91
InternalLZWInputStream,3,113,7,6
TarUtils,40,1521,801,689
ChangeSetTestCase,39,1519,2146,934
CpioArchiveEntry,35,1390,494,223
ArjArchiveEntry,8,319,99,16
AbstractLZWInputStream,4,162,16,217
X5455_ExtendedTimestampTest,10,413,114,31
BZip2CompressorOutputStream,36,1519,1808,2110
PureJavaCrc32C,4,174,0,641
BlockSort,11,488,640,158
ExplodeSupportTest,3,143,13,4
AES256SHA256Decoder,1,48,0,0
ZTestCase,4,195,42,2
