ClassName,Changes,TotalCommits,Insertions,Deletions
CSVFormat,253,988,5018,3403
CSVParser,193,1125,2481,3257
Lexer,66,452,62,50
CSVParserTest,148,1125,3509,3567
CSVPrinter,111,1125,1352,1683
CSVPrinterTest,94,1125,2452,1790
CSVFormatTest,75,988,1262,842
JiraCsv167Test,9,122,56,116
CSVRecord,60,914,465,274
CSVLexerTest,61,958,653,820
CSVLexer,55,918,458,802
PerformanceTest,39,910,464,255
ExtendedBufferedReader,46,1125,491,847
CSVFileParserTest,30,861,169,105
CSVRecordTest,19,559,139,48
JiraCsv164Test,3,89,28,10
CSVBenchmark,5,173,73,35
Constants,21,758,89,49
ExtendedBufferedReaderTest,31,1125,666,849
CSVFormatBuilderTest,16,657,167,319
LexerTest,8,407,217,221
CSVLexer1,17,886,48,286
Token,17,893,39,26
CSVStrategy,19,1105,321,599
CSVLexer1306667,14,815,40,266
CSVLexer1306663,14,825,40,266
Assertions,6,430,23,4
CharBuffer,15,1084,341,766
CSVFormatPredefinedTest,2,153,1,0
CSVUtils,14,1100,80,317
CSVStrategyTest,14,1105,93,301
FercGovTest,6,483,10,97
CSVLexer3,10,839,30,278
QuoteMode,3,265,3,4
package-info,9,807,29,27
AllTests,11,1083,122,206
Quote,7,716,5,52
Utils,8,823,13,25
CharBufferTest,10,1084,266,654
CSVConfig,10,1115,421,1053
CSVWriter,10,1115,179,453
TokenMatchers,5,571,16,18
CSVRecordBooleanTest,4,471,19,82
CSVUtilsTest,8,1100,96,400
CSVWriterTest,8,1114,195,415
CSVConfigGuesser,8,1115,237,620
CSVConfigGuesserTest,7,1114,112,291
CSVConfigTest,7,1114,128,331
CSVFieldTest,7,1114,70,172
CSVField,7,1115,136,361
UnicodeUnescapeReader,6,960,20,103
AssertionsTest,2,430,17,0
CSVRecordIntTest,2,467,0,64
CSVRecordLongTest,2,468,0,64
CSVLexer130663,2,829,0,226
TokenMatchersTest,1,571,0,0
FormatTests,1,1126,0,40
