ClassName,Changes,TotalCommits,Insertions,Deletions
JsonReader,52,349,412,256
Gson,182,1244,1708,1146
JsonAdapterNullSafeTest,4,36,50,174
TypeAdapters,59,660,1381,711
GsonBuilder,96,1244,1161,928
DefaultTypeAdapters,87,1244,1414,1829
ReflectiveTypeAdapterFactory,30,589,199,170
TypeAdapter,32,660,548,451
LinkedTreeMap,13,287,5,2
JsonSerializationVisitor,55,1244,355,558
JsonAdapterAnnotationTypeAdapterFactory,11,261,45,32
JsonAdapter,11,261,18,14
MapTest,47,1207,713,135
LinkedHashTreeMap,11,283,5,880
LinkedTreeMapTest,11,287,4,5
JsonAdapterAnnotationOnClassesTest,10,261,82,12
MapTypeAdapterFactory,22,589,296,133
JsonAdapterAnnotationOnFieldsTest,9,261,126,49
JsonReaderTest,32,933,1273,280
JavaUtilConcurrentLocksTest,4,122,41,111
FieldAttributes,33,1017,257,224
TreeTypeAdapter,16,501,69,197
ReflectiveTypeAdapter,21,660,222,523
ObjectNavigator,38,1244,265,467
ArrayTypeAdapter,20,658,56,143
DefaultTypeAdaptersTest,37,1244,705,201
JsonObject,36,1244,189,150
JsonPrimitive,36,1244,262,203
ConstructorConstructor,17,589,134,71
ObjectTest,35,1244,387,403
ISO8601Utils,3,107,5,39
PrimitiveTest,34,1244,882,374
Streams,26,976,93,436
ObjectTypeAdapter,16,614,47,42
MiniGson,17,660,147,448
JsonDeserializationVisitor,31,1244,102,238
LinkedHashTreeMapTest,8,326,88,8
JsonParser,29,1244,1927,2340
StringMap,9,403,184,675
CollectionTypeAdapterFactory,13,589,34,30
ParameterizedTypeHandlerMap,27,1244,371,740
RuntimeTypeAdapterFactory,12,563,67,65
JsonArray,26,1244,167,85
JsonParserTest,23,1111,245,68
CustomTypeAdaptersTest,25,1244,522,163
CollectionTypeAdapter,13,660,48,263
ReflectingFieldNavigator,15,769,131,231
CollectionTest,24,1244,308,117
JsonObjectDeserializationVisitor,23,1244,99,249
MappedObjectConstructor,23,1244,129,238
UtcDateTypeAdapter,4,223,273,54
UtcDateTypeAdapterTest,4,223,32,3
FunctionWithInternalDependenciesTest,20,1129,90,116
JavaUtilTest,2,115,10,0
JsonWriter,16,933,323,174
JsonArrayTest,13,793,124,39
Excluder,8,489,14,13
JsonElementReader,9,558,48,240
JsonNull,20,1244,130,99
Primitives,12,754,9,127
StreamingTypeAdaptersTest,8,504,111,42
LazilyParsedNumber,11,693,234,262
DateTypeAdapter,9,568,29,22
InterceptorTest,5,323,128,192
NullObjectAndFieldTest,19,1244,181,35
JsonElement,19,1244,113,75
LeniencyTest,1,66,0,0
Pair,13,859,0,186
$Gson$Types,11,735,0,0
GsonTypesTest,4,272,32,18
JsonArrayDeserializationVisitor,18,1244,71,205
Preconditions,18,1244,74,303
NamingPolicyTest,18,1244,168,51
JsonElementWriterTest,8,554,106,180
LruCache,11,772,5,119
ProtosWithAnnotationsTest,2,143,4,0
TypeAdapterPrecedenceTest,7,503,108,53
ObjectTypePair,14,1024,161,208
ArrayTest,17,1244,201,69
JsonObjectTest,16,1181,183,65
UnsafeAllocator,10,754,19,123
ObjectTypeAdapterTest,8,614,29,12
RuntimeTypeAdapterFactoryFunctionalTest,3,232,3,2
SerializedNameTest,2,155,1,1
MapTypeAdapter,10,779,16,217
TypeAdapterRuntimeTypeWrapper,8,625,54,23
JsonElementWriter,7,554,44,210
EnumTest,14,1116,232,105
SqlDateTypeAdapter,7,565,19,11
TimeTypeAdapter,7,568,19,11
LazilyParsedNumberTest,2,163,2,2
FieldNamingStrategy2Adapter,12,985,17,54
MiniGsonTest,8,660,135,401
Types,10,826,22,1695
GraphAdapterBuilder,5,414,10,5
MetaData,11,912,38,301
TypeToken,15,1244,371,441
VersionExclusionStrategyTest,15,1244,70,87
JsonReaderPathTest,3,250,45,4
GsonToMiniGsonTypeAdapterFactory,7,589,22,121
GraphTypeAdapterFactory,5,429,118,242
RestClient,11,970,100,306
BigDecimalTypeAdapter,7,622,19,60
JsonSerializationContextDefault,14,1244,44,94
BigIntegerTypeAdapter,7,622,19,60
CodeGenFunctionalTest,4,358,1,27
Reflection,7,631,10,66
JsonElementReaderTest,6,558,282,46
PerformanceTest,13,1220,355,71
JsonStreamParser,11,1033,83,61
Order,10,951,44,108
ResponseReceiver,13,1241,34,211
ParameterizedTypesTest,13,1244,82,25
ParamterizedTypeFixtures,13,1244,42,203
Cache,8,772,0,102
DelegateTypeAdapterTest,4,389,11,10
ExclusionStrategyFunctionalTest,10,1000,164,74
ExposeAnnotationExclusionStrategyTest,8,808,54,60
IdTypeAdapterTest,9,910,14,415
Id,9,912,137,409
IdMap,9,912,22,176
WebServiceClient,12,1241,67,203
WebServiceCallSpec,12,1241,39,464
RequestSender,12,1241,64,221
InnerClassExclusionStrategyTest,11,1138,44,53
Escaper,12,1244,109,255
JsonDeserializationContextDefault,12,1244,44,137
ModifyFirstLetterNamingPolicy,12,1244,19,126
JsonPrintFormatter,12,1244,128,363
GsonToMiniGsonTypeAdapter,6,638,27,131
JsonPrimitiveTest,11,1178,186,18
Intercept,3,323,0,64
JsonPostDeserializer,3,323,0,33
RestCallSpec,9,970,49,286
RestRequest,9,970,31,194
RestRequestSender,9,970,34,240
StringToValueMapTypeAdapter,6,658,2,214
ParamMap,11,1229,34,184
RequestBody,11,1241,21,223
ResponseBody,11,1241,37,219
ObjectNavigatorFactory,11,1244,21,100
ExclusionStrategy,11,1244,98,35
RepositoryInMemory,8,912,28,218
ThrowableFunctionalTest,2,228,2,2
JavaUtilConcurrentAtomicTest,1,116,0,0
TypeTokenTest,7,818,3,83
JsonReader2,3,353,30,1469
StringToValueMapTypeAdapterFactory,5,589,6,112
MainServlet,8,947,52,118
GeneratedTypeAdapterProcessor,3,359,0,58
GeneratedTypeAdapter,3,359,0,21
CodeGen,3,359,0,53
JavaWriter,3,359,0,443
ResourceMap,8,970,15,125
RestResponseBuilder,8,970,62,155
RestRequestReceiver,8,970,25,207
BaseMapTypeAdapter,6,743,5,50
HeaderMap,10,1241,34,175
OrderClient,7,869,40,96
VersionExclusionStrategy,10,1244,49,106
DisjunctionExclusionStrategy,10,1244,30,97
TestTypes,10,1244,129,60
DisjunctionExclusionStrategyTest,10,1244,45,125
TypeUtils,10,1244,10,288
SerializedNameAnnotationInterceptingNamingPolicyTest,10,1244,15,75
FieldNamingPolicy,10,1244,135,30
ParameterizedTypeHandlerMapTest,10,1244,89,306
JsonDeserializationContext,10,1244,130,129
InstanceCreatorTest,8,1002,67,17
PrettyPrintingTest,9,1129,54,43
TypeVariableTest,7,882,94,34
DefaultConstructorAllocator,6,761,15,104
FieldAttributesTest,8,1017,19,14
MetaDataMap,7,910,14,113
CustomDeserializerTest,9,1176,163,56
AdaptAnnotationOnClassesTest,2,262,0,182
AdaptAnnotationOnFieldsTest,2,262,0,146
AdaptAnnotationTypeAdapterFactory,2,262,0,59
Adapt,2,262,0,93
ProtoTypeAdapter,7,918,457,120
JsonNullTest,6,793,11,3
JsonWriterTest,7,933,159,5
ExposeAnnotationDeserializationExclusionStrategy,6,800,1,39
ExposeAnnotationSerializationExclusionStrategy,6,800,1,39
JsonTreeTest,8,1078,24,11
TypeHierarchyAdapterTest,6,810,58,23
JsonAdapterAnnotationTest,2,271,0,182
ExampleClient,7,949,23,88
Cart,7,951,43,77
GsonFieldTypeAdapterTest,2,272,0,188
MapAsArrayTypeAdapterTest,6,816,56,17
FieldTypeAdapterFactory,2,272,0,60
RuntimeTypeAdapter,5,688,128,230
RuntimeTypeAdapterTest,5,688,143,200
HeaderMapSpec,9,1241,10,170
ResponseBodyGsonConverter,9,1241,6,233
RequestReceiver,9,1241,26,227
WebServiceResponse,9,1241,47,331
ResponseSender,9,1241,12,158
GraphAdapterBuilderTest,3,414,100,2
MemoryRefStack,9,1244,21,103
JsonDeserializerExceptionWrapper,9,1244,15,81
RestResponseReceiver,7,970,34,227
RestResponseSender,7,970,11,158
LruCacheTest,7,983,66,139
FieldNamingStrategy2,7,985,6,45
WebServiceCallServerBuilder,7,988,10,66
RestDispatcher,6,852,18,122
GraphTypeAdapterFactoryTest,3,429,19,68
