ClassName,Changes,TotalCommits,Insertions,Deletions
JXPathContextReferenceImpl,57,417,1179,780
JXPathTestCase,39,297,124,210
DOMNodePointer,51,415,1409,1248
XMLModelTestCase,37,306,1391,1018
NodePointer,43,417,1312,1166
BasicNodeSetTest,4,39,66,10
JDOMNodePointer,32,317,1103,815
JXPathContext,37,417,879,495
EvalContext,37,417,1429,2258
ExtensionFunctionTest,23,297,414,299
PropertyOwnerPointer,32,415,364,513
CoreFunction,31,417,1218,485
BeanModelTestCase,22,297,1019,891
ValueUtils,29,396,709,464
DynamicPropertyPointer,30,417,548,1231
VariablePointer,29,417,608,614
NullPropertyPointer,29,417,418,517
BeanPropertyPointer,29,417,414,653
NamespaceResolver,15,219,163,71
PropertyPointer,27,417,379,436
PredicateContext,27,417,371,330
SimplePathInterpreter,24,387,1212,593
CoreFunctionTest,18,297,241,175
CollectionPointer,24,396,397,297
BasicTypeConverter,21,353,683,608
DynamicPointer,24,417,209,528
ContainerPointer,23,415,263,376
DOMAttributePointer,23,415,190,391
PropertyIterator,23,417,248,858
NullElementPointer,22,405,232,439
JXPathTestSuite,16,297,64,92
DynaBeanPropertyPointer,16,300,396,558
ChildContext,22,417,227,285
NullPointer,22,417,262,401
BeanPointer,22,417,360,543
Path,22,417,547,330
RootContext,22,417,178,195
DOMModelTest,16,316,254,226
DOMAttributeIterator,21,415,250,403
LangAttributePointer,20,408,161,309
DOMNodeIterator,20,415,122,456
PrecedingOrFollowingContext,20,417,214,267
InitialContext,20,417,112,147
JDOMModelTest,15,316,236,214
JDOMAttributePointer,15,317,170,184
DynamicPropertiesModelTest,14,297,304,608
NamespacePointer,19,410,183,334
PackageFunctions,19,417,220,324
ExpressionPath,19,417,232,229
DescendantContext,19,417,215,247
AncestorContext,19,417,165,225
ExtensionFunction,19,417,194,158
JDOMAttributeIterator,14,317,119,238
UnionContext,18,417,147,193
CoreOperation,18,417,752,794
TypeUtils,17,396,310,726
CoreOperationRelationalExpression,4,94,14,11
JDOMNamespacePointer,13,317,163,166
ParentContext,17,417,134,209
MixedModelTest,12,297,467,390
CoreOperationTest,12,297,136,139
ExtendedKeyManager,4,102,4,3
DocumentContainer,13,335,143,139
XMLDocumentContainer,16,415,150,178
TestFunctions,16,417,164,263
QName,16,417,108,281
BasicNodeSet,10,263,61,88
JDOMNamespaceIterator,12,317,100,136
InfoSetUtil,14,375,172,210
DynamicPointerFactory,15,405,95,335
TestDynamicPropertyFactory,11,297,120,279
BeanAttributeIterator,15,408,118,247
DynaBeanPointerFactory,11,300,49,101
Expression,15,417,271,301
MethodFunction,15,417,155,157
JXPathBasicBeanInfo,15,417,175,165
CoreOperationCompare,10,280,82,101
VariablePointerFactory,3,84,15,6
JDOMParser,11,317,78,114
DOMNamespaceIterator,14,410,95,258
TestDynaBeanFactory,10,297,112,151
VariableTest,10,297,207,245
TestBeanFactory,10,297,98,142
ConstructorFunction,14,417,102,133
TreeCompiler,14,417,238,248
LocationPath,14,417,116,188
ClassFunctions,14,417,124,129
SelfContext,14,417,134,199
NodeNameTest,14,417,103,126
BeanPointerFactory,13,405,72,200
NamespaceContext,13,410,105,130
JDOMNodeIterator,10,317,98,136
JXPathCompiledExpression,12,382,111,120
AttributeContext,13,415,102,184
JXPathException,13,417,63,200
Pointer,13,417,117,131
Parser,13,417,144,139
JXPathIntrospector,13,417,152,144
Compiler,13,417,98,129
MethodLookupUtils,11,353,184,168
TestMixedModelBean,9,297,77,106
BeanModelTest,9,297,65,120
TestMixedModelFactory,9,297,78,114
BasicTypeConverterTest,9,297,150,128
DynaBeanPointer,9,300,70,129
AbstractFactory,12,405,104,142
NodePointerFactory,12,405,64,193
DOMPointerFactory,12,405,70,200
ContainerPointerFactory,12,405,60,198
MapDynamicPropertyHandler,12,417,53,200
Step,12,417,181,152
TestBeanWithNode,9,323,45,198
DynamicPropertyIterator,8,292,37,75
TestDOMFactory,8,297,68,96
TestJDOMFactory,8,297,69,96
DOMParser,9,335,54,88
VariableReference,11,417,72,115
JXPathContextFactory,11,417,207,239
TestBean,11,417,110,133
Constant,11,417,77,124
CollectionPointerFactory,10,396,59,104
JDOMPointerFactory,8,317,42,87
XMLParser2,6,239,37,82
JXPathCompiledExpressionTest,7,279,58,82
CoreOperationEqual,7,280,31,74
CoreOperationLessThan,7,280,37,76
SimplePathInterpreterTest,8,323,241,168
ExternalXMLNamespaceTest,2,82,17,4
NodeIterator,10,415,46,163
Function,10,417,53,95
NestedTestBean,10,417,73,108
BasicVariables,10,417,81,102
NodeTypeTest,10,417,63,121
ProcessingInstructionTest,10,417,60,119
Operation,10,417,55,125
Functions,10,417,54,92
TestFunctions2,10,417,40,161
ExpressionContext,10,417,62,97
DynamicAttributeIterator,7,292,27,64
DynaBeanModelTest,7,297,46,94
VariableFactory,7,297,56,94
ContextDependencyTest,7,297,47,93
TestIndexedPropertyBean,6,255,30,84
ServletRequestAndContext,5,213,24,17
EmbeddedColonMapKeysTest,1,43,0,0
CollectionAttributeNodeIterator,6,263,37,74
CollectionNodeIterator,6,263,55,80
CollectionChildNodeIterator,6,263,39,74
NodeSetContext,6,263,47,72
KeyManager,8,356,40,82
NodeSet,6,271,27,64
JXPathServletContexts,9,413,156,147
ServletRequestHandler,9,413,79,90
HttpSessionHandler,9,413,77,87
