ClassName,Changes,TotalCommits,Insertions,Deletions
StringUtils,172,1682,8581,9770
StrBuilder,53,661,1707,2804
StrTokenizer,43,682,748,1953
StrBuilderTest,35,557,2628,3526
StringUtilsTest,84,1682,2289,2547
Enum,73,1658,830,1697
ArrayUtils,66,1522,8715,9260
VariableFormatter,20,506,1188,1706
StringEscapeUtils,53,1356,871,1373
DurationFormatUtils,48,1273,1221,1366
NumberUtils,62,1682,1455,2840
DateUtils,53,1443,1367,1885
ClassUtils,55,1519,1547,1972
ExceptionUtils,59,1655,1636,1805
StrSubstitutor,9,255,224,953
LocaleUtilsTest,13,381,64,520
StrSubstitutorTest,8,255,221,661
SystemUtils,50,1633,2549,2752
ReflectionToStringBuilder,39,1281,1187,1760
ToStringStyle,48,1584,1935,3227
LocaleUtils,13,433,156,346
DurationFormatUtilsTest,37,1273,827,824
ToStringBuilder,45,1584,1434,2349
Entities,38,1342,1410,1776
CompositeFormat,9,321,38,120
FastDateFormat,39,1412,2434,3596
WordUtils,28,1018,524,778
StrTokenizerTest,18,682,655,1096
DateUtilsTest,37,1443,1545,1766
NumberUtilsTest,43,1682,1291,2151
CharSetUtils,43,1682,515,745
HashCodeBuilder,41,1646,1199,1915
CompareToBuilder,39,1594,1230,1863
MutableBoolean,9,368,19,182
ArrayUtilsTest,37,1521,2720,2872
EnumTest,40,1658,647,1298
CharUtils,21,872,205,761
ObjectUtils,40,1682,447,506
ValuedEnum,39,1658,204,599
EqualsBuilder,37,1599,618,1239
LangTestSuite,38,1682,89,190
RandomStringUtils,38,1682,348,603
TextTestSuite,16,720,20,74
NestableDelegate,37,1682,500,846
CompositeFormatTest,7,321,24,120
VariableFormatterTest,11,506,280,494
ClassUtilsTest,31,1445,504,867
BooleanUtils,31,1448,667,1177
StringEscapeUtilsTest,29,1356,280,457
StrBuilderAppendInsertTest,9,440,359,1076
StringUtilsStartsEndsWithTest,1,51,0,0
Validate,27,1417,289,1288
CharSet,32,1682,430,570
NumberRange,32,1682,149,656
MutableShort,15,790,307,371
MutableLong,15,790,296,360
MutableByte,15,790,303,373
MutableFloat,15,790,355,420
EnumUtils,31,1658,114,378
ValuedLanguageEnum,4,220,7,63
StopWatch,25,1427,356,519
Fraction,25,1434,586,1322
ToStringBuilderTest,27,1583,790,1176
MutableObject,13,765,42,148
MutableInt,13,769,185,313
WordUtilsTest,17,1018,241,440
StrLookup,4,240,7,167
StrLookupTest,4,240,7,106
MutableDouble,13,790,336,400
NestReferenced,15,922,33,209
NestLinked,15,922,33,217
NestBroken,15,922,33,203
Nest,15,922,33,195
ReflectionToStringBuilderExcludeTest,6,374,82,141
StrMatcherTest,7,440,81,308
StrMatcher,7,440,34,415
StandardToStringStyle,25,1584,346,806
Interpolation,12,774,116,468
NumberRangeTest,26,1682,364,743
CharRange,26,1682,247,453
BitField,22,1440,174,840
MutableTestSuite,12,790,27,73
ExceptionUtilsTestCase,25,1655,651,779
Broken3OperationEnum,16,1064,37,245
Broken5OperationEnum,16,1064,37,245
Broken4OperationEnum,16,1064,37,245
Broken1OperationEnum,16,1064,37,245
Broken2OperationEnum,16,1064,37,245
ArrayUtilsAddTest,13,870,332,640
FastDateFormatTest,21,1412,504,655
SystemUtilsTest,19,1297,598,878
IntHashMapTest,6,412,148,276
DummyEnum,16,1103,37,135
NotImplementedException,19,1318,331,413
JVMRandom,19,1326,143,284
StringUtilsTrimEmptyTest,24,1682,360,548
OperationEnum,20,1413,93,276
DateFormatUtilsTest,18,1273,126,297
DateFormatUtils,18,1273,125,422
MappedMessageFormat,10,722,45,178
EntitiesTest,18,1301,178,294
EqualsBuilderTest,22,1598,405,1085
RandomStringUtilsTest,23,1682,407,554
CharSetUtilsTest,23,1682,346,487
NestableException,23,1682,184,526
MutableBooleanTest,5,368,7,155
AllLangTestSuite,17,1267,44,149
ValuedEnumTest,22,1658,172,464
CharEncoding,9,684,57,207
